Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
246,Asmir Begović,ba BIH,GK,Everton,eng Premier League,35-261,1987,1.0,21,30,70.0,584,423,3,3,100.0,10,10,100.0,8,17,47.1,0,0.0,0.0,0.0,0,0,0,0,0,Matches,7b4de647
247,Yanis Begraoui,fr FRA,FWMF,Toulouse,fr Ligue 1,21-247,2001,0.7,14,19,73.7,207,68,9,12,75.0,4,5,80.0,1,2,50.0,0,0.3,0.0,-0.3,2,1,1,0,3,Matches,5e6355f8
248,Kevin Behrens,de GER,FW,Union Berlin,de Bundesliga,32-033,1991,10.2,187,297,63.0,2517,704,107,155,69.0,59,87,67.8,8,12,66.7,1,0.7,1.0,+0.3,14,21,15,1,42,Matches,30ae134d
249,Alexis Beka Beka,fr FRA,MF,Nice,fr Ligue 1,21-344,2001,3.1,141,174,81.0,2432,630,73,88,83.0,48,57,84.2,17,24,70.8,0,0.0,0.1,0.0,1,11,1,0,16,Matches,4a5e83ad
250,Jérémie Bela,ao ANG,DFMF,Clermont Foot,fr Ligue 1,29-334,1993,7.1,157,230,68.3,2118,869,92,119,77.3,53,75,70.7,3,14,21.4,1,0.2,0.4,+0.8,3,16,7,3,21,Matches,5680bf3f
251,Reda Belahyane,fr FRA,MF,Nice,fr Ligue 1,18-280,2004,0.1,9,11,81.8,100,0,6,7,85.7,2,3,66.7,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,705a1642
252,Youcef Belaïli,dz ALG,MFFW,Ajaccio,fr Ligue 1,30-359,1992,10.6,276,378,73.0,4781,1846,136,166,81.9,81,110,73.6,40,65,61.5,3,3.2,3.1,-0.2,20,29,20,6,42,Matches,1a248246
253,Youcef Belaïli,dz ALG,FWMF,Brest,fr Ligue 1,30-359,1992,4.0,114,158,72.2,2224,569,47,52,90.4,42,50,84.0,20,42,47.6,2,0.8,1.2,+1.2,8,4,8,1,14,Matches,1a248246
254,Haris Belkebla,dz ALG,MF,Brest,fr Ligue 1,29-039,1994,18.8,656,789,83.1,11668,3187,271,308,88.0,299,336,89.0,68,100,68.0,0,0.6,0.6,-0.6,9,70,7,1,85,Matches,2b1bed19
255,Stefan Bell,de GER,DF,Mainz 05,de Bundesliga,31-196,1991,15.7,560,727,77.0,10994,5393,206,244,84.4,256,291,88.0,91,157,58.0,1,0.5,0.7,+0.5,7,42,8,1,55,Matches,857a5abe
256,Armel Bella Kotchap,de GER,DF,Southampton,eng Premier League,21-087,2001,14.4,441,573,77.0,8535,2497,156,184,84.8,233,264,88.3,49,108,45.4,1,0.2,0.2,+0.8,3,21,2,0,22,Matches,a39d11bc
257,Raoul Bellanova,it ITA,DFMF,Inter,it Serie A,22-295,2000,1.8,86,115,74.8,1406,312,47,54,87.0,28,40,70.0,8,14,57.1,0,0.1,0.2,-0.1,1,2,1,1,4,Matches,e3756e72
258,Karim Bellarabi,de GER,FW,Leverkusen,de Bundesliga,32-334,1990,0.9,34,51,66.7,440,160,23,30,76.7,11,18,61.1,0,2,0.0,0,0.0,0.0,0.0,0,4,0,0,3,Matches,bee0bab1
259,Jean-Ricner Bellegarde,fr FRA,MF,Strasbourg,fr Ligue 1,24-254,1998,17.7,665,883,75.3,11830,3697,285,334,85.3,280,341,82.1,77,158,48.7,5,3.5,4.3,+1.5,37,66,34,17,106,Matches,10f0fdd3
260,Héctor Bellerín,es ESP,DF,Barcelona,es La Liga,27-354,1995,1.6,77,96,80.2,1146,419,48,52,92.3,21,25,84.0,5,8,62.5,0,0.1,0.5,-0.1,1,10,4,0,13,Matches,f874dd44
261,Jude Bellingham,eng ENG,MF,Dortmund,de Bundesliga,19-252,2003,21.1,891,1111,80.2,15794,5175,396,464,85.3,339,398,85.2,114,161,70.8,4,2.5,2.8,+1.5,23,119,33,2,185,Matches,57d88cf9
262,Jeanöel Belocian,fr FRA,DF,Rennes,fr Ligue 1,18-019,2005,1.1,79,85,92.9,1454,551,26,30,86.7,48,48,100.0,5,7,71.4,0,0.0,0.0,0.0,0,2,0,0,3,Matches,c678ddd7
263,Andrea Belotti,it ITA,FW,Roma,it Serie A,29-078,1993,6.1,96,144,66.7,1271,226,53,69,76.8,25,38,65.8,5,6,83.3,0,0.7,0.2,-0.7,8,4,2,0,5,Matches,d705ba44
264,Fran Beltrán,es ESP,MF,Celta Vigo,es La Liga,24-033,1999,21.3,1097,1233,89.0,20054,4513,431,466,92.5,528,567,93.1,113,150,75.3,1,1.3,1.8,-0.3,17,82,10,2,92,Matches,ed5c5fa3
265,Eliesse Ben Seghir,fr FRA,FWMF,Monaco,fr Ligue 1,18-020,2005,6.8,186,237,78.5,2725,728,99,121,81.8,67,79,84.8,9,16,56.3,1,1.0,0.6,0.0,9,16,13,0,33,Matches,3bd65247
266,Salim Ben Seghir,fr FRA,MF,Marseille,fr Ligue 1,20-012,2003,0.0,2,2,100.0,18,1,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,1f6298f2
267,Wissam Ben Yedder,fr FRA,FW,Monaco,fr Ligue 1,32-208,1990,14.8,297,394,75.4,3901,821,175,216,81.0,87,114,76.3,9,22,40.9,4,2.6,2.7,+1.4,15,22,22,0,50,Matches,942b4f90
