Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches,-9999
477,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28-214,1994,17.2,911,1069,85.2,14005,4907,519,566,91.7,284,330,86.1,75,120,62.5,1,0.9,1.2,+0.1,14,71,5,0,70,Matches,ba3d3bea
478,Catena,es ESP,DF,Rayo Vallecano,es La Liga,28-131,1994,22.0,1004,1215,82.6,24166,9551,199,227,87.7,562,612,91.8,238,353,67.4,1,0.8,0.3,+0.2,4,77,2,0,76,Matches,274ab13c
479,Yoann Cathline,fr FRA,FWMF,Lorient,fr Ligue 1,20-229,2002,7.9,136,206,66.0,2057,714,82,105,78.1,40,65,61.5,10,21,47.6,1,0.6,0.7,+0.4,5,11,10,4,21,Matches,4db5915d
480,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26-020,1997,15.4,636,714,89.1,11617,4190,247,265,93.2,296,320,92.5,70,98,71.4,0,0.0,0.2,0.0,0,46,3,0,63,Matches,c92c24f0
481,Edinson Cavani,uy URU,FW,Valencia,es La Liga,36-022,1987,10.5,188,255,73.7,2997,394,111,143,77.6,53,68,77.9,20,24,83.3,1,1.3,0.7,-0.3,10,9,2,0,11,Matches,527f063d
482,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,26-213,1996,8.7,734,807,91.0,11810,3527,367,393,93.4,268,281,95.4,64,78,82.1,1,0.9,1.1,+0.1,19,121,8,1,116,Matches,c0617e2b
483,Pietro Ceccaroni,it ITA,DF,Lecce,it Serie A,27-077,1995,0.3,3,6,50.0,72,30,1,1,100.0,1,2,50.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,0,Matches,4d1efb48
484,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,30-301,1992,11.5,359,475,75.6,6432,2602,152,172,88.4,164,199,82.4,37,76,48.7,0,0.1,0.2,-0.1,4,38,4,0,43,Matches,d9624b51
485,Assan Ceesay,gm GAM,FW,Lecce,it Serie A,28-356,1994,12.5,153,254,60.2,2149,286,81,123,65.9,48,74,64.9,11,17,64.7,0,0.1,0.6,-0.1,3,7,2,0,14,Matches,07f8bcc8
486,Emil Ceide,no NOR,FW,Sassuolo,it Serie A,21-186,2001,3.7,75,109,68.8,1055,351,46,57,80.7,22,32,68.8,3,5,60.0,0,0.7,0.5,-0.7,6,4,8,1,13,Matches,98a84572
487,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26-019,1997,11.3,467,616,75.8,7329,3165,247,279,88.5,168,213,78.9,35,74,47.3,0,1.3,0.9,-1.3,13,32,15,3,44,Matches,31a62dc7
488,Álex Centelles,es ESP,DF,Almería,es La Liga,25-120,1997,0.6,15,26,57.7,255,142,5,7,71.4,9,12,75.0,0,5,0.0,0,0.1,0.0,-0.1,1,2,0,0,2,Matches,ae852b7d
489,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,27-051,1996,11.2,437,589,74.2,6843,3032,229,275,83.3,160,212,75.5,29,56,51.8,0,0.7,0.5,-0.7,7,36,10,8,62,Matches,3c6bbbab
490,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,28-286,1994,15.3,396,561,70.6,5850,1765,229,272,84.2,127,170,74.7,25,67,37.3,2,1.1,1.6,+0.9,16,30,13,4,41,Matches,5e1028e5
491,Julio César Enciso,py PAR,FWMF,Brighton,eng Premier League,19-044,2004,1.5,22,32,68.8,251,76,14,18,77.8,6,9,66.7,0,1,0.0,0,0.1,0.1,-0.1,2,3,1,0,5,Matches,9cfbad36
492,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,27-353,1995,6.0,,,,,,,,,,,,,,,0,,,,,,,,,Matches,f5dfc256
493,Julian Chabot,de GER,DF,Köln,de Bundesliga,25-024,1998,9.4,483,570,84.7,9780,3123,144,157,91.7,284,315,90.2,53,91,58.2,1,0.6,0.1,+0.4,2,25,0,0,20,Matches,ae7058f9
494,Florian Chabrolle,fr FRA,MF,Ajaccio,fr Ligue 1,24-335,1998,3.6,116,133,87.2,1767,361,58,63,92.1,49,56,87.5,3,8,37.5,0,0.0,0.1,0.0,0,7,2,0,14,Matches,5d9577aa
495,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17-296,2005,2.5,189,204,92.6,3235,1102,82,86,95.3,88,95,92.6,13,16,81.3,0,0.0,0.0,0.0,0,8,0,0,9,Matches,2180c761
496,Fares Chaïbi,fr FRA,FWMF,Toulouse,fr Ligue 1,20-100,2002,17.7,461,643,71.7,7152,1898,248,309,80.3,159,207,76.8,34,72,47.2,4,3.6,2.9,+0.4,21,45,13,2,63,Matches,357103bd
497,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,28-086,1994,0.1,4,5,80.0,67,9,2,2,100.0,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches,422862ea
498,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,23-246,1999,10.9,580,656,88.4,10731,3153,208,234,88.9,320,343,93.3,46,64,71.9,0,0.1,0.1,-0.1,1,26,1,0,32,Matches,5515376c
499,Calum Chambers,eng ENG,DFMF,Aston Villa,eng Premier League,28-047,1995,2.6,119,148,80.4,2293,982,49,55,89.1,57,65,87.7,13,24,54.2,0,0.0,0.0,0.0,0,5,1,0,10,Matches,dc6f5bdd
500,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,32-344,1990,0.9,31,53,58.5,680,507,7,19,36.8,16,22,72.7,7,9,77.8,0,0.0,0.0,0.0,1,7,0,0,7,Matches,b3b7f5a6
501,Gaëtan Charbonnier,fr FRA,FWMF,Auxerre,fr Ligue 1,34-071,1988,2.8,79,89,88.8,1359,298,36,42,85.7,33,36,91.7,7,7,100.0,0,0.2,0.1,-0.2,3,5,5,0,11,Matches,18ebca4b
502,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28-076,1994,17.5,689,843,81.7,15685,5980,186,211,88.2,356,390,91.3,136,221,61.5,0,0.3,0.4,-0.3,6,62,7,2,48,Matches,16aa7d4c
503,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,32-001,1991,19.0,654,795,82.3,10652,3529,312,347,89.9,247,287,86.1,57,98,58.2,2,1.9,1.8,+0.1,15,58,7,3,67,Matches,279ddf6a
504,Pep Chavarría,es ESP,FWDF,Rayo Vallecano,es La Liga,24-332,1998,1.1,41,63,65.1,627,194,21,27,77.8,15,20,75.0,2,7,28.6,0,0.1,0.1,-0.1,3,2,1,0,4,Matches,63c5e56b
505,Pape Cheikh Diop,sn SEN,MF,Elche,es La Liga,25-212,1997,0.4,9,14,64.3,166,55,3,6,50.0,6,6,100.0,0,2,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches,873ce3a2
506,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,19-203,2003,11.3,474,630,75.2,7713,2085,263,310,84.8,145,190,76.3,51,96,53.1,4,4.7,5.2,-0.7,47,35,37,4,82,Matches,b34c63a5
507,Ilyes Cheti,dz ALG,DF,Angers,fr Ligue 1,28-045,1995,2.3,102,118,86.4,1660,453,53,58,91.4,35,39,89.7,10,15,66.7,0,0.2,0.0,-0.2,1,5,1,1,4,Matches,9d498560
508,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21-122,2001,20.0,502,645,77.8,11079,7453,146,147,99.3,264,267,98.9,89,227,39.2,0,0.3,0.2,-0.3,1,9,0,0,0,Matches,b3d76d84
509,Fabio Chiarodia,it ITA,DF,Werder Bremen,de Bundesliga,17-276,2005,0.0,1,2,50.0,17,17,0,0,,1,2,50.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,48780156
510,Federico Chiesa,it ITA,DFMF,Juventus,it Serie A,25-134,1997,4.2,112,152,73.7,1610,474,63,73,86.3,39,54,72.2,3,7,42.9,3,1.7,1.0,+1.3,9,10,6,4,11,Matches,b0f7e36c
511,Ben Chilwell,eng ENG,DFMF,Chelsea,eng Premier League,26-077,1996,7.9,411,529,77.7,5881,1697,258,278,92.8,118,157,75.2,22,60,36.7,2,0.6,0.5,+1.4,6,19,3,2,23,Matches,d2424d1b
512,Vlad Chiricheș,ro ROU,DF,Cremonese,it Serie A,33-114,1989,8.1,266,316,84.2,5259,2449,98,105,93.3,126,145,86.9,37,56,66.1,0,0.0,0.0,0.0,1,12,0,0,11,Matches,c316607a
513,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,25-289,1997,19.8,1031,1208,85.3,18958,5423,445,478,93.1,404,454,89.0,140,210,66.7,1,1.5,0.8,-0.5,21,150,10,1,146,Matches,68a26d51
514,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21-165,2001,17.0,560,711,78.8,10060,3376,221,264,83.7,245,287,85.4,65,109,59.6,2,1.9,1.6,+0.1,13,61,12,2,66,Matches,7909ffa4
515,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26-332,1996,12.0,885,946,93.6,16311,5210,329,355,92.7,480,490,98.0,67,87,77.0,1,0.4,0.6,+0.6,5,54,3,0,60,Matches,1cb49278
516,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,23-351,1999,23.0,565,852,66.3,16508,12793,99,99,100.0,263,269,97.8,203,479,42.4,0,0.0,0.1,0.0,0,11,0,0,2,Matches,af104654
517,Ryan Christie,sct SCO,MFFW,Bournemouth,eng Premier League,28-014,1995,11.6,285,355,80.3,4492,1068,151,180,83.9,99,109,90.8,22,40,55.0,0,1.0,1.1,-1.0,14,26,12,1,46,Matches,26ce2263
518,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,eng Premier League,19-139,2003,2.4,84,101,83.2,1056,280,60,71,84.5,11,14,78.6,5,5,100.0,0,0.1,0.1,-0.1,3,6,4,2,11,Matches,b2f9c73e
519,Samuel Chukwueze,ng NGA,FWMF,Villarreal,es La Liga,23-290,1999,14.5,409,542,75.5,6312,1239,231,266,86.8,135,174,77.6,34,53,64.2,5,2.6,2.2,+2.4,25,14,26,5,42,Matches,b8a642fc
520,Darko Churlinov,mk MKD,FW,Stuttgart,de Bundesliga,22-240,2000,0.3,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,c6608135
521,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23-003,2000,9.5,326,395,82.5,7219,2697,92,103,89.3,152,172,88.4,73,104,70.2,0,0.0,0.1,0.0,1,20,1,0,21,Matches,ec1a731e
522,Tolga Ciğerci,tr TUR,MF,Hertha BSC,de Bundesliga,30-350,1992,4.1,172,221,77.8,2789,806,77,91,84.6,80,101,79.2,10,18,55.6,1,0.1,0.1,+0.9,3,18,1,0,21,Matches,6e17c802
523,Yanis Cimignani,fr FRA,MFDF,Ajaccio,fr Ligue 1,21-045,2002,3.1,75,113,66.4,1245,267,41,51,80.4,25,40,62.5,8,14,57.1,0,0.1,0.1,-0.1,3,1,2,2,0,Matches,7495aba7
524,Daniel Ciofani,it ITA,FW,Cremonese,it Serie A,37-220,1985,6.2,58,104,55.8,823,284,32,45,71.1,16,32,50.0,5,9,55.6,0,0.4,0.6,-0.4,6,7,3,0,6,Matches,b09a3ecc
525,Tio Cipot,si SVN,DFFW,Spezia,it Serie A,19-322,2003,0.6,16,23,69.6,235,60,6,8,75.0,9,11,81.8,0,1,0.0,0,0.0,0.0,0.0,1,0,1,0,2,Matches,039a4fb6
526,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,es La Liga,28-357,1994,10.9,440,530,83.0,8590,2352,171,193,88.6,206,234,88.0,59,80,73.8,0,0.2,0.2,-0.2,4,49,3,0,50,Matches,9a0408b6
527,Souleymane Cissé,fr FRA,DF,Clermont Foot,fr Ligue 1,20-212,2002,0.4,8,11,72.7,129,16,5,5,100.0,3,5,60.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,ff4d0258
528,Patrick Ciurria,it ITA,DFMF,Monza,it Serie A,28-027,1995,17.8,603,761,79.2,9346,2968,329,373,88.2,210,273,76.9,42,74,56.8,4,4.4,2.0,-0.4,25,35,22,10,48,Matches,5de3866c
529,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18-029,2005,0.1,1,1,100.0,29,17,0,0,,1,1,100.0,0,0,,0,0.0,0.1,0.0,0,0,1,0,1,Matches,73341ace
530,Alexis Claude-Maurice,fr FRA,FW,Nice,fr Ligue 1,24-275,1998,0.7,20,25,80.0,260,33,12,13,92.3,5,7,71.4,1,2,50.0,0,0.0,0.0,0.0,1,1,1,0,2,Matches,741418c3
531,Alexis Claude-Maurice,fr FRA,MFFW,Lens,fr Ligue 1,24-275,1998,5.0,150,180,83.3,2006,389,94,106,88.7,44,54,81.5,5,8,62.5,2,0.8,0.7,+1.2,6,14,6,0,21,Matches,741418c3
532,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30-164,1992,18.0,682,905,75.4,10958,4079,362,430,84.2,258,326,79.1,40,86,46.5,8,5.8,4.9,+2.2,33,63,35,16,79,Matches,5219ab4a
533,Carlos Clerc,es ESP,DFMF,Elche,es La Liga,31-015,1992,16.8,568,795,71.4,8419,3424,337,388,86.9,183,254,72.0,33,94,35.1,1,1.1,1.3,-0.1,7,31,11,6,45,Matches,33a61a52
534,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31-337,1991,16.4,607,775,78.3,9536,3743,312,352,88.6,264,326,81.0,25,72,34.7,0,0.4,0.3,-0.4,5,50,4,3,50,Matches,0442183b
535,Conor Coady,eng ENG,DF,Everton,eng Premier League,30-011,1993,21.9,970,1145,84.7,20653,7960,268,286,93.7,546,585,93.3,148,256,57.8,1,0.3,0.5,+0.7,4,71,3,1,39,Matches,2928dca2
536,Marcus Coco,fr FRA,DFFW,Nantes,fr Ligue 1,26-257,1996,3.6,104,141,73.8,1607,561,60,74,81.1,30,38,78.9,9,20,45.0,0,0.6,0.5,-0.6,4,6,4,3,14,Matches,3010aefb
537,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,31-016,1992,6.5,287,353,81.3,6143,2229,72,88,81.8,165,183,90.2,44,68,64.7,1,0.3,0.1,+0.7,1,19,1,0,26,Matches,c4065f40
538,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,33-135,1989,5.5,119,143,83.2,1942,455,60,70,85.7,49,56,87.5,8,11,72.7,0,0.2,0.2,-0.2,2,12,3,1,17,Matches,963a9201
539,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34-148,1988,14.2,476,607,78.4,7794,3028,234,266,88.0,200,242,82.6,33,70,47.1,0,0.3,0.5,-0.3,2,25,13,6,45,Matches,0420d84f
540,David Čolina,hr CRO,DFMF,Augsburg,de Bundesliga,22-232,2000,0.7,18,31,58.1,288,158,12,17,70.6,4,6,66.7,2,6,33.3,0,0.0,0.0,0.0,1,2,1,0,2,Matches,dd5bbe0d
541,Álex Collado,es ESP,MF,Elche,es La Liga,23-320,1999,6.0,176,218,80.7,2509,495,107,116,92.2,47,57,82.5,12,22,54.5,1,0.9,1.1,+0.1,12,14,4,1,16,Matches,85dace26
542,Diego Collado,es ESP,FW,Villarreal,es La Liga,22-058,2001,0.1,5,7,71.4,111,15,2,3,66.7,2,2,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches,b3f62bfc
543,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,30-135,1992,15.4,615,714,86.1,12155,4061,165,186,88.7,380,412,92.2,58,96,60.4,0,0.0,0.1,0.0,0,38,1,0,33,Matches,8b95acda
544,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21-312,2001,16.9,835,942,88.6,17000,5845,240,262,91.6,475,506,93.9,102,150,68.0,0,0.1,0.2,-0.1,2,60,2,0,53,Matches,a8c19eb8
545,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,21-000,2002,11.8,157,246,63.8,1901,383,103,134,76.9,29,45,64.4,7,20,35.0,2,1.2,0.3,+0.8,13,13,4,1,18,Matches,04df29a5
546,Andrea Colpani,it ITA,MF,Monza,it Serie A,23-301,1999,5.6,179,229,78.2,2943,627,94,108,87.0,62,75,82.7,17,31,54.8,0,1.0,0.9,-1.0,8,17,9,2,28,Matches,6499048c
547,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,20-010,2003,5.1,379,424,89.4,6766,2803,161,177,91.0,177,193,91.7,35,44,79.5,0,0.1,0.2,-0.1,2,23,3,0,20,Matches,700783e7
548,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,26-268,1996,9.7,411,516,79.7,6427,1391,233,262,88.9,135,165,81.8,33,57,57.9,4,3.5,4.1,+0.5,29,18,26,11,41,Matches,042e8a49
549,Eray Cömert,ch SUI,DF,Valencia,es La Liga,25-032,1998,16.0,742,857,86.6,15942,5554,187,210,89.0,443,470,94.3,105,152,69.1,0,0.1,0.2,-0.1,3,43,2,0,48,Matches,15937e17
550,Santi Comesaña,es ESP,MF,Rayo Vallecano,es La Liga,26-154,1996,15.7,578,687,84.1,9523,2742,288,320,90.0,228,265,86.0,46,60,76.7,0,1.0,0.9,-1.0,21,69,8,0,94,Matches,5ae499d0
551,Andrea Consigli,it ITA,GK,Sassuolo,it Serie A,36-040,1987,23.0,792,1003,79.0,22514,14419,129,129,100.0,334,337,99.1,327,534,61.2,0,0.0,0.0,0.0,0,13,0,0,1,Matches,8cabdc1e
552,Abdu Conté,pt POR,DF,Troyes,fr Ligue 1,24-349,1998,11.1,469,593,79.1,8288,3068,203,241,84.2,219,255,85.9,39,63,61.9,2,1.8,1.4,+0.2,12,31,11,5,46,Matches,cfa49cc1
553,Andrea Conti,it ITA,DF,Sampdoria,it Serie A,29-006,1994,0.3,6,11,54.5,76,25,5,7,71.4,1,3,33.3,0,0,,0,0.0,0.0,0.0,0,0,0,0,1,Matches,8fef5412
554,Lewis Cook,eng ENG,MF,Bournemouth,eng Premier League,26-033,1997,16.7,511,651,78.5,8602,2679,245,279,87.8,207,241,85.9,45,82,54.9,2,2.2,2.0,-0.2,21,49,11,8,54,Matches,2afc7272
555,Steve Cook,eng ENG,DF,Nott'ham Forest,eng Premier League,31-323,1991,10.6,369,459,80.4,7884,2511,80,99,80.8,234,261,89.7,51,91,56.0,0,0.6,0.6,-0.6,3,18,2,1,19,Matches,3e5e4e63
556,Liam Cooper,sct SCO,DF,Leeds United,eng Premier League,31-190,1991,12.3,480,609,78.8,8789,3371,186,212,87.7,248,296,83.8,38,84,45.2,0,0.5,0.2,-0.5,4,29,0,0,26,Matches,dc64b8b3
557,Copete,es ESP,DF,Mallorca,es La Liga,23-149,1999,16.1,497,632,78.6,9879,4378,180,200,90.0,236,267,88.4,77,134,57.5,0,0.2,0.2,-0.2,2,44,3,0,46,Matches,0f26ffd7
558,Diego Coppola,it ITA,DF,Hellas Verona,it Serie A,19-070,2003,9.4,296,411,72.0,5626,2504,106,129,82.2,160,198,80.8,27,62,43.5,0,0.0,0.2,0.0,0,25,3,1,32,Matches,22ae86f9
559,Francis Coquelin,fr FRA,MF,Villarreal,es La Liga,31-299,1991,8.3,265,311,85.2,3778,803,152,167,91.0,80,88,90.9,14,20,70.0,0,1.0,1.2,-1.0,6,19,3,1,29,Matches,a6951bf8
560,Sébastien Corchia,fr FRA,DFMF,Nantes,fr Ligue 1,32-127,1990,6.8,198,299,66.2,3308,1472,96,122,78.7,77,122,63.1,16,32,50.0,1,0.3,0.4,+0.7,5,15,7,5,21,Matches,0e7ccfc4
561,Maxwel Cornet,ci CIV,FW,West Ham,eng Premier League,26-162,1996,1.0,20,30,66.7,266,46,13,18,72.2,7,8,87.5,0,0,,0,0.0,0.0,0.0,0,0,0,0,2,Matches,beb391dd
562,Jesús Corona,mx MEX,FW,Sevilla,es La Liga,30-061,1993,0.7,16,20,80.0,239,6,9,9,100.0,6,8,75.0,1,3,33.3,0,0.2,0.1,-0.2,1,0,0,0,1,Matches,fb938d24
563,Ángel Correa,ar ARG,FWMF,Atlético Madrid,es La Liga,27-364,1995,10.2,276,352,78.4,3545,840,184,208,88.5,60,80,75.0,12,27,44.4,0,2.6,2.6,-2.6,17,19,15,2,36,Matches,01eb744d
564,Joaquín Correa,ar ARG,FW,Inter,it Serie A,28-207,1994,4.8,90,122,73.8,1388,270,46,57,80.7,31,37,83.8,7,7,100.0,1,0.8,0.4,+0.2,5,8,1,0,8,Matches,45b9b619
565,Thierry Correia,pt POR,DF,Valencia,es La Liga,23-364,1999,16.3,782,1019,76.7,13103,4519,415,470,88.3,273,352,77.6,80,148,54.1,0,0.6,1.3,-0.6,10,72,16,8,75,Matches,c78b352d
566,Alessandro Cortinovis,it ITA,MF,Hellas Verona,it Serie A,22-042,2001,0.1,5,6,83.3,77,35,3,3,100.0,2,2,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,2,1,2,Matches,bfc359ed
567,Danny da Costa,de GER,DF,Mainz 05,de Bundesliga,29-238,1993,9.4,270,437,61.8,4858,2546,100,133,75.2,137,214,64.0,20,58,34.5,2,0.9,1.2,+1.1,10,29,17,7,47,Matches,5ddb8f9f
568,David Pereira da Costa,pt POR,MFFW,Lens,fr Ligue 1,22-062,2001,14.5,573,708,80.9,9010,2537,296,333,88.9,218,272,80.1,37,55,67.3,3,3.8,4.0,-0.8,26,66,31,4,109,Matches,59948ef7
569,Diego Costa,es ESP,FW,Wolves,eng Premier League,34-152,1988,7.9,81,110,73.6,910,124,49,56,87.5,19,25,76.0,1,1,100.0,0,0.3,0.4,-0.3,5,3,1,0,4,Matches,a190d597
570,Jaume Costa,es ESP,DF,Mallorca,es La Liga,34-355,1988,19.3,625,839,74.5,10557,3920,307,348,88.2,258,337,76.6,52,106,49.1,1,1.7,2.2,-0.7,22,48,20,12,56,Matches,808d48f3
571,Logan Costa,cv CPV,DF,Toulouse,fr Ligue 1,21-341,2001,0.5,18,20,90.0,381,158,5,5,100.0,8,8,100.0,4,5,80.0,0,0.0,0.0,0.0,0,1,0,0,2,Matches,bfb2056e
572,Nuno da Costa,cv CPV,FWMF,Auxerre,fr Ligue 1,32-026,1991,14.2,172,253,68.0,2737,877,75,112,67.0,55,73,75.3,20,27,74.1,2,2.0,1.3,0.0,15,14,6,2,22,Matches,909222de
573,Samu Costa,pt POR,MF,Almería,es La Liga,22-101,2000,13.8,551,707,77.9,10480,3361,224,256,87.5,247,290,85.2,73,117,62.4,0,0.5,0.6,-0.5,8,43,3,0,58,Matches,76c2a023
574,Benoît Costil,fr FRA,GK,Auxerre,fr Ligue 1,35-248,1987,19.0,414,593,69.8,13801,10403,54,54,100.0,173,179,96.6,186,357,52.1,0,0.0,0.0,0.0,0,11,0,0,1,Matches,2434f24a
575,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,30-198,1992,15.8,508,819,62.0,8840,4488,250,295,84.7,194,306,63.4,53,151,35.1,0,1.6,1.3,-1.6,16,51,16,10,73,Matches,fdf3cb77
576,Lassana Coulibaly,ml MLI,MF,Salernitana,it Serie A,26-332,1996,20.8,621,746,83.2,9719,2727,305,347,87.9,262,293,89.4,30,53,56.6,2,1.2,1.0,+0.8,13,59,7,1,74,Matches,85a44ecc
577,Tanguy Coulibaly,fr FRA,FWDF,Stuttgart,de Bundesliga,22-018,2001,1.6,49,69,71.0,704,233,32,35,91.4,12,18,66.7,3,6,50.0,0,0.3,0.4,-0.3,1,5,2,1,6,Matches,05ba9d7c
578,Thibaut Courtois,be BEL,GK,Real Madrid,es La Liga,30-301,1992,18.0,549,644,85.2,13336,8631,114,115,99.1,316,320,98.8,116,204,56.9,0,0.1,0.0,-0.1,1,4,0,0,0,Matches,1840e36d
579,Mathieu Coutadeur,fr FRA,MF,Ajaccio,fr Ligue 1,36-353,1986,12.9,641,752,85.2,10975,3012,291,321,90.7,238,281,84.7,78,104,75.0,0,0.6,0.8,-0.6,8,73,5,1,75,Matches,ef8ae23b
580,Philippe Coutinho,br BRA,MFFW,Aston Villa,eng Premier League,30-269,1992,8.8,288,384,75.0,4081,977,180,210,85.7,82,112,73.2,17,36,47.2,0,0.5,0.8,-0.5,8,30,8,2,48,Matches,0ef89a37
581,Yan Couto,br BRA,DFMF,Girona,es La Liga,20-278,2002,7.6,296,392,75.5,4711,1353,156,175,89.1,104,138,75.4,24,48,50.0,1,1.1,1.3,-0.1,9,23,14,6,37,Matches,1944818c
582,Conor Coventry,ie IRL,MFFW,West Ham,eng Premier League,22-348,2000,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches,a5ca9127
583,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,24-059,1999,14.2,429,592,72.5,7416,3170,204,248,82.3,182,235,77.4,30,70,42.9,1,0.8,0.8,+0.2,7,27,7,3,48,Matches,8f325097
584,Alessio Cragno,it ITA,GK,Monza,it Serie A,28-253,1994,1.0,29,31,93.5,634,441,7,7,100.0,18,18,100.0,4,6,66.7,0,0.0,0.0,0.0,0,0,0,0,0,Matches,f554e29b
585,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,33-083,1989,17.5,882,1109,79.5,14177,6575,498,531,93.8,301,375,80.3,73,147,49.7,0,2.6,2.3,-2.6,31,75,26,13,123,Matches,4f974391
586,Bryan Cristante,it ITA,MF,Roma,it Serie A,28-005,1995,23.1,1001,1230,81.4,18514,5693,431,488,88.3,418,479,87.3,126,212,59.4,1,1.0,1.3,0.0,12,124,12,3,113,Matches,16657b95
587,Domen Črnigoj,si SVN,MF,Salernitana,it Serie A,27-110,1995,3.2,76,106,71.7,1158,255,40,53,75.5,30,34,88.2,4,10,40.0,0,0.3,0.6,-0.3,2,8,0,0,3,Matches,22cd43d2
588,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,30-223,1992,16.0,540,718,75.2,9026,4099,263,293,89.8,229,298,76.8,42,100,42.0,0,0.8,0.8,-0.8,11,51,14,10,48,Matches,a56da3ba
589,Juan Cruz,es ESP,FW,Betis,es La Liga,22-317,2000,1.9,22,36,61.1,254,65,14,16,87.5,5,11,45.5,0,4,0.0,0,0.1,0.1,-0.1,2,0,0,0,1,Matches,cc2dd8a5
590,Juan Cuadrado,co COL,DFFW,Juventus,it Serie A,34-286,1988,14.0,646,776,83.2,12482,3006,274,304,90.1,261,303,86.1,103,142,72.5,3,2.1,1.6,+0.9,29,30,15,7,51,Matches,0ab1f153
591,Marc Cucurella,es ESP,DF,Chelsea,eng Premier League,24-229,1998,14.9,892,1070,83.4,13610,4066,487,527,92.4,324,372,87.1,50,97,51.5,2,0.4,0.7,+1.6,8,57,9,6,53,Matches,1daec722
592,Jorge Cuenca,es ESP,DF,Villarreal,es La Liga,23-111,1999,4.0,238,277,85.9,4564,1698,83,89,93.3,133,143,93.0,21,40,52.5,0,0.1,0.2,-0.1,1,15,2,0,20,Matches,0abc51f2
593,Braian Cufré,ar ARG,DF,Mallorca,es La Liga,26-083,1996,2.4,76,92,82.6,1256,437,40,43,93.0,25,29,86.2,7,12,58.3,0,0.0,0.1,0.0,1,4,1,0,7,Matches,192c89a6
594,Mickaël Cuisance,fr FRA,MF,Sampdoria,it Serie A,23-204,1999,3.5,91,113,80.5,1482,362,41,44,93.2,40,46,87.0,7,15,46.7,0,0.4,0.5,-0.4,2,4,5,0,9,Matches,5722eced
595,Matheus Cunha,br BRA,FW,Wolves,eng Premier League,23-285,1999,4.5,73,99,73.7,956,154,50,61,82.0,14,17,82.4,5,11,45.5,0,0.5,0.1,-0.5,4,2,2,0,6,Matches,dc62b55d
