Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
683,Moussa Diaby,fr FRA,FWMF,Leverkusen,de Bundesliga,23-244,1999,22,22,1787,19.9,8,4,12,8,0,1,2,0,8.2,7.4,5.3,12.7,80,67,180,0.40,0.20,0.60,0.40,0.60,0.41,0.26,0.68,0.37,0.64,Matches,aeed5c06
684,Mouctar Diakhaby,gn GUI,DF,Valencia,es La Liga,26-079,1996,17,16,1367,15.2,2,0,2,2,0,0,6,1,1.5,1.5,0.2,1.7,7,42,5,0.13,0.00,0.13,0.13,0.13,0.10,0.01,0.11,0.10,0.11,Matches,d2110326
685,Bafodé Diakité,fr FRA,DF,Lille,fr Ligue 1,22-061,2001,24,22,1962,21.8,2,0,2,2,0,0,5,0,0.9,0.9,0.6,1.6,28,125,59,0.09,0.00,0.09,0.09,0.09,0.04,0.03,0.07,0.04,0.07,Matches,1bfb6fef
686,Ibrahim Diakité,gn GUI,DF,Reims,fr Ligue 1,19-128,2003,3,1,131,1.5,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,0,2,6,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14,Matches,d8c19a60
687,Abdou Diallo,sn SEN,DFMF,RB Leipzig,de Bundesliga,26-308,1996,5,5,436,4.8,1,0,1,1,0,0,2,0,0.4,0.4,0.1,0.5,11,22,2,0.21,0.00,0.21,0.21,0.21,0.08,0.02,0.10,0.08,0.10,Matches,fc62f087
688,Baila Diallo,fr FRA,DFMF,Clermont Foot,fr Ligue 1,21-257,2001,4,0,63,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fb55f63a
689,Habib Diallo,sn SEN,FW,Strasbourg,fr Ligue 1,27-263,1995,26,21,1896,21.1,13,0,13,12,1,1,2,0,9.2,8.4,1.9,10.3,20,27,125,0.62,0.00,0.62,0.57,0.57,0.44,0.09,0.53,0.40,0.49,Matches,6605d143
690,Ibrahima Diallo,fr FRA,MF,Southampton,eng Premier League,24-000,1999,15,10,746,8.3,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,5,23,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,11ff3d56
691,Ismael Diallo,ci CIV,DF,Ajaccio,fr Ligue 1,26-038,1997,20,18,1616,18.0,0,0,0,0,0,0,5,1,0.2,0.2,0.4,0.6,31,57,16,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches,b3244eeb
692,Mamady Diarra,ml MLI,MFDF,Cádiz,es La Liga,22-255,2000,2,1,66,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,0,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.20,0.20,0.20,Matches,80211dc5
693,Mouhamadou Diarra,sn SEN,MF,Strasbourg,fr Ligue 1,19-064,2004,17,9,855,9.5,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,29,37,34,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11,Matches,6d0fe035
694,Moussa Diarra,ml MLI,DF,Toulouse,fr Ligue 1,22-118,2000,19,10,1030,11.4,0,1,1,0,0,0,0,0,0.2,0.2,0.6,0.8,21,45,38,0.00,0.09,0.09,0.00,0.09,0.01,0.06,0.07,0.01,0.07,Matches,698f11e3
695,Stéphane Diarra,fr FRA,FWMF,Lorient,fr Ligue 1,24-089,1998,23,13,965,10.7,1,0,1,1,0,0,1,0,1.9,1.9,1.8,3.7,38,33,82,0.09,0.00,0.09,0.09,0.09,0.18,0.16,0.34,0.18,0.34,Matches,29939a1d
696,Youba Diarra,ml MLI,MF,Cádiz,es La Liga,24-349,1998,3,0,42,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d61759ec
697,Rúben Dias,pt POR,DF,Manchester City,eng Premier League,25-298,1997,18,14,1279,14.2,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.3,7,68,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,31c69ef1
698,Krépin Diatta,sn SEN,MFFW,Monaco,fr Ligue 1,24-011,1999,22,17,1588,17.6,2,2,4,2,0,0,3,0,3.3,3.3,2.6,5.9,58,67,173,0.11,0.11,0.23,0.11,0.23,0.19,0.15,0.33,0.19,0.33,Matches,8104e41e
699,Mory Diaw,sn SEN,GK,Clermont Foot,fr Ligue 1,29-259,1993,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f41a69e6
700,Brahim Díaz,es ESP,MF,Milan,it Serie A,23-217,1999,21,17,1172,13.0,4,3,7,4,0,0,2,0,3.3,3.3,3.6,6.9,52,81,70,0.31,0.23,0.54,0.31,0.54,0.25,0.28,0.53,0.25,0.53,Matches,407feb71
701,Luis Díaz,co COL,FW,Liverpool,eng Premier League,26-054,1997,8,7,613,6.8,3,2,5,3,0,0,2,0,1.7,1.7,1.0,2.7,21,25,72,0.44,0.29,0.73,0.44,0.73,0.26,0.15,0.40,0.26,0.40,Matches,4a1a9578
702,Justin Diehl,de GER,MFFW,Köln,de Bundesliga,18-101,2004,2,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d82a310a
703,Bamba Dieng,sn SEN,FWMF,Marseille,fr Ligue 1,22-350,2000,10,1,194,2.2,1,0,1,1,0,0,1,0,1.5,1.5,0.1,1.6,5,1,23,0.46,0.00,0.46,0.46,0.46,0.72,0.04,0.76,0.72,0.76,Matches,40774c6b
704,Bamba Dieng,sn SEN,FW,Lorient,fr Ligue 1,22-350,2000,6,4,315,3.5,1,0,1,0,1,1,0,0,2.0,1.2,0.6,1.8,2,2,22,0.29,0.00,0.29,0.00,0.00,0.56,0.16,0.73,0.34,0.50,Matches,40774c6b
705,Eric Dier,eng ENG,DF,Tottenham,eng Premier League,29-052,1994,24,23,2095,23.3,2,1,3,2,0,0,2,0,1.1,1.1,1.2,2.3,6,71,11,0.09,0.04,0.13,0.09,0.13,0.05,0.05,0.10,0.05,0.10,Matches,ac861941
706,Florian Dietz,de GER,FW,Köln,de Bundesliga,24-217,1998,11,4,395,4.4,1,0,1,1,0,0,1,0,2.5,2.5,0.3,2.8,8,5,22,0.23,0.00,0.23,0.23,0.23,0.57,0.07,0.64,0.57,0.64,Matches,8779ddf8
707,Lucas Digne,fr FRA,DF,Aston Villa,eng Premier League,29-231,1993,19,16,1264,14.0,1,0,1,1,0,0,3,0,0.3,0.3,1.6,1.9,23,51,74,0.07,0.00,0.07,0.07,0.07,0.02,0.11,0.13,0.02,0.13,Matches,1b84dbe1
708,Federico Dimarco,it ITA,DF,Inter,it Serie A,25-118,1997,23,20,1590,17.7,3,2,5,3,0,0,0,0,2.3,2.3,5.0,7.3,34,66,149,0.17,0.11,0.28,0.17,0.28,0.13,0.28,0.41,0.13,0.41,Matches,970b8574
709,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,es La Liga,29-073,1993,23,23,2070,23.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fc70e345
710,Junior Dina Ebimbe,fr FRA,DFMF,Eint Frankfurt,de Bundesliga,22-107,2000,11,8,780,8.7,2,1,3,2,0,0,1,0,1.9,1.9,1.4,3.3,28,28,26,0.23,0.12,0.35,0.23,0.35,0.22,0.16,0.38,0.22,0.38,Matches,95bb6ddc
711,Tristan Dingomé,cm CMR,MF,Troyes,fr Ligue 1,32-019,1991,8,0,99,1.1,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.4,1,6,4,0.00,0.00,0.00,0.00,0.00,0.16,0.23,0.39,0.16,0.39,Matches,92b56413
712,Eren Dinkçi,de GER,FWMF,Werder Bremen,de Bundesliga,21-085,2001,10,0,159,1.8,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,3,4,16,0.00,0.00,0.00,0.00,0.00,0.23,0.12,0.35,0.23,0.35,Matches,4ccd8957
713,Sinaly Diomande,ci CIV,DF,Lyon,fr Ligue 1,21-333,2001,15,14,1229,13.7,0,0,0,0,0,0,0,1,0.3,0.3,0.0,0.4,5,76,4,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,6de23ab0
714,Lois Diony,fr FRA,FW,Angers,fr Ligue 1,30-078,1992,8,5,437,4.9,1,0,1,1,0,0,1,0,1.7,1.7,0.3,2.1,13,9,48,0.21,0.00,0.21,0.21,0.21,0.35,0.07,0.42,0.35,0.42,Matches,4be0b467
715,Edan Diop,fr FRA,DF,Monaco,fr Ligue 1,18-192,2004,2,0,60,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,10,11,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Matches,37143438
716,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-058,1997,18,15,1416,15.7,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,8,53,3,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02,Matches,a712ca2b
717,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-272,2000,18,12,1007,11.2,1,4,5,1,0,0,1,0,1.4,1.4,1.5,2.9,42,44,70,0.09,0.36,0.45,0.09,0.45,0.13,0.13,0.26,0.13,0.26,Matches,19053e31
718,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-272,2000,1,1,65,0.7,1,0,1,1,0,0,0,0,1.0,1.0,0.1,1.1,5,2,10,1.38,0.00,1.38,1.38,1.38,1.40,0.11,1.51,1.40,1.51,Matches,19053e31
719,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-112,1999,19,19,1710,19.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,eedea60b
720,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24-362,1998,26,25,2250,25.0,2,3,5,2,0,1,2,0,2.8,2.0,1.1,3.1,46,142,12,0.08,0.12,0.20,0.08,0.20,0.11,0.04,0.15,0.08,0.12,Matches,ad82197c
721,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-147,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.61,0.00,0.61,0.61,0.61,Matches,a461f098
722,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-333,2000,25,24,2017,22.4,2,0,2,2,0,0,7,0,1.4,1.4,0.1,1.5,9,69,4,0.09,0.00,0.09,0.09,0.09,0.06,0.01,0.07,0.06,0.07,Matches,b2336681
723,Djené,tg TOG,DF,Getafe,es La Liga,31-067,1991,21,21,1806,20.1,0,1,1,0,0,0,7,0,0.3,0.3,0.3,0.6,5,44,11,0.00,0.05,0.05,0.00,0.05,0.01,0.02,0.03,0.01,0.03,Matches,a4971d84
724,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-266,1998,12,6,578,6.4,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,23,17,32,0.00,0.16,0.16,0.00,0.16,0.03,0.04,0.07,0.03,0.07,Matches,254147d4
725,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-098,1992,22,20,1784,19.8,1,0,1,1,0,0,2,0,0.9,0.9,0.1,1.1,6,67,12,0.05,0.00,0.05,0.05,0.05,0.05,0.01,0.05,0.05,0.05,Matches,933d3b51
726,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-211,1994,23,23,1976,22.0,1,2,3,1,0,0,4,0,1.1,1.1,0.6,1.7,4,119,3,0.05,0.09,0.14,0.05,0.14,0.05,0.03,0.08,0.05,0.08,Matches,43e7a164
727,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-017,1993,13,9,893,9.9,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,4,25,6,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,6eee05f1
728,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-155,1999,4,0,64,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,1,3,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,Matches,627b570a
729,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-043,1992,3,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ac295d9e
730,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,20-354,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1bd5bdc4
731,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-117,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,733f1a7d
732,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-265,1998,23,20,1597,17.7,2,3,5,2,0,0,2,0,3.9,3.9,2.1,6.0,59,47,125,0.11,0.17,0.28,0.11,0.28,0.22,0.12,0.34,0.22,0.34,Matches,d01bbb6f
733,Dodô,br BRA,DF,Fiorentina,it Serie A,24-111,1998,21,18,1495,16.6,0,2,2,0,0,0,5,1,0.5,0.5,0.9,1.4,37,97,77,0.00,0.12,0.12,0.00,0.12,0.03,0.05,0.08,0.03,0.08,Matches,b5f7d10b
734,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-251,1998,14,14,1254,13.9,4,1,5,4,0,0,0,0,1.3,1.3,0.1,1.4,12,47,14,0.29,0.07,0.36,0.29,0.36,0.09,0.01,0.10,0.09,0.10,Matches,f67c9d29
735,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-051,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,16,20,57,0.13,0.00,0.13,0.13,0.13,0.10,0.04,0.14,0.10,0.14,Matches,d557d734
736,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-051,1992,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d557d734
737,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-294,2002,17,13,1150,12.8,2,3,5,2,0,0,1,0,1.8,1.8,1.0,2.9,40,24,56,0.16,0.23,0.39,0.16,0.39,0.14,0.08,0.22,0.14,0.22,Matches,2f69d881
738,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-285,2002,19,5,601,6.7,1,0,1,1,0,0,0,0,1.4,1.4,1.6,3.0,42,33,78,0.15,0.00,0.15,0.15,0.15,0.21,0.24,0.45,0.21,0.45,Matches,fffea3e5
739,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-153,1997,4,2,197,2.2,0,1,1,0,0,0,0,0,0.0,0.0,0.4,0.4,2,2,9,0.00,0.46,0.46,0.00,0.46,0.02,0.18,0.20,0.02,0.20,Matches,cc83b74d
740,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-153,1997,8,4,342,3.8,0,0,0,0,0,0,0,0,0.5,0.5,0.4,0.9,5,5,16,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches,cc83b74d
741,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-025,2001,2,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3521abfe
742,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-253,1998,21,18,1581,17.6,1,2,3,1,0,0,7,0,1.2,1.2,1.8,3.0,25,96,56,0.06,0.11,0.17,0.06,0.17,0.07,0.10,0.17,0.07,0.17,Matches,20b3a502
743,John Donald,es ESP,DF,Elche,es La Liga,22-190,2000,3,2,150,1.7,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5e95c000
744,Giulio Donati,it ITA,DF,Monza,it Serie A,33-031,1990,6,3,309,3.4,1,0,1,1,0,0,3,1,0.5,0.5,0.0,0.5,3,17,8,0.29,0.00,0.29,0.29,0.29,0.15,0.00,0.15,0.15,0.15,Matches,22051fbe
745,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-162,2004,3,0,58,0.6,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,3,0,7,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,836dc4a8
746,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,22-037,2001,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1b5b32d2
747,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-011,1999,26,26,2340,26.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,08f5afaa
748,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25-052,1998,6,2,187,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,6,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7f73bdf4
749,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-079,1997,26,26,2340,26.0,2,0,2,2,0,0,4,0,3.5,3.5,0.2,3.6,12,111,11,0.08,0.00,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,Matches,67ac5bb8
750,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,30-356,1992,9,2,258,2.9,1,0,1,1,0,0,0,0,0.4,0.4,0.2,0.6,8,6,23,0.35,0.00,0.35,0.35,0.35,0.15,0.05,0.21,0.15,0.21,Matches,a1dbfcb1
751,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-175,2002,9,0,91,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,2,8,1,0.00,0.00,0.00,0.00,0.00,0.05,0.15,0.20,0.05,0.20,Matches,dff0c299
752,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-066,1993,16,8,756,8.4,1,0,1,1,0,0,4,0,1.0,1.0,0.8,1.8,11,23,26,0.12,0.00,0.12,0.12,0.12,0.12,0.10,0.22,0.12,0.22,Matches,02b29014
753,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23-059,2000,23,23,1888,21.0,0,2,2,0,0,0,9,1,0.8,0.8,1.6,2.4,13,98,10,0.00,0.10,0.10,0.00,0.10,0.04,0.08,0.11,0.04,0.11,Matches,ce4f40c7
754,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-334,2002,8,0,89,1.0,0,1,1,0,0,0,0,0,0.6,0.6,0.7,1.2,4,5,15,0.00,1.01,1.01,0.00,1.01,0.59,0.67,1.26,0.59,1.26,Matches,92d90c8f
755,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-278,2005,20,9,933,10.4,3,1,4,3,0,0,4,0,1.5,1.5,1.1,2.6,33,42,72,0.29,0.10,0.39,0.29,0.39,0.14,0.11,0.25,0.14,0.25,Matches,9e7483ff
756,Guela Doué,fr FRA,FW,Rennes,fr Ligue 1,20-142,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b4ef3fb5
757,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-227,2003,17,15,1381,15.3,1,1,2,1,0,0,5,0,0.2,0.2,0.4,0.5,17,64,12,0.07,0.07,0.13,0.07,0.13,0.01,0.02,0.04,0.01,0.04,Matches,0512a60a
758,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,20-018,2003,20,11,910,10.1,2,2,4,1,1,1,0,0,3.3,2.5,2.6,5.1,24,62,64,0.20,0.20,0.40,0.10,0.30,0.32,0.26,0.58,0.24,0.50,Matches,9226aa22
759,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-165,1996,19,19,1534,17.0,0,0,0,0,0,0,2,1,0.5,0.5,1.4,1.9,41,46,73,0.00,0.00,0.00,0.00,0.00,0.03,0.08,0.11,0.03,0.11,Matches,9daeac61
760,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,24-047,1999,12,4,397,4.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,1,7,8,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,69fdb896
761,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-201,1997,23,23,1956,21.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,085e71a7
762,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-090,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e0d1510a
763,Dion Drena Beljo,hr CRO,FW,Augsburg,de Bundesliga,21-007,2002,7,6,415,4.6,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,4,8,22,0.22,0.00,0.22,0.22,0.22,0.06,0.05,0.11,0.06,0.11,Matches,9a2e3a23
764,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-286,1990,18,12,1014,11.3,3,3,6,3,0,0,2,1,2.0,2.0,1.7,3.7,11,34,51,0.27,0.27,0.53,0.27,0.53,0.17,0.15,0.33,0.17,0.33,Matches,809940aa
765,Domingos Duarte,pt POR,DF,Getafe,es La Liga,27-363,1995,23,23,2025,22.5,0,2,2,0,0,0,8,0,1.1,1.1,0.8,1.8,4,45,0,0.00,0.09,0.09,0.00,0.09,0.05,0.03,0.08,0.05,0.08,Matches,93090f69
766,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34-052,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
767,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-001,1994,23,23,1910,21.2,5,5,10,5,0,1,2,0,6.3,5.6,3.8,9.4,21,36,155,0.24,0.24,0.47,0.24,0.47,0.30,0.18,0.48,0.26,0.44,Matches,638a4d71
768,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28-093,1994,6,5,444,4.9,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0.6,3,22,11,0.00,0.00,0.00,0.00,0.00,0.08,0.05,0.13,0.08,0.13,Matches,79ca3e23
769,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,28-093,1994,13,9,689,7.7,0,0,0,0,0,0,4,0,0.7,0.7,0.7,1.4,12,40,33,0.00,0.00,0.00,0.00,0.00,0.10,0.09,0.18,0.10,0.18,Matches,79ca3e23
770,Shane Duffy,ie IRL,FWDF,Fulham,eng Premier League,31-066,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7314bba4
771,Rémy Dugimont,fr FRA,FWMF,Auxerre,fr Ligue 1,36-250,1986,10,0,108,1.2,0,1,1,0,0,0,1,0,0.1,0.1,0.3,0.4,2,8,12,0.00,0.83,0.83,0.00,0.83,0.10,0.23,0.33,0.10,0.33,Matches,6d7ede84
772,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-324,1996,22,17,1454,16.2,1,3,4,1,0,0,4,0,2.8,2.8,3.6,6.4,38,36,112,0.06,0.19,0.25,0.06,0.25,0.17,0.22,0.39,0.17,0.39,Matches,481c9ece
773,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29-363,1993,14,7,597,6.6,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.4,9,39,19,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.05,0.04,0.05,Matches,528492ea
774,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31-107,1991,23,23,2069,23.0,0,0,0,0,0,0,2,0,1.0,1.0,0.3,1.3,11,90,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches,282f75f3
775,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,30-004,1993,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0e12089d
776,Jhon Durán,co COL,FW,Aston Villa,eng Premier League,19-085,2003,4,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,8,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,414184f7
777,Pablo Durán,es ESP,MFDF,Celta Vigo,es La Liga,22-042,2001,4,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6db116ec
778,Hugo Duro,es ESP,FW,Valencia,es La Liga,23-118,1999,18,7,811,9.0,1,0,1,1,0,0,3,0,2.3,2.3,0.7,3.0,8,7,52,0.11,0.00,0.11,0.11,0.11,0.25,0.08,0.34,0.25,0.34,Matches,37e103f8
779,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-239,1997,22,16,1568,17.4,0,0,0,0,0,0,1,0,0.3,0.3,0.7,1.0,40,91,67,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,Matches,0cbc8baa
780,Paulo Dybala,ar ARG,MFFW,Roma,it Serie A,29-113,1993,18,17,1341,14.9,8,6,14,6,2,2,3,0,6.1,4.5,5.4,9.9,42,52,81,0.54,0.40,0.94,0.40,0.81,0.41,0.36,0.77,0.30,0.66,Matches,e0921a4f
