Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
168,Sanoussy Ba,de GER,DF,RB Leipzig,de Bundesliga,19-062,2004,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f582d5c1
169,Iddrisu Baba,gh GHA,MF,Mallorca,es La Liga,27-045,1996,17,12,995,11.1,0,0,0,0,0,0,4,0,0.4,0.4,0.2,0.6,2,30,6,0.00,0.00,0.00,0.00,0.00,0.03,0.02,0.05,0.03,0.05,Matches,bfd381b3
170,Srđan Babić,rs SRB,DF,Almería,es La Liga,26-320,1996,21,20,1845,20.5,1,0,1,1,0,0,3,0,0.8,0.8,0.2,1.0,13,40,3,0.05,0.00,0.05,0.05,0.05,0.04,0.01,0.05,0.04,0.05,Matches,075fe5a3
171,Loïc Bade,fr FRA,DF,Sevilla,es La Liga,22-331,2000,6,5,448,5.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,4,22,2,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,114bbdee
172,Loïc Bade,fr FRA,DF,Rennes,fr Ligue 1,22-331,2000,1,1,90,1.0,0,1,1,0,0,0,1,0,0.2,0.2,0.1,0.3,0,3,0,0.00,1.00,1.00,0.00,1.00,0.20,0.06,0.26,0.20,0.26,Matches,114bbdee
173,Édgar Badía,es ESP,GK,Elche,es La Liga,31-024,1992,24,24,2160,24.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e4346678
174,Benoît Badiashile,fr FRA,DF,Chelsea,eng Premier League,21-347,2001,6,6,540,6.0,0,0,0,0,0,0,1,0,0.6,0.6,0.5,1.1,8,32,1,0.00,0.00,0.00,0.00,0.00,0.10,0.08,0.19,0.10,0.19,Matches,06df8256
175,Benoît Badiashile,fr FRA,DF,Monaco,fr Ligue 1,21-347,2001,11,9,839,9.3,2,0,2,2,0,0,3,0,0.6,0.6,0.4,1.0,3,39,0,0.21,0.00,0.21,0.21,0.21,0.07,0.04,0.11,0.07,0.11,Matches,06df8256
176,Alex Baena,es ESP,MFFW,Villarreal,es La Liga,21-231,2001,22,12,1263,14.0,4,1,5,4,0,0,11,1,2.0,2.0,3.9,5.9,34,70,73,0.29,0.07,0.36,0.29,0.36,0.14,0.28,0.42,0.14,0.42,Matches,518f2234
177,Jaime Báez,uy URU,DF,Cremonese,it Serie A,27-317,1995,2,1,96,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.3,5,4,8,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.24,0.12,0.24,Matches,dfd24c07
178,Leon Bailey,jm JAM,FWMF,Aston Villa,eng Premier League,25-211,1997,24,19,1482,16.5,4,2,6,4,0,0,4,0,4.5,4.5,2.5,7.0,61,25,135,0.24,0.12,0.36,0.24,0.36,0.28,0.15,0.43,0.28,0.43,Matches,3a233281
179,Eric Bailly,ci CIV,DF,Marseille,fr Ligue 1,28-330,1994,9,4,422,4.7,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,3,5,3,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,a1232f4e
180,Dénys Bain,fr FRA,DF,Auxerre,fr Ligue 1,29-249,1993,2,1,126,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5065d67d
181,Brandon Baiye,be BEL,MF,Clermont Foot,fr Ligue 1,22-071,2000,7,0,51,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.21,0.00,0.21,Matches,7e3e825e
182,Stefan Bajcetic,es ESP,MF,Liverpool,eng Premier League,18-137,2004,10,5,439,4.9,1,0,1,1,0,0,2,0,0.8,0.8,0.4,1.1,8,21,1,0.21,0.00,0.21,0.21,0.21,0.15,0.08,0.23,0.15,0.23,Matches,32e8417f
183,Nedim Bajrami,al ALB,MFFW,Empoli,it Serie A,24-008,1999,19,8,941,10.5,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,21,29,47,0.10,0.10,0.19,0.10,0.19,0.12,0.11,0.23,0.12,0.23,Matches,f42d6c13
184,Nedim Bajrami,al ALB,FW,Sassuolo,it Serie A,24-008,1999,5,2,286,3.2,1,0,1,1,0,0,0,0,1.2,1.2,0.5,1.7,5,13,23,0.31,0.00,0.31,0.31,0.31,0.39,0.15,0.54,0.39,0.54,Matches,f42d6c13
185,Cédric Bakambu,cd COD,MF,Marseille,fr Ligue 1,31-331,1991,3,0,59,0.7,0,1,1,0,0,0,0,0,0.0,0.0,1.0,1.0,1,0,4,0.00,1.53,1.53,0.00,1.53,0.00,1.56,1.56,0.00,1.56,Matches,0af4dcf0
186,Tiemoué Bakayoko,fr FRA,MF,Milan,it Serie A,28-203,1994,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,59bf127b
187,Mitchel Bakker,nl NED,MFDF,Leverkusen,de Bundesliga,22-261,2000,18,12,1058,11.8,2,2,4,2,0,0,4,1,1.1,1.1,1.9,3.1,18,42,48,0.17,0.17,0.34,0.17,0.34,0.09,0.17,0.26,0.09,0.26,Matches,a8567629
188,Ridle Baku,de GER,DF,Wolfsburg,de Bundesliga,24-334,1998,23,22,1973,21.9,5,1,6,5,0,0,4,0,2.5,2.5,3.0,5.5,41,103,108,0.23,0.05,0.27,0.23,0.27,0.11,0.14,0.25,0.11,0.25,Matches,442b56fa
189,Tommaso Baldanzi,it ITA,MF,Empoli,it Serie A,19-350,2003,16,14,1001,11.1,4,0,4,4,0,0,1,0,1.2,1.2,0.9,2.1,32,45,52,0.36,0.00,0.36,0.36,0.36,0.11,0.08,0.19,0.11,0.19,Matches,102e2599
190,Alejandro Balde,es ESP,DF,Barcelona,es La Liga,19-141,2003,21,18,1480,16.4,0,4,4,0,0,0,2,0,0.4,0.4,3.2,3.6,51,50,128,0.00,0.24,0.24,0.00,0.24,0.03,0.19,0.22,0.03,0.22,Matches,5ccc9672
191,Thierno Balde,fr FRA,DF,Troyes,fr Ligue 1,20-271,2002,21,18,1524,16.9,0,0,0,0,0,0,1,0,0.2,0.2,0.7,1.0,41,43,76,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.06,0.01,0.06,Matches,3975195f
192,Carlos Baleba,cm CMR,MF,Lille,fr Ligue 1,19-064,2004,12,3,277,3.1,0,0,0,0,0,0,2,1,0.3,0.3,0.1,0.3,12,21,6,0.00,0.00,0.00,0.00,0.00,0.08,0.03,0.11,0.08,0.11,Matches,a1390d2f
193,Mikel Balenziaga,es ESP,DF,Athletic Club,es La Liga,35-007,1988,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,4,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1fe67e86
194,Leonardo Balerdi,ar ARG,DF,Marseille,fr Ligue 1,24-041,1999,26,23,2035,22.6,0,1,1,0,0,0,5,0,0.6,0.6,0.1,0.7,11,70,13,0.00,0.04,0.04,0.00,0.04,0.02,0.00,0.03,0.02,0.03,Matches,7c3ed041
195,Iván Balliu,al ALB,DF,Rayo Vallecano,es La Liga,31-066,1992,24,24,2115,23.5,0,0,0,0,0,0,4,0,0.3,0.3,1.8,2.1,54,93,99,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches,cee88597
196,Fodé Ballo-Touré,sn SEN,DF,Milan,it Serie A,26-064,1997,3,2,196,2.2,1,0,1,1,0,0,0,0,0.1,0.1,0.1,0.2,5,11,16,0.46,0.00,0.46,0.46,0.46,0.07,0.03,0.09,0.07,0.09,Matches,f449640d
197,Folarin Balogun,eng ENG,FW,Reims,fr Ligue 1,21-248,2001,25,22,1943,21.6,15,1,16,11,4,5,3,0,16.1,12.1,2.0,14.0,38,37,175,0.69,0.05,0.74,0.51,0.56,0.75,0.09,0.84,0.56,0.65,Matches,31822f8c
198,Abdoulaye Bamba,ci CIV,DF,Angers,fr Ligue 1,32-317,1990,9,4,555,6.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6,20,11,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,Matches,7fecbcdb
199,Jonathan Bamba,fr FRA,FW,Lille,fr Ligue 1,26-347,1996,22,20,1796,20.0,5,4,9,5,0,0,4,0,5.2,5.2,4.7,9.9,76,107,224,0.25,0.20,0.45,0.25,0.45,0.26,0.23,0.49,0.26,0.49,Matches,b2bd0f6c
200,Patrick Bamford,eng ENG,FW,Leeds United,eng Premier League,29-184,1993,17,9,825,9.2,1,2,3,1,0,1,1,0,5.3,4.5,0.7,5.2,8,13,54,0.11,0.22,0.33,0.11,0.33,0.58,0.07,0.65,0.49,0.57,Matches,93feac6e
201,Lameck Banda,zm ZAM,FWMF,Lecce,it Serie A,22-038,2001,25,13,1166,13.0,1,1,2,1,0,0,4,0,1.8,1.8,1.0,2.8,55,19,110,0.08,0.08,0.15,0.08,0.15,0.14,0.08,0.22,0.14,0.22,Matches,8a6de8c7
202,Filippo Bandinelli,it ITA,MF,Empoli,it Serie A,27-344,1995,24,20,1659,18.4,2,0,2,2,0,0,5,0,1.4,1.4,2.3,3.7,29,75,72,0.11,0.00,0.11,0.11,0.11,0.08,0.12,0.20,0.08,0.20,Matches,d44360be
