Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
30,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-163,1999,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches,cb6d81b3
31,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-312,1996,13.4,817,17,172,456,199,10,817,14,6,42.9,4,28.6,520,3397,1427,19,27,1,14,3,575,25,Matches,014aa7bd
32,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-115,1998,18.3,806,9,127,361,341,39,806,63,26,41.3,31,49.2,489,3560,1982,58,48,15,48,46,510,77,Matches,46fa7204
33,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26-344,1996,8.7,439,70,245,180,18,8,439,4,4,100.0,0,0.0,248,917,432,1,0,0,4,1,278,4,Matches,288e1e13
34,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-317,1993,7.7,565,25,132,264,170,14,565,7,3,42.9,3,42.9,360,1794,805,13,9,1,9,3,332,35,Matches,3dd738a1
35,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,20-345,2002,0.5,34,0,7,19,8,3,34,2,1,50.0,1,50.0,16,83,23,1,1,1,2,0,21,8,Matches,a6c58494
36,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-345,2002,15.5,674,18,139,387,160,22,674,42,18,42.9,20,47.6,407,2982,1511,43,27,6,34,11,453,54,Matches,a6c58494
37,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-018,2004,0.2,18,0,3,8,7,0,18,1,1,100.0,0,0.0,12,74,21,0,1,0,4,2,12,2,Matches,22396615
38,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28-354,1994,10.0,523,13,97,292,143,22,523,26,11,42.3,11,42.3,352,1892,775,15,12,7,28,12,323,30,Matches,48b28bfd
39,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-161,1995,23.8,1389,215,743,627,29,11,1389,7,5,71.4,1,14.3,863,4097,2132,10,4,0,9,6,867,2,Matches,18abe173
40,Ola Aina,ng NGA,DF,Torino,it Serie A,26-152,1996,8.4,591,18,132,259,208,12,591,38,18,47.4,15,39.5,307,1926,997,32,23,5,13,6,339,39,Matches,246d153b
41,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,21-276,2001,11.2,696,38,219,257,230,27,696,43,23,53.5,18,41.9,370,2088,1189,30,13,10,27,9,421,73,Matches,9b398aea
42,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-074,2000,13.4,745,83,380,330,45,5,745,7,2,28.6,4,57.1,366,2470,1334,17,10,0,7,3,373,7,Matches,d810c13b
43,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-326,1998,8.5,412,45,184,167,64,9,412,7,1,14.3,4,57.1,214,1136,613,10,5,0,3,8,231,12,Matches,a8c0acb7
44,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-012,1994,8.6,336,8,31,172,136,50,335,4,2,50.0,2,50.0,225,901,202,2,7,1,19,10,262,55,Matches,462475ed
45,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-012,1994,5.2,231,3,15,108,109,40,231,4,2,50.0,2,50.0,91,343,89,3,0,0,19,8,174,41,Matches,462475ed
46,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-233,1995,17.1,1469,86,544,825,103,22,1469,4,3,75.0,1,25.0,1035,6070,3682,19,24,0,8,2,1139,8,Matches,89ac64a6
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-019,1995,15.8,1466,69,478,828,167,24,1466,3,2,66.7,1,33.3,920,4188,2590,19,11,2,12,0,1111,20,Matches,eaeca114
48,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-083,1997,23.4,1199,72,397,533,290,32,1199,45,25,55.6,16,35.6,620,4047,2168,59,34,11,26,24,672,81,Matches,06efa9dc
49,Maghnes Akliouche,fr FRA,MFDF,Monaco,fr Ligue 1,21-012,2002,2.8,134,4,20,54,62,9,134,6,2,33.3,4,66.7,107,600,265,5,3,1,5,6,98,21,Matches,b625b241
50,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-079,1997,2.6,119,8,27,80,13,0,119,1,0,0.0,1,100.0,52,138,34,0,1,0,0,0,74,1,Matches,31f5b89b
