Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Matches,-9999
314,Joaquín Blázquez,ar ARG,GK,Brest,fr Ligue 1,22-040,2001,1.0,32,26,32,0,0,0,32,0,0,,0,,15,104,55,0,0,0,0,0,6,0,Matches,6a9e4913
315,Alexis Blin,fr FRA,MFDF,Lecce,it Serie A,26-174,1996,16.1,842,68,262,432,150,12,842,8,3,37.5,5,62.5,344,1642,845,12,10,1,17,9,435,22,Matches,c69ef855
316,Daley Blind,nl NED,DFMF,Bayern Munich,de Bundesliga,33-000,1990,1.4,111,10,42,61,9,0,111,0,0,,0,,58,251,130,0,0,0,1,0,70,0,Matches,691bef82
317,Myron Boadu,nl NED,FW,Monaco,fr Ligue 1,22-054,2001,1.4,51,1,5,20,26,11,51,2,1,50.0,1,50.0,28,95,34,1,0,1,8,2,39,7,Matches,5b479568
318,Jérôme Boateng,de GER,DF,Lyon,fr Ligue 1,34-187,1988,3.5,193,31,95,97,1,0,193,0,0,,0,,127,546,196,0,0,0,0,0,121,0,Matches,2db2fd7b
319,Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,de Bundesliga,36-003,1987,1.6,123,6,24,63,36,7,123,1,0,0.0,1,100.0,73,260,63,0,1,0,7,5,84,12,Matches,f4ec4fd0
320,Antonin Bobichon,fr FRA,MF,Angers,fr Ligue 1,27-176,1995,0.2,23,0,2,9,13,3,23,0,0,,0,,16,77,48,2,1,0,0,0,15,8,Matches,7d937aa1
321,Jean-Paul Boëtius,nl NED,MF,Hertha BSC,de Bundesliga,28-352,1994,9.5,459,12,97,272,96,7,459,10,2,20.0,6,60.0,218,798,311,3,5,0,19,11,264,23,Matches,635f2732
322,Jeremie Boga,ci CIV,MFFW,Atalanta,it Serie A,26-065,1997,6.1,422,0,28,156,246,25,422,58,30,51.7,20,34.5,283,2457,1248,44,36,13,26,6,340,56,Matches,fe012aca
323,Emil Bohinen,no NOR,MF,Salernitana,it Serie A,23-362,1999,3.9,247,14,71,128,52,2,247,5,1,20.0,2,40.0,131,738,394,3,9,0,4,4,141,6,Matches,c83c203f
324,Quentin Boisgard,fr FRA,MF,Lorient,fr Ligue 1,25-357,1997,2.0,136,2,21,58,59,8,136,4,0,0.0,3,75.0,90,566,263,7,4,1,5,2,84,15,Matches,f6496133
325,Willy Boly,ci CIV,DF,Nott'ham Forest,eng Premier League,32-034,1991,6.6,324,60,221,91,14,8,324,2,1,50.0,0,0.0,157,741,352,1,1,0,2,0,168,0,Matches,a4ac4b8f
326,Giacomo Bonaventura,it ITA,MF,Fiorentina,it Serie A,33-199,1989,17.2,944,12,118,469,376,56,944,36,15,41.7,12,33.3,594,3404,1776,49,50,6,21,23,675,73,Matches,d995ed27
327,Federico Bonazzoli,it ITA,FWMF,Salernitana,it Serie A,25-292,1997,11.7,457,0,25,250,187,31,457,22,12,54.5,9,40.9,283,1090,422,11,10,3,41,12,353,67,Matches,bf57eaab
328,Warren Bondo,fr FRA,MF,Monza,it Serie A,19-175,2003,0.7,60,0,8,40,13,0,60,4,3,75.0,1,25.0,45,315,147,3,3,0,1,1,51,2,Matches,0def2376
329,Theo Bongonda,cd COD,MFFW,Cádiz,es La Liga,27-109,1995,11.1,372,9,59,149,176,24,372,45,17,37.8,24,53.3,227,1699,826,30,19,6,22,12,245,55,Matches,0da6a13e
330,Kevin Bonifazi,it ITA,DF,Bologna,it Serie A,26-294,1996,4.6,309,48,171,126,15,4,309,1,0,0.0,1,100.0,175,855,490,3,3,0,3,4,208,0,Matches,fb77bfef
331,Leonardo Bonucci,it ITA,DF,Juventus,it Serie A,35-312,1987,7.2,456,71,231,222,7,5,455,1,1,100.0,0,0.0,258,1104,627,2,2,0,2,0,306,1,Matches,52ec54d0
332,Neto Borges,br BRA,DF,Clermont Foot,fr Ligue 1,26-177,1996,22.0,1333,75,429,543,382,47,1333,70,34,48.6,31,44.3,780,4400,2050,37,33,6,28,14,721,121,Matches,9f936061
333,Yvandro Borges Sanches,lu LUX,FWMF,M'Gladbach,de Bundesliga,18-289,2004,0.3,15,2,3,7,6,0,15,2,2,100.0,0,0.0,9,70,43,1,1,0,2,4,9,5,Matches,36578017
334,Sebastiaan Bornauw,be BEL,DF,Wolfsburg,de Bundesliga,23-352,1999,13.8,877,120,465,387,28,6,877,2,0,0.0,2,100.0,517,2291,1185,3,3,0,2,1,565,5,Matches,01834aa0
335,Rafael Borré,co COL,FWMF,Eint Frankfurt,de Bundesliga,27-175,1995,6.2,312,5,42,155,118,31,311,20,10,50.0,9,45.0,189,784,265,8,6,4,25,5,230,45,Matches,c68da769
336,Erik Botheim,no NOR,FW,Salernitana,it Serie A,23-058,2000,3.9,116,1,10,44,63,11,116,3,2,66.7,0,0.0,59,261,137,7,2,0,8,5,88,35,Matches,3d13d9e4
337,Sven Botman,nl NED,DF,Newcastle Utd,eng Premier League,23-056,2000,20.7,1266,218,741,471,58,35,1266,1,1,100.0,0,0.0,699,3184,1627,6,4,2,7,2,816,3,Matches,ccce7025
338,Kenji-Van Boto,mg MAD,DF,Auxerre,fr Ligue 1,27-002,1996,1.0,36,2,11,17,8,1,36,0,0,,0,,25,154,90,2,2,0,1,0,25,7,Matches,c03b7266
339,Kouamé Botué,bf BFA,FWMF,Ajaccio,fr Ligue 1,20-214,2002,2.5,84,1,7,31,49,13,84,5,1,20.0,4,80.0,55,398,131,4,3,3,10,1,57,16,Matches,65fcf987
340,Badredine Bouanani,dz ALG,FW,Nice,fr Ligue 1,18-091,2004,2.9,146,0,15,65,70,13,146,18,10,55.6,7,38.9,106,794,342,9,7,6,6,6,108,27,Matches,0400dd2f
341,Hicham Boudaoui,dz ALG,MF,Nice,fr Ligue 1,23-167,1999,11.5,741,28,209,383,162,16,741,30,8,26.7,18,60.0,510,2989,1315,22,26,4,14,6,490,29,Matches,f9d5908e
342,Franci Bouebari,fr FRA,DF,Strasbourg,fr Ligue 1,19-178,2003,0.8,36,1,13,12,11,0,36,1,1,100.0,0,0.0,14,46,11,0,0,0,1,2,13,2,Matches,4fb18ca4
343,Sofiane Boufal,ma MAR,FWMF,Angers,fr Ligue 1,29-173,1993,9.3,614,1,43,298,285,38,612,77,35,45.5,37,48.1,497,3351,1544,47,32,17,28,19,488,94,Matches,b0c71810
344,Wassim Boullif,es ESP,DFMF,Espanyol,es La Liga,18-034,2005,1.0,28,7,15,13,0,0,28,0,0,,0,,9,70,33,0,0,0,0,1,12,0,Matches,7f271d74
345,Yassine Bounou,ma MAR,GK,Sevilla,es La Liga,31-338,1991,21.5,907,683,891,17,0,0,907,0,0,,0,,539,2405,1261,0,0,0,3,0,502,0,Matches,f6798fc3
346,Ismaëlben Boura,fr FRA,DFFW,Lens,fr Ligue 1,22-207,2000,1.0,88,5,21,40,27,1,88,6,4,66.7,2,33.3,58,372,159,6,4,1,6,0,50,11,Matches,62e02107
347,Mehdi Bourabia,ma MAR,MF,Spezia,it Serie A,31-214,1991,21.3,1217,72,322,644,269,11,1217,44,18,40.9,22,50.0,581,2684,1341,27,20,4,40,18,686,25,Matches,0d077b88
348,Benjamin Bourigeaud,fr FRA,MFFW,Rennes,fr Ligue 1,29-054,1994,22.5,1527,30,168,719,650,55,1526,25,9,36.0,14,56.0,1109,5016,1833,26,52,3,24,13,1064,192,Matches,20e73fac
349,Edoardo Bove,it ITA,MF,Roma,it Serie A,20-297,2002,3.2,147,3,30,81,37,8,147,5,3,60.0,1,20.0,78,309,133,2,2,1,14,8,86,4,Matches,ae94a6c5
350,Jarrod Bowen,eng ENG,FWMF,West Ham,eng Premier League,26-079,1996,24.9,914,15,120,316,483,107,912,67,20,29.9,31,46.3,513,3800,1372,67,30,34,52,40,564,155,Matches,79c84d1c
351,Lucas Boyé,ar ARG,FW,Elche,es La Liga,27-009,1996,16.8,714,31,64,381,283,62,713,69,38,55.1,30,43.5,448,2267,910,36,22,15,99,57,511,99,Matches,d49f3e6b
352,Jayden Braaf,nl NED,MFFW,Hellas Verona,it Serie A,20-190,2002,1.6,61,0,11,26,26,9,61,10,6,60.0,4,40.0,40,280,127,5,4,2,8,9,40,11,Matches,c609e90e
353,Domagoj Bradarić,hr CRO,DF,Salernitana,it Serie A,23-089,1999,15.1,802,32,216,350,250,13,802,30,8,26.7,18,60.0,429,2749,1542,41,32,6,17,8,457,81,Matches,8bbe2df5
354,Bilal Brahimi,dz ALG,FWMF,Nice,fr Ligue 1,22-360,2000,5.6,301,1,27,121,156,19,301,17,5,29.4,11,64.7,235,1845,841,29,15,7,17,11,242,60,Matches,02bcaf8e
355,Martin Braithwaite,dk DEN,FWMF,Espanyol,es La Liga,31-277,1991,17.2,459,7,39,182,242,50,459,36,12,33.3,18,50.0,259,1258,601,17,15,8,32,14,338,77,Matches,fd771f95
356,Juan Brandáriz,es ESP,DF,Almería,es La Liga,24-007,1999,10.5,565,74,293,230,45,5,565,6,4,66.7,2,33.3,299,1491,647,9,4,1,8,5,343,8,Matches,2475cf9b
357,Julian Brandt,de GER,MFFW,Dortmund,de Bundesliga,26-311,1996,19.5,1198,9,126,486,606,59,1198,59,29,49.2,27,45.8,703,3678,1669,46,28,17,42,24,855,157,Matches,a167537f
358,Darko Brašanac,rs SRB,MF,Osasuna,es La Liga,31-025,1992,10.5,435,12,72,221,145,23,435,8,4,50.0,2,25.0,213,1096,587,15,11,0,18,10,262,32,Matches,4accb7e0
359,Lilian Brassier,fr FRA,DF,Brest,fr Ligue 1,23-127,1999,22.4,1316,150,613,567,152,15,1316,25,10,40.0,12,48.0,835,5004,2530,19,16,0,19,11,752,29,Matches,5b146df3
360,Claudio Bravo,cl CHI,GK,Betis,es La Liga,39-330,1983,6.0,194,160,192,2,0,0,194,0,0,,0,,78,467,309,0,0,0,0,0,62,0,Matches,10072610
361,Fabian Bredlow,de GER,GK,Stuttgart,de Bundesliga,28-007,1995,4.0,177,140,176,1,0,0,177,0,0,,0,,125,684,381,0,0,0,0,0,97,0,Matches,d28339cb
362,James Bree,eng ENG,DF,Southampton,eng Premier League,25-149,1997,1.9,107,6,20,35,52,1,107,2,1,50.0,1,50.0,48,175,59,1,2,0,1,1,52,7,Matches,c07b7c5c
363,Josip Brekalo,hr CRO,FW,Fiorentina,it Serie A,24-259,1998,0.2,23,0,3,8,12,1,23,1,0,0.0,0,0.0,14,79,31,1,1,0,0,1,15,4,Matches,d4a2533d
364,Josip Brekalo,hr CRO,MFFW,Wolfsburg,de Bundesliga,24-259,1998,3.0,168,0,21,103,48,3,168,8,5,62.5,2,25.0,106,752,296,9,7,2,3,6,134,17,Matches,d4a2533d
365,Gleison Bremer,br BRA,DF,Juventus,it Serie A,25-356,1997,20.5,1391,213,793,554,51,30,1391,6,2,33.3,4,66.7,764,3243,1620,6,6,0,12,4,900,2,Matches,5fd5ed86
366,Armando Broja,al ALB,FW,Chelsea,eng Premier League,21-180,2001,3.3,110,2,7,41,63,16,110,14,7,50.0,5,35.7,53,383,188,7,1,4,15,9,71,17,Matches,97220da2
367,Dylan Bronn,tn TUN,DF,Salernitana,it Serie A,27-263,1995,15.8,1033,93,474,518,44,9,1033,9,5,55.6,3,33.3,549,2240,1291,9,6,1,5,2,654,3,Matches,edd81e2a
368,John Brooks,us USA,DF,Hoffenheim,de Bundesliga,30-040,1993,4.0,301,35,158,143,3,1,301,2,1,50.0,0,0.0,175,777,347,1,1,0,1,0,182,1,Matches,e27da244
369,Moritz Broschinski,de GER,FW,Bochum,de Bundesliga,22-167,2000,1.0,39,1,3,13,23,10,39,1,0,0.0,1,100.0,28,111,47,3,0,3,8,3,28,10,Matches,bbd79358
370,Marcelo Brozović,hr CRO,MF,Inter,it Serie A,30-113,1992,9.3,753,34,180,475,105,8,753,9,6,66.7,3,33.3,473,2459,988,14,11,3,8,2,533,15,Matches,33b8d077
371,Cédric Brunner,ch SUI,DF,Schalke 04,de Bundesliga,29-020,1994,17.8,982,72,366,439,183,7,982,9,5,55.6,0,0.0,419,2214,1004,22,22,2,5,9,449,18,Matches,f0a37d36
372,Lewis Brunt,eng ENG,DF,Leicester City,eng Premier League,22-123,2000,0.3,23,1,8,12,3,0,23,0,0,,0,,9,30,4,0,0,0,0,0,13,2,Matches,a2081c6b
373,Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,de Bundesliga,24-171,1998,3.3,110,1,8,50,54,16,110,7,2,28.6,5,71.4,69,436,146,9,4,5,9,6,75,23,Matches,4e204552
374,Andreas Bruus,dk DEN,DFFW,Troyes,fr Ligue 1,24-052,1999,13.3,560,19,125,222,217,14,560,25,10,40.0,11,44.0,349,2130,844,33,18,6,17,3,336,85,Matches,b088d5d3
375,Bryan,es ESP,MFFW,Tottenham,eng Premier League,22-026,2001,1.6,80,1,13,30,37,2,80,5,2,40.0,3,60.0,55,337,145,4,3,0,5,3,61,15,Matches,7b5ab7f2
376,Bryan,es ESP,DFMF,Sevilla,es La Liga,22-026,2001,2.6,172,7,41,50,81,9,172,10,4,40.0,6,60.0,96,496,202,8,2,0,9,5,105,24,Matches,7b5ab7f2
377,Joe Bryan,eng ENG,MFDF,Nice,fr Ligue 1,29-173,1993,1.8,114,4,27,53,36,5,114,0,0,,0,,78,421,178,2,6,0,3,0,69,15,Matches,af69e7f0
378,Lee Buchanan,eng ENG,DFFW,Werder Bremen,de Bundesliga,22-002,2001,3.3,215,14,65,91,62,7,215,6,0,0.0,5,83.3,116,466,230,6,2,0,6,2,122,16,Matches,45e95f21
379,Ante Budimir,hr CRO,FW,Osasuna,es La Liga,31-230,1991,12.1,334,12,21,141,178,69,334,15,4,26.7,7,46.7,151,724,269,13,12,7,43,21,243,68,Matches,8f3565b3
380,Emi Buendía,ar ARG,MFFW,Aston Villa,eng Premier League,26-074,1996,16.3,852,20,135,412,314,50,852,30,13,43.3,13,43.3,527,2445,1152,33,24,15,39,39,605,81,Matches,66b76d44
381,Hugo Bueno,es ESP,DF,Wolves,eng Premier League,20-172,2002,11.6,670,41,266,215,195,13,670,24,9,37.5,12,50.0,314,2205,1190,41,24,4,14,7,355,52,Matches,bfc3b3a0
382,Santiago Bueno,uy URU,DF,Girona,es La Liga,24-120,1998,22.9,1476,130,712,735,36,13,1476,4,2,50.0,0,0.0,922,4785,3000,13,5,0,3,0,1029,2,Matches,edc98fac
383,Adam Buksa,pl POL,FWMF,Lens,fr Ligue 1,26-240,1996,0.7,26,0,0,15,11,5,26,0,0,,0,,21,81,11,0,0,0,7,2,23,7,Matches,3b676989
384,Marius Bülter,de GER,FWMF,Schalke 04,de Bundesliga,29-345,1993,19.3,756,12,92,289,386,89,754,55,14,25.5,35,63.6,443,2797,1282,49,30,17,54,24,534,130,Matches,ab5b7dc1
385,Cristian Buonaiuto,it ITA,MFFW,Cremonese,it Serie A,30-070,1992,6.2,382,6,36,149,202,30,382,27,12,44.4,13,48.1,211,1214,441,16,16,4,20,12,229,49,Matches,f3a9fa26
386,Facundo Buonanotte,ar ARG,FWMF,Brighton,eng Premier League,18-076,2004,0.6,27,0,1,9,18,3,27,0,0,,0,,23,99,45,1,1,0,1,1,24,2,Matches,468a7a91
387,Alessandro Buongiorno,it ITA,DF,Torino,it Serie A,23-276,1999,18.0,1069,83,429,578,68,21,1069,10,4,40.0,5,50.0,527,2394,1129,8,12,1,25,6,625,14,Matches,4ae67f27
388,Delano Burgzorg,nl NED,FWMF,Mainz 05,de Bundesliga,24-122,1998,2.3,78,1,3,25,51,9,78,12,5,41.7,7,58.3,54,320,84,1,0,3,13,6,61,20,Matches,05e2d5ea
389,Jonathan Burkardt,de GER,MFFW,Mainz 05,de Bundesliga,22-241,2000,5.9,180,2,19,65,99,37,179,20,11,55.0,8,40.0,128,642,257,9,7,6,17,9,139,46,Matches,05f99a4a
390,Oliver Burke,sct SCO,FWMF,Werder Bremen,de Bundesliga,25-336,1997,3.0,119,0,4,41,74,14,119,6,1,16.7,5,83.3,77,366,153,11,3,5,12,4,93,36,Matches,f631c17f
391,Dan Burn,eng ENG,DF,Newcastle Utd,eng Premier League,30-304,1992,22.6,1359,123,553,594,219,39,1359,15,8,53.3,7,46.7,606,2799,1448,17,14,1,16,5,745,27,Matches,b2d31e83
392,Maxime Busi,be BEL,DF,Reims,fr Ligue 1,23-146,1999,7.1,407,26,113,196,103,8,407,19,4,21.1,11,57.9,249,1627,818,15,15,3,12,4,216,25,Matches,7b082ec2
393,Sergio Busquets,es ESP,MF,Barcelona,es La Liga,34-236,1988,16.3,1314,43,255,885,188,10,1314,10,6,60.0,2,20.0,736,2964,1434,11,21,0,14,10,935,22,Matches,5ab0ea87
394,Aurélio Buta,pt POR,DF,Eint Frankfurt,de Bundesliga,26-027,1997,4.5,282,12,73,131,82,6,282,9,2,22.2,5,55.6,123,742,312,13,7,2,9,4,141,19,Matches,b4705807
395,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23-156,1999,2.0,70,64,70,0,0,0,70,0,0,,0,,46,210,72,0,0,0,0,0,29,0,Matches,db87a2c4
396,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,de Bundesliga,18-213,2004,4.7,204,3,26,62,122,31,204,41,13,31.7,24,58.5,153,1176,570,18,11,13,18,6,165,30,Matches,10745192
397,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,22-060,2001,1.1,71,13,34,33,6,1,71,2,1,50.0,0,0.0,28,117,67,0,1,0,2,0,27,3,Matches,ef6eef89
398,Rémy Cabella,fr FRA,MFFW,Lille,fr Ligue 1,33-001,1990,17.3,1313,11,109,608,609,82,1313,42,15,35.7,19,45.2,956,5502,2559,78,54,19,35,24,959,143,Matches,148e136f
399,Jimmy Cabot,fr FRA,DFMF,Lens,fr Ligue 1,28-325,1994,5.7,432,13,88,162,193,19,432,24,12,50.0,11,45.8,282,2002,887,26,17,8,26,6,247,65,Matches,46359159
400,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,31-265,1991,19.3,1071,143,513,508,54,25,1071,2,2,100.0,0,0.0,505,2155,962,9,5,1,4,2,582,3,Matches,69cbc8b6
401,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22-163,2000,4.1,318,22,99,144,80,7,318,12,5,41.7,5,41.7,149,1039,662,17,13,4,2,3,164,19,Matches,dd86e8e4
402,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,25-251,1997,14.5,891,59,310,438,153,13,891,10,3,30.0,6,60.0,441,2064,996,12,6,1,7,5,448,28,Matches,0118c54c
403,Cafú,pt POR,MF,Nott'ham Forest,eng Premier League,30-011,1993,0.1,3,1,2,1,0,0,3,0,0,,0,,2,12,7,0,0,0,0,0,1,0,Matches,85322440
404,Moisés Caicedo,ec ECU,MF,Brighton,eng Premier League,21-127,2001,21.2,1546,59,346,887,332,17,1546,24,13,54.2,11,45.8,919,3844,1706,18,16,4,25,17,1134,32,Matches,16264a81
405,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32-048,1991,5.2,466,2,71,220,184,18,466,11,5,45.5,4,36.4,300,1649,821,21,18,6,13,10,354,26,Matches,a8748947
406,Jens Cajuste,se SWE,MF,Reims,fr Ligue 1,23-211,1999,10.6,620,31,161,326,140,24,620,36,14,38.9,15,41.7,433,2427,1395,25,21,5,26,11,388,16,Matches,928a4a61
407,Cala,es ESP,DF,Cádiz,es La Liga,33-103,1989,1.5,59,13,37,21,1,1,59,0,0,,0,,19,59,8,0,0,0,0,1,22,0,Matches,fe05804b
408,Davide Calabria,it ITA,DF,Milan,it Serie A,26-093,1996,11.1,856,42,271,426,170,9,856,8,1,12.5,5,62.5,427,1914,1144,15,15,1,6,3,511,43,Matches,2146785a
409,Mattia Caldara,it ITA,DF,Spezia,it Serie A,28-308,1994,10.9,617,101,344,241,41,15,617,5,2,40.0,2,40.0,297,1539,705,5,3,0,5,4,282,4,Matches,ac7e640b
410,Luca Caldirola,it ITA,DF,Monza,it Serie A,32-036,1991,16.4,1023,123,510,462,55,7,1023,1,0,0.0,1,100.0,599,3162,1915,10,7,0,3,1,732,12,Matches,226008f1
411,Fernando Calero,es ESP,DFMF,Espanyol,es La Liga,27-176,1995,13.6,685,66,276,358,58,7,685,1,0,0.0,1,100.0,317,1351,662,5,5,1,9,4,361,1,Matches,41b3069f
412,Duje Ćaleta-Car,hr CRO,DF,Southampton,eng Premier League,26-173,1996,8.0,500,93,301,189,12,7,500,0,0,,0,,273,1376,693,2,1,0,1,0,311,0,Matches,94f8d10c
413,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,26-173,1996,0.1,3,1,2,1,0,0,3,0,0,,0,,2,5,3,0,0,0,0,0,2,0,Matches,94f8d10c
414,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-029,1994,20.1,1404,30,277,742,400,17,1403,16,6,37.5,5,31.3,808,3743,1674,29,28,2,24,8,926,43,Matches,cd0fa27b
415,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,20-195,2002,0.7,58,3,22,17,19,1,58,3,0,0.0,3,100.0,17,79,45,3,3,0,3,0,21,3,Matches,d1db4b83
416,Daniel Caligiuri,it ITA,DFMF,Augsburg,de Bundesliga,35-053,1988,2.9,169,11,56,71,47,5,169,11,5,45.5,4,36.4,73,417,221,7,5,1,5,4,74,7,Matches,d1273f09
417,Alexander Callens,pe PER,DF,Girona,es La Liga,30-309,1992,0.6,55,3,19,34,2,0,55,0,0,,0,,38,185,133,1,0,0,1,1,40,1,Matches,af34f10d
418,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,25-358,1997,8.1,225,6,17,99,115,36,225,18,10,55.6,6,33.3,115,610,223,11,5,8,24,11,176,30,Matches,59e6e5bf
419,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,24-252,1998,15.3,696,25,151,427,132,25,696,30,12,40.0,16,53.3,446,2502,1082,22,16,2,22,12,399,36,Matches,8577e60a
420,Mohamed Camara,gn GUI,MF,Roma,it Serie A,26-009,1997,4.2,219,7,39,149,39,1,219,8,5,62.5,2,25.0,138,866,433,10,5,1,3,5,138,9,Matches,13ea2544
421,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23-062,2000,16.4,1089,29,227,714,164,6,1089,36,15,41.7,12,33.3,835,4266,1938,21,18,1,25,17,780,11,Matches,489e80e3
422,Ousmane Camara,gn GUI,FWMF,Auxerre,fr Ligue 1,21-126,2001,0.3,11,0,0,3,8,1,11,1,0,0.0,0,0.0,7,71,35,2,2,0,0,0,5,1,Matches,5a6b06cd
423,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,20-003,2003,4.0,296,32,133,160,6,2,296,1,1,100.0,0,0.0,215,1459,942,4,2,0,4,1,212,0,Matches,7d3dfdfd
424,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,es La Liga,20-119,2002,13.2,1004,25,190,555,277,18,1004,44,26,59.1,14,31.8,651,3931,2266,44,53,5,25,14,755,60,Matches,7b9c2d84
425,Nicolò Cambiaghi,it ITA,FWMF,Empoli,it Serie A,22-071,2000,6.4,302,8,44,101,167,30,302,20,9,45.0,8,40.0,213,1783,756,31,17,10,18,10,222,47,Matches,91ff775f
426,Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,23-017,2000,16.8,1179,48,387,524,286,26,1179,41,19,46.3,20,48.8,658,3639,1907,47,40,13,31,14,716,66,Matches,247ed022
427,Axel Camblan,fr FRA,FWMF,Brest,fr Ligue 1,19-191,2003,0.8,46,0,6,17,24,9,46,4,1,25.0,3,75.0,28,282,81,2,3,1,4,3,30,9,Matches,9f4a940f
428,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-027,2001,19.3,522,19,36,231,262,67,522,32,11,34.4,20,62.5,323,1681,643,28,27,12,44,27,371,83,Matches,873619c6
429,Chem Campbell,wls WAL,FWMF,Wolves,eng Premier League,20-069,2002,0.8,47,1,6,19,23,5,47,4,2,50.0,2,50.0,39,303,70,2,6,1,3,6,36,10,Matches,6f711f67
430,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-056,1994,11.1,785,43,259,446,84,7,785,13,6,46.2,5,38.5,462,2311,985,12,7,1,9,4,521,8,Matches,a65ce836
431,Sergio Canales,es ESP,FWMF,Betis,es La Liga,32-021,1991,16.7,1042,10,121,485,457,36,1041,27,11,40.7,11,40.7,657,3998,1957,48,43,5,38,35,801,93,Matches,a6de370d
432,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,21-025,2002,2.5,115,2,19,44,54,13,115,7,2,28.6,4,57.1,74,522,283,12,6,7,9,2,82,27,Matches,b6a1cdf9
433,João Cancelo,pt POR,DF,Manchester City,eng Premier League,28-286,1994,14.2,1363,20,225,686,461,47,1363,58,28,48.3,23,39.7,837,4842,2791,71,39,21,18,14,1020,125,Matches,bd6351cd
434,João Cancelo,pt POR,FWDF,Bayern Munich,de Bundesliga,28-286,1994,2.5,215,13,69,93,54,8,215,18,6,33.3,9,50.0,119,446,178,1,3,2,3,1,139,21,Matches,bd6351cd
435,Antonio Candreva,it ITA,DFMF,Salernitana,it Serie A,36-009,1987,21.3,1322,42,268,583,487,30,1322,19,5,26.3,8,42.1,760,3970,1652,52,35,6,18,6,919,121,Matches,356c9002
436,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20-071,2002,0.3,8,0,0,2,6,4,8,1,0,0.0,0,0.0,6,34,7,1,0,0,0,0,7,2,Matches,4506aec5
437,Sergi Canós,es ESP,FWDF,Brentford,eng Premier League,26-035,1997,0.9,57,1,13,25,20,2,57,6,4,66.7,2,33.3,29,206,111,4,2,0,0,0,36,7,Matches,1137759d
438,Ander Capa,es ESP,DFMF,Athletic Club,es La Liga,31-029,1992,0.2,20,0,3,5,12,0,20,1,1,100.0,0,0.0,16,97,75,2,3,0,2,0,15,1,Matches,37f1cf47
439,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,35-328,1987,10.6,613,23,148,326,143,15,613,17,8,47.1,8,47.1,427,2361,905,12,17,4,18,12,393,23,Matches,79b2399c
440,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,34-241,1988,16.3,892,33,169,539,193,16,892,31,16,51.6,13,41.9,557,2937,1444,31,17,5,18,11,686,48,Matches,5acc4a10
441,Gianluca Caprari,it ITA,MFFW,Monza,it Serie A,29-222,1993,18.5,937,7,85,453,406,80,936,59,18,30.5,38,64.4,611,3681,1769,68,28,31,59,23,746,130,Matches,54e53b7e
442,Francesco Caputo,it ITA,FW,Sampdoria,it Serie A,35-215,1987,12.2,309,4,11,126,172,49,309,9,3,33.3,5,55.6,181,696,192,6,4,7,21,14,243,76,Matches,5bd72174
443,Francesco Caputo,it ITA,FWMF,Empoli,it Serie A,35-215,1987,8.7,229,3,16,100,114,47,229,7,0,0.0,5,71.4,148,533,154,7,2,3,23,12,197,66,Matches,5bd72174
444,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23-022,2000,20.3,1400,37,207,785,420,47,1400,50,23,46.0,22,44.0,1041,5078,1997,29,52,8,48,30,974,71,Matches,f81ef10d
445,Andrea Carboni,it ITA,DF,Monza,it Serie A,22-033,2001,1.9,104,4,41,43,20,4,104,3,1,33.3,2,66.7,50,284,190,4,2,0,0,0,66,2,Matches,f7e2af2c
446,Franco Carboni,it ITA,DF,Monza,it Serie A,19-339,2003,0.6,46,1,11,21,19,1,46,5,2,40.0,3,60.0,25,201,125,4,3,1,0,0,27,7,Matches,b033f803
447,Valentin Carboni,it ITA,MFFW,Inter,it Serie A,18-004,2005,0.2,18,0,3,10,6,0,18,2,2,100.0,0,0.0,14,146,61,1,0,0,1,2,11,1,Matches,707b98f1
