Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
2448,Ken Sema,se SWE,MFFW,Watford,eng Premier League,27,1993,9.5,1,0,0,15,7,0,31,5,6,0,0,0,53,12,23,34.3,Matches,1770bd68
2449,Nélson Semedo,pt POR,MFDF,Wolves,eng Premier League,27,1993,23.7,1,0,0,23,24,4,32,21,39,0,1,0,155,15,27,35.7,Matches,d04b94db
2450,Lion Semić,de GER,DF,Dortmund,de Bundesliga,17,2003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches,87ebd8c9
2451,Adrian Šemper,hr CRO,GK,Genoa,it Serie A,23,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,,Matches,f02dde20
2452,Stefano Sensi,it ITA,MFFW,Sampdoria,it Serie A,25,1995,8.4,1,0,0,18,24,0,6,6,9,0,0,0,48,8,4,66.7,Matches,b70bde8f
2453,Stefano Sensi,it ITA,MFFW,Inter,it Serie A,25,1995,1.9,0,0,0,4,5,1,2,0,3,0,0,0,14,2,2,50.0,Matches,b70bde8f
2454,Luigi Sepe,it ITA,GK,Salernitana,it Serie A,30,1991,15.5,2,0,0,0,3,0,0,1,0,0,0,0,20,3,0,100.0,Matches,343f753a
2455,Suat Serdar,de GER,MFFW,Hertha BSC,de Bundesliga,24,1997,24.6,6,0,0,37,47,2,6,20,30,0,0,0,153,19,24,44.2,Matches,b3325a30
2456,Laurens Serpe,it ITA,DF,Genoa,it Serie A,20,2001,0.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,Matches,79d60e74
2457,Janni Serra,de GER,FW,Arminia,de Bundesliga,23,1998,12.4,1,0,0,16,14,5,1,5,2,0,0,0,36,52,91,36.4,Matches,40b58bfc
2458,Javier Serrano,es ESP,MF,Atlético Madrid,es La Liga,18,2003,0.8,1,1,0,4,1,0,0,3,1,0,0,0,4,4,1,80.0,Matches,0a8fd9cb
2459,Nicolás Serrano,es ESP,MFFW,Athletic Club,es La Liga,18,2003,3.5,0,0,0,8,6,1,22,2,6,0,0,0,26,1,8,11.1,Matches,2ad0e5e5
2460,Zidan Sertdemir,dk DEN,MFFW,Leverkusen,de Bundesliga,16,2005,0.2,0,0,0,0,0,0,3,0,2,0,0,0,1,0,0,,Matches,eec1f7f4
2461,Ryan Sessegnon,eng ENG,DFMF,Tottenham,eng Premier League,21,2000,11.6,2,0,0,19,7,5,38,7,19,0,0,0,40,11,15,42.3,Matches,6aa3e78b
2462,Nils Seufert,de GER,MF,Greuther Fürth,de Bundesliga,24,1997,1.1,0,0,0,0,1,0,0,0,2,0,0,0,9,0,0,,Matches,0da32a38
2463,Salva Sevilla,es ESP,MF,Mallorca,es La Liga,37,1984,16.7,2,0,0,15,9,0,54,14,12,0,0,0,114,2,6,25.0,Matches,75bd85ea
2464,Stephan El Shaarawy,it ITA,FWDF,Roma,it Serie A,28,1992,11.7,1,0,0,8,12,3,18,11,8,0,0,0,63,14,15,48.3,Matches,d3aaad90
2465,Jamie Shackleton,eng ENG,DFMF,Leeds United,eng Premier League,21,1999,7.9,4,0,0,13,6,0,4,8,16,0,0,0,50,5,15,25.0,Matches,8d03ca5a
2466,Xherdan Shaqiri,ch SUI,FWMF,Lyon,fr Ligue 1,29,1991,7.5,0,0,0,8,2,3,38,2,3,0,0,0,34,1,0,100.0,Matches,6421ec64
2467,Luke Shaw,eng ENG,DF,Manchester Utd,eng Premier League,26,1995,17.8,8,0,0,32,16,3,109,9,13,0,1,0,95,20,15,57.1,Matches,9c94165b
2468,Jonjo Shelvey,eng ENG,MF,Newcastle Utd,eng Premier League,29,1992,22.0,7,1,1,18,8,0,43,22,17,0,0,0,160,10,10,50.0,Matches,3727dd3c
2469,Aimar Sher,se SWE,MF,Spezia,it Serie A,18,2002,0.5,0,0,0,0,0,0,0,3,1,0,0,0,3,1,1,50.0,Matches,ef301f96
2470,Eldor Shomurodov,uz UZB,FWMF,Roma,it Serie A,26,1995,8.7,2,0,0,16,6,4,11,2,4,0,0,0,28,22,33,40.0,Matches,57469b2d
2471,Shola Shoretire,eng ENG,MF,Manchester Utd,eng Premier League,17,2004,0.2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,,Matches,00f0482f
2472,Mahame Siby,ml MLI,DF,Strasbourg,fr Ligue 1,25,1996,0.2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,100.0,Matches,6d075c67
