Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
182,Valentin Atangana Edoa,fr FRA,MF,Reims,fr Ligue 1,17-196,2005,1,3,3,0.1,0.0,0,,0,1,3,1,3.00,0,0,0,0.00,-0.31,0.1,0.0,+0.1,+1.79,+1.47,Matches,6b5edd5d
183,Noah Atubolu,de GER,GK,Freiburg,de Bundesliga,20-288,2002,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches,dbd1b101
184,Pierre-Emerick Aubameyang,ga GAB,FW,Chelsea,eng Premier League,33-264,1989,12,441,37,19.6,4.9,4,67,0,8,22,4,1.33,3,4,-1,-0.20,-0.20,4.5,7.2,-2.6,-0.54,-0.62,Matches,d5dd5f1f
185,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,es La Liga,33-264,1989,1,9,9,0.4,0.1,0,,0,1,9,2,1.00,0,0,0,0.00,-1.59,0.4,0.1,+0.3,+2.87,+1.68,Matches,d5dd5f1f
186,Emil Audero,it ITA,GK,Sampdoria,it Serie A,26-050,1997,25,2250,90,100.0,25.0,25,90,25,0,,0,0.48,11,39,-28,-1.12,,21.4,37.9,-16.4,-0.66,,Matches,649b01d8
187,Tommaso Augello,it ITA,DF,Sampdoria,it Serie A,28-191,1994,24,1912,80,85.0,21.2,22,83,17,2,45,1,0.50,10,34,-24,-1.13,-0.06,18.2,32.1,-13.8,-0.65,+0.04,Matches,3cd3b384
188,Ludwig Augustinsson,se SWE,DF,Aston Villa,eng Premier League,28-322,1994,3,77,26,3.4,0.9,1,44,0,2,17,9,1.67,1,0,+1,+1.17,+1.50,2.5,0.8,+1.6,+1.92,+2.29,Matches,9fec8860
189,Ludwig Augustinsson,se SWE,DF,Mallorca,es La Liga,28-322,1994,2,79,40,3.7,0.9,1,71,0,1,8,3,0.00,0,3,-3,-3.42,-3.37,0.2,2.2,-2.0,-2.28,-2.08,Matches,9fec8860
190,Serge Aurier,ci CIV,DF,Nott'ham Forest,eng Premier League,30-075,1992,16,1250,78,55.6,13.9,14,83,9,2,45,0,1.38,11,18,-7,-0.50,+1.03,14.2,19.9,-5.6,-0.41,+0.29,Matches,5c2b4f07
191,Brandon Austin,eng ENG,GK,Tottenham,eng Premier League,24-060,1999,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,5e253986
192,Mathias Autret,fr FRA,MFFW,Auxerre,fr Ligue 1,32-008,1991,20,1259,63,53.8,14.0,16,72,0,4,26,4,0.70,15,26,-11,-0.79,+0.46,14.7,19.8,-5.1,-0.36,+0.01,Matches,7dfbba27
193,Ezequiel Ávila,ar ARG,FWMF,Osasuna,es La Liga,29-031,1994,21,1337,64,61.9,14.9,18,70,1,3,24,1,1.52,16,11,+5,+0.34,+0.99,17.2,13.1,+4.0,+0.27,+0.68,Matches,253a06b9
194,Cédric Avinel,gp GLP,DF,Ajaccio,fr Ligue 1,36-179,1986,17,1372,81,58.6,15.2,15,88,14,2,26,6,0.82,10,27,-17,-1.12,-0.19,16.5,19.1,-2.7,-0.17,-0.03,Matches,a94d93be
195,Taiwo Awoniyi,ng NGA,FW,Nott'ham Forest,eng Premier League,25-209,1997,16,730,46,32.4,8.1,9,67,0,7,18,2,0.81,6,18,-12,-1.48,-0.77,10.1,12.7,-2.5,-0.31,+0.33,Matches,e5478b87
196,Yasin Ayari,se SWE,MF,Brighton,eng Premier League,19-154,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,f173303a
197,Mehmet-Can Aydin,de GER,DF,Schalke 04,de Bundesliga,21-028,2002,12,386,32,18.6,4.3,2,81,1,10,22,7,0.83,3,8,-5,-1.17,-0.15,5.3,6.0,-0.6,-0.15,+0.31,Matches,fe46e261
198,André Ayew,gh GHA,FW,Nott'ham Forest,eng Premier League,33-082,1989,5,106,21,4.7,1.2,0,,0,5,21,0,1.00,2,5,-3,-2.55,-1.67,1.6,3.5,-1.9,-1.60,-1.12,Matches,5dbefa9d
199,Jordan Ayew,gh GHA,FWMF,Crystal Palace,eng Premier League,31-179,1991,25,1751,70,77.8,19.5,21,80,11,4,19,0,1.08,14,28,-14,-0.72,-1.26,15.8,28.8,-13.1,-0.67,-0.80,Matches,da052c14
200,Kaan Ayhan,tr TUR,DF,Sassuolo,it Serie A,28-119,1994,10,545,55,24.2,6.1,5,90,5,5,19,8,1.40,6,11,-5,-0.83,-0.72,5.7,7.3,-1.6,-0.26,-0.22,Matches,2200181e
201,Luke Ayling,eng ENG,DF,Leeds United,eng Premier League,31-196,1991,18,1064,59,47.3,11.8,11,88,10,7,14,2,0.78,10,18,-8,-0.68,-0.45,13.9,17.3,-3.4,-0.28,-0.14,Matches,420d7c7d
202,Ayman Azhil,ma MAR,MF,Leverkusen,de Bundesliga,21-333,2001,1,1,1,0.0,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,-0.13,0.0,0.0,0.0,0.00,-0.30,Matches,ce81d82d
