Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,-9999
488,Jack Butland,eng ENG,GK,Crystal Palace,eng Premier League,29-364,1993,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,cc70a1d5
489,Nathan Butler-Oyedeji,eng ENG,FW,Arsenal,eng Premier League,20-064,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,3a686640
490,Marcin Bułka,pl POL,GK,Nice,fr Ligue 1,23-156,1999,2,180,90,7.7,2.0,2,90,2,0,,9,0.50,1,2,-1,-0.50,-1.04,2.6,2.3,+0.2,+0.11,-0.20,Matches,db87a2c4
491,Jamie Bynoe-Gittens,eng ENG,FWMF,Dortmund,de Bundesliga,18-213,2004,12,422,35,20.4,4.7,3,56,0,9,28,0,2.75,15,3,+12,+2.56,+2.18,9.6,6.5,+3.1,+0.66,+0.25,Matches,10745192
492,Juan Cabal,co COL,DF,Hellas Verona,it Serie A,22-060,2001,4,102,26,4.5,1.1,0,,0,4,26,19,0.00,0,5,-5,-4.41,-3.91,1.4,2.2,-0.8,-0.71,-0.48,Matches,ef6eef89
493,Willy Caballero,ar ARG,GK,Southampton,eng Premier League,41-162,1981,0,,,,,0,,0,0,,10,,,,,,,,,,,,Matches,a179d516
494,Rémy Cabella,fr FRA,MFFW,Lille,fr Ligue 1,33-001,1990,20,1554,78,66.4,17.3,17,86,10,3,33,1,1.80,31,16,+15,+0.87,+1.10,34.1,15.3,+18.9,+1.09,+1.12,Matches,148e136f
495,Jimmy Cabot,fr FRA,DFMF,Lens,fr Ligue 1,28-325,1994,11,511,46,21.8,5.7,5,81,3,6,17,0,2.18,8,6,+2,+0.35,-0.48,11.2,6.7,+4.5,+0.78,+0.15,Matches,46359159
496,Leandro Cabrera,uy URU,DF,Espanyol,es La Liga,31-265,1991,21,1737,83,80.4,19.3,20,87,18,1,1,1,1.14,25,31,-6,-0.31,-0.31,22.9,24.1,-1.1,-0.06,+0.17,Matches,69cbc8b6
497,Liberato Cacace,nz NZL,DF,Empoli,it Serie A,22-163,2000,7,368,53,16.4,4.1,3,84,2,4,29,18,0.57,5,5,0,0.00,+0.48,4.5,8.4,-3.9,-0.96,-0.41,Matches,dd86e8e4
498,Anthony Caci,fr FRA,DF,Mainz 05,de Bundesliga,25-251,1997,20,1306,65,63.1,14.5,14,87,10,6,16,3,1.40,28,23,+5,+0.34,+0.46,20.5,20.8,-0.3,-0.02,+0.15,Matches,0118c54c
499,Cafú,pt POR,MF,Nott'ham Forest,eng Premier League,30-011,1993,1,7,7,0.3,0.1,0,,0,1,7,1,3.00,0,0,0,0.00,+0.96,0.0,0.2,-0.2,-2.58,-2.06,Matches,85322440
500,Federico Caia,it ITA,FW,Hellas Verona,it Serie A,19-322,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,58aed729
501,Moisés Caicedo,ec ECU,MF,Brighton,eng Premier League,21-127,2001,22,1909,87,92.2,21.2,21,89,18,1,34,0,1.73,40,25,+15,+0.71,+1.27,36.1,23.5,+12.6,+0.59,+0.57,Matches,16264a81
502,Tom Cairney,sct SCO,MF,Fulham,eng Premier League,32-048,1991,22,471,21,20.1,5.2,1,89,0,21,18,0,1.45,9,6,+3,+0.57,+0.53,9.0,9.7,-0.8,-0.15,+0.29,Matches,a8748947
503,Jens Cajuste,se SWE,MF,Reims,fr Ligue 1,23-211,1999,20,958,48,40.9,10.6,8,76,2,12,29,0,1.70,10,9,+1,+0.09,-0.36,13.3,14.1,-0.8,-0.08,-0.67,Matches,928a4a61
504,Cala,es ESP,DF,Cádiz,es La Liga,33-103,1989,3,137,46,6.3,1.5,1,72,0,2,33,9,0.67,0,3,-3,-1.97,-1.35,0.8,2.5,-1.7,-1.15,-0.47,Matches,fe05804b
505,Davide Calabria,it ITA,DF,Milan,it Serie A,26-093,1996,14,1000,71,44.4,11.1,13,77,6,1,2,2,1.71,20,20,0,0.00,-0.72,15.7,13.5,+2.2,+0.20,-0.39,Matches,2146785a
506,Mattia Caldara,it ITA,DF,Spezia,it Serie A,28-308,1994,16,982,61,43.6,10.9,10,86,8,6,20,8,1.06,7,19,-12,-1.10,-0.53,8.4,20.6,-12.2,-1.12,-0.93,Matches,ac7e640b
507,Luca Caldirola,it ITA,DF,Monza,it Serie A,32-036,1991,20,1477,74,65.6,16.4,17,81,10,3,31,4,1.55,23,19,+4,+0.24,+1.29,21.9,17.7,+4.3,+0.26,+0.94,Matches,226008f1
508,Fernando Calero,es ESP,DFMF,Espanyol,es La Liga,27-176,1995,18,1223,68,56.6,13.6,15,75,6,3,31,5,1.11,12,20,-8,-0.59,-0.78,12.7,17.3,-4.6,-0.34,-0.57,Matches,41b3069f
509,Duje Ćaleta-Car,hr CRO,DF,Southampton,eng Premier League,26-173,1996,10,716,72,31.8,8.0,7,84,5,3,42,5,0.80,7,11,-4,-0.50,+0.49,7.8,10.6,-2.8,-0.35,+0.03,Matches,94f8d10c
510,Duje Ćaleta-Car,hr CRO,DF,Marseille,fr Ligue 1,26-173,1996,1,8,8,0.3,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,-0.93,0.0,0.1,0.0,-0.25,-0.76,Matches,94f8d10c
511,Hakan Çalhanoğlu,tr TUR,MF,Inter,it Serie A,29-029,1994,24,1809,75,80.4,20.1,22,80,9,2,20,0,2.08,39,20,+19,+0.95,+1.15,34.6,17.6,+17.0,+0.85,+0.31,Matches,cd0fa27b
512,Kerim Calhanoglu,de GER,DF,Schalke 04,de Bundesliga,20-195,2002,3,63,21,3.0,0.7,0,,0,3,21,1,0.33,0,2,-2,-2.86,-1.87,0.6,2.5,-1.8,-2.63,-2.29,Matches,d1db4b83
513,Daniel Caligiuri,it ITA,DFMF,Augsburg,de Bundesliga,35-053,1988,12,264,22,12.8,2.9,2,74,1,10,12,11,0.92,2,10,-8,-2.73,-2.58,1.3,7.6,-6.3,-2.15,-1.84,Matches,d1273f09
514,Alexander Callens,pe PER,DF,Girona,es La Liga,30-309,1992,2,53,27,2.5,0.6,0,,0,2,27,2,1.50,0,0,0,0.00,0.00,0.2,0.3,-0.1,-0.14,-0.22,Matches,af34f10d
515,Dominic Calvert-Lewin,eng ENG,FW,Everton,eng Premier League,25-358,1997,11,731,66,31.2,8.1,9,77,3,2,20,0,0.73,5,12,-7,-0.86,-0.19,7.9,12.5,-4.5,-0.56,-0.02,Matches,59e6e5bf
516,Dawda Camara,mr MTN,FW,Girona,es La Liga,20-125,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,89b1ce31
517,Mahdi Camara,fr FRA,MF,Brest,fr Ligue 1,24-252,1998,20,1381,69,59.0,15.3,17,76,4,3,27,2,0.70,14,25,-11,-0.72,-0.34,17.3,24.4,-7.1,-0.46,-0.02,Matches,8577e60a
518,Mohamed Camara,gn GUI,MF,Roma,it Serie A,26-009,1997,9,377,42,16.8,4.2,5,71,0,4,6,12,1.78,2,4,-2,-0.48,-1.10,4.3,2.8,+1.5,+0.36,-0.56,Matches,13ea2544
519,Mohamed Camara,ml MLI,MF,Monaco,fr Ligue 1,23-062,2000,19,1473,78,62.9,16.4,17,81,12,2,45,1,2.05,38,23,+15,+0.92,+0.50,28.2,21.5,+6.7,+0.41,+0.05,Matches,489e80e3
520,Ousmane Camara,gn GUI,FWMF,Auxerre,fr Ligue 1,21-126,2001,3,24,8,1.0,0.3,0,,0,3,8,1,0.00,0,0,0,0.00,+1.01,1.2,0.0,+1.1,+4.09,+4.51,Matches,5a6b06cd
521,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,20-003,2003,6,363,61,15.5,4.0,4,79,3,2,24,10,0.00,5,14,-9,-2.23,-0.96,5.9,7.9,-2.0,-0.49,0.00,Matches,7d3dfdfd
522,Ousoumane Camara,fr FRA,MF,Auxerre,fr Ligue 1,24-080,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,c7511849
523,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,es La Liga,20-119,2002,24,1184,49,54.8,13.2,12,78,6,12,21,0,2.21,28,7,+21,+1.60,+0.86,31.4,9.8,+21.7,+1.65,+0.96,Matches,7b9c2d84
524,Nicolò Cambiaghi,it ITA,FWMF,Empoli,it Serie A,22-071,2000,17,578,34,25.7,6.4,4,64,1,13,25,3,1.29,10,7,+3,+0.47,+1.17,8.3,10.2,-1.9,-0.30,+0.43,Matches,91ff775f
525,Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,23-017,2000,23,1510,66,67.1,16.8,17,82,11,6,18,2,1.39,18,18,0,0.00,+0.36,19.1,21.6,-2.4,-0.14,+0.19,Matches,247ed022
526,Axel Camblan,fr FRA,FWMF,Brest,fr Ligue 1,19-191,2003,7,68,10,2.9,0.8,0,,0,7,10,9,0.86,1,0,+1,+1.32,+1.96,0.7,1.0,-0.3,-0.40,+0.06,Matches,9f4a940f
527,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-027,2001,24,1733,72,80.2,19.3,21,78,3,3,32,0,1.46,27,21,+6,+0.31,+0.73,24.0,22.9,+1.1,+0.06,+0.41,Matches,873619c6
528,Chem Campbell,wls WAL,FWMF,Wolves,eng Premier League,20-069,2002,5,74,15,3.2,0.8,0,,0,5,15,9,0.00,0,2,-2,-2.43,-1.88,0.2,1.0,-0.8,-1.01,-0.56,Matches,6f711f67
529,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-056,1994,17,1000,59,48.3,11.1,10,83,7,7,24,5,2.00,25,15,+10,+0.90,+0.14,18.4,14.5,+3.9,+0.35,-0.21,Matches,a65ce836
530,Sergio Canales,es ESP,FWMF,Betis,es La Liga,32-021,1991,19,1500,79,69.4,16.7,17,84,11,2,38,0,1.63,22,20,+2,+0.12,-0.56,22.4,23.1,-0.7,-0.04,-0.91,Matches,a6de370d
531,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,21-025,2002,16,222,14,9.9,2.5,1,45,0,15,12,9,1.88,5,2,+3,+1.22,+0.37,4.0,3.2,+0.8,+0.32,+0.11,Matches,b6a1cdf9
532,João Cancelo,pt POR,DF,Manchester City,eng Premier League,28-286,1994,17,1274,75,54.4,14.2,16,78,10,1,23,3,2.24,36,15,+21,+1.48,-0.21,24.8,11.3,+13.4,+0.95,-0.68,Matches,bd6351cd
533,João Cancelo,pt POR,FWDF,Bayern Munich,de Bundesliga,28-286,1994,4,224,56,10.8,2.5,2,68,0,2,44,1,2.25,7,3,+4,+1.61,-0.34,3.5,4.4,-0.9,-0.38,-1.76,Matches,bd6351cd
534,Pietro Candelari,it ITA,MF,Spezia,it Serie A,18-047,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,356ae640
535,Antonio Candreva,it ITA,DFMF,Salernitana,it Serie A,36-009,1987,24,1921,80,85.4,21.3,22,85,13,2,26,0,1.04,26,36,-10,-0.47,+1.17,21.1,37.3,-16.2,-0.76,+0.53,Matches,356c9002
536,Lucas Cañizars,es ESP,GK,Real Madrid,es La Liga,20-303,2002,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches,7e84906e
537,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20-071,2002,2,25,13,1.1,0.3,0,,0,2,13,0,0.00,0,1,-1,-3.60,-2.90,0.8,0.4,+0.4,+1.28,+1.85,Matches,4506aec5
538,Sergi Canós,es ESP,FWDF,Brentford,eng Premier League,26-035,1997,5,77,15,3.6,0.9,0,,0,5,15,7,1.60,0,2,-2,-2.34,-2.77,0.8,1.7,-1.0,-1.13,-1.36,Matches,1137759d
539,Ander Capa,es ESP,DFMF,Athletic Club,es La Liga,31-029,1992,3,21,7,1.0,0.2,0,,0,3,7,18,2.00,1,0,+1,+4.29,+4.03,1.1,0.3,+0.9,+3.74,+3.31,Matches,37f1cf47
540,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,35-328,1987,19,958,50,40.9,10.6,10,78,5,9,19,3,0.37,6,19,-13,-1.22,+0.34,9.8,16.1,-6.4,-0.60,-0.19,Matches,79b2399c
541,Leonardo Capezzi,it ITA,MF,Salernitana,it Serie A,27-346,1995,0,,,,,0,,0,0,,19,,,,,,,,,,,,Matches,07ea0ef2
542,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,34-241,1988,19,1464,77,67.8,16.3,17,83,9,2,25,0,1.47,18,17,+1,+0.06,-0.46,22.2,19.3,+2.9,+0.18,+0.07,Matches,5acc4a10
543,Elio Capradossi,it ITA,DF,Spezia,it Serie A,26-363,1996,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,174944a3
544,Gianluca Caprari,it ITA,MFFW,Monza,it Serie A,29-222,1993,25,1662,66,73.9,18.5,22,73,5,3,22,0,1.28,21,30,-9,-0.49,-1.10,21.9,22.5,-0.7,-0.04,+0.10,Matches,54e53b7e
545,Francesco Caputo,it ITA,FW,Sampdoria,it Serie A,35-215,1987,15,1094,73,48.6,12.2,13,78,6,2,40,0,0.40,6,20,-14,-1.15,-0.06,9.0,17.4,-8.4,-0.69,-0.06,Matches,5bd72174
546,Francesco Caputo,it ITA,FWMF,Empoli,it Serie A,35-215,1987,10,783,78,34.8,8.7,9,83,3,1,34,0,1.10,10,11,-1,-0.11,+0.44,7.6,11.3,-3.7,-0.43,+0.29,Matches,5bd72174
547,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23-022,2000,24,1823,76,77.9,20.3,21,83,12,3,29,1,1.50,28,20,+8,+0.39,-0.13,29.2,24.3,+4.9,+0.24,-0.54,Matches,f81ef10d
548,Andrea Carboni,it ITA,DF,Monza,it Serie A,22-033,2001,4,167,42,7.4,1.9,1,90,1,3,26,15,0.00,2,7,-5,-2.69,-2.69,1.9,4.1,-2.1,-1.14,-1.17,Matches,f7e2af2c
549,Franco Carboni,it ITA,DF,Monza,it Serie A,19-339,2003,2,58,29,2.6,0.6,0,,0,2,29,3,1.50,1,0,+1,+1.55,+1.80,0.4,1.0,-0.5,-0.79,-0.75,Matches,b033f803
550,Valentin Carboni,it ITA,MFFW,Inter,it Serie A,18-004,2005,4,14,4,0.6,0.2,0,,0,4,4,16,1.00,0,0,0,0.00,-0.72,0.2,0.4,-0.2,-1.48,-2.28,Matches,707b98f1
551,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,29-320,1993,17,1327,78,61.4,14.7,15,82,10,2,52,2,1.29,11,11,0,0.00,+1.84,14.5,18.8,-4.4,-0.30,+1.05,Matches,c4b888df
552,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,25-213,1997,10,233,23,10.0,2.6,1,73,0,9,18,4,0.90,1,8,-7,-2.70,-2.36,2.3,5.4,-3.1,-1.19,-0.82,Matches,5e080f73
553,Irvin Cardona,fr FRA,MF,Augsburg,de Bundesliga,25-213,1997,1,53,53,2.6,0.6,0,,0,1,53,1,0.00,2,2,0,0.00,+0.49,0.5,2.0,-1.5,-2.54,-2.04,Matches,5e080f73
554,Igor Carioca,br BRA,DFMF,Lorient,fr Ligue 1,26-200,1996,3,122,41,5.2,1.4,1,88,0,2,17,9,1.33,0,1,-1,-0.74,-0.86,1.2,2.0,-0.7,-0.55,-0.18,Matches,e3e32fbb
555,Carlo,es ESP,MF,Villarreal,es La Liga,22-025,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,8249ff06
556,Carlos,br BRA,DF,Monza,it Serie A,24-061,1999,22,1913,87,85.0,21.3,22,87,18,0,,0,1.32,27,29,-2,-0.09,+0.71,27.4,25.5,+1.9,+0.09,+1.01,Matches,8d3cd59d
557,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,29-359,1993,2,179,90,8.0,2.0,2,90,1,0,,0,1.50,2,3,-1,-0.50,-0.24,2.9,1.9,+1.0,+0.52,+0.88,Matches,b4a014b1
558,Juan Carlos,es ESP,GK,Girona,es La Liga,35-048,1988,10,900,90,41.7,10.0,10,90,10,0,,14,0.80,14,18,-4,-0.40,-0.69,13.3,12.9,+0.3,+0.03,-0.07,Matches,688b96e3
559,José Carlos Lazo,es ESP,MFFW,Almería,es La Liga,27-021,1996,1,20,20,0.9,0.2,0,,0,1,20,1,0.00,0,1,-1,-4.50,-3.95,0.4,0.1,+0.3,+1.19,+1.68,Matches,5b93209a
560,José Carlos Lazo,es ESP,MFFW,Espanyol,es La Liga,27-021,1996,10,159,16,7.4,1.8,0,,0,10,16,9,0.90,7,2,+5,+2.83,+3.32,3.0,1.9,+1.1,+0.64,+0.79,Matches,5b93209a
561,Carmona,es ESP,MFDF,Elche,es La Liga,21-039,2002,6,476,79,22.0,5.3,6,79,2,0,,0,1.33,5,7,-2,-0.38,+1.12,7.0,8.0,-0.9,-0.18,+1.33,Matches,2dce876a
562,Carmona,es ESP,DF,Sevilla,es La Liga,21-039,2002,10,527,53,24.4,5.9,5,69,1,5,36,5,1.00,6,11,-5,-0.85,-0.47,4.7,13.7,-9.0,-1.53,-1.45,Matches,2dce876a
563,Marco Carnesecchi,it ITA,GK,Cremonese,it Serie A,22-251,2000,16,1440,90,64.0,16.0,16,90,16,0,,2,0.56,14,27,-13,-0.81,+0.52,16.6,24.7,-8.1,-0.50,+0.67,Matches,8ec56e62
564,Yannick Carrasco,be BEL,MFDF,Atlético Madrid,es La Liga,29-186,1993,22,1260,57,58.3,14.0,13,72,2,9,36,1,1.86,18,15,+3,+0.21,-1.39,20.4,18.8,+1.6,+0.11,-0.65,Matches,de39485a
565,Coke Carrillo,es ESP,GK,Celta Vigo,es La Liga,21-061,2002,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,4e9bcf57
566,Scott Carson,eng ENG,GK,Manchester City,eng Premier League,37-187,1985,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,3e1550ee
567,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31-057,1992,19,1272,67,58.9,14.1,14,82,4,5,26,1,2.26,30,12,+18,+1.27,+0.16,30.1,11.5,+18.6,+1.32,+0.26,Matches,4958bfb2
568,Fabio Carvalho,pt POR,MFFW,Liverpool,eng Premier League,20-191,2002,11,337,31,15.0,3.7,4,52,0,7,19,11,1.73,10,3,+7,+1.87,+1.30,7.1,4.8,+2.3,+0.62,+0.15,Matches,966e28d0
569,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,23-315,1999,2,136,68,5.8,1.5,1,90,1,1,46,5,1.50,2,3,-1,-0.66,-0.50,1.6,2.2,-0.6,-0.39,+0.02,Matches,8608f269
570,William Carvalho,pt POR,MF,Betis,es La Liga,30-336,1992,21,1605,76,74.3,17.8,20,79,11,1,21,0,1.81,24,11,+13,+0.73,+1.70,27.7,17.5,+10.1,+0.56,+1.32,Matches,dee86451
571,Marc Casado,es ESP,MF,Barcelona,es La Liga,19-176,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches,2ef08833
572,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25-023,1998,17,1495,88,66.4,16.6,17,88,15,0,,5,1.82,23,14,+9,+0.54,-1.01,22.9,16.4,+6.5,+0.39,+0.51,Matches,3f5f38fb
573,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,31-014,1992,18,1305,73,58.0,14.5,14,87,10,4,22,0,2.17,23,15,+8,+0.55,+0.74,24.1,13.6,+10.4,+0.72,+0.92,Matches,4d224fe8
574,Casemiro,br BRA,MF,Real Madrid,es La Liga,31-014,1992,1,8,8,0.4,0.1,0,,0,1,8,0,3.00,0,0,0,0.00,-1.21,0.0,0.3,-0.3,-3.45,-4.68,Matches,4d224fe8
575,Kaelan Casey,eng ENG,DF,West Ham,eng Premier League,18-132,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,cd4b2c5f
576,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25-214,1997,21,1470,70,65.3,16.3,16,84,12,5,25,1,1.29,21,26,-5,-0.31,-0.08,20.0,21.8,-1.9,-0.11,+0.52,Matches,2389cdc2
577,Kiko Casilla,es ESP,GK,Getafe,es La Liga,36-158,1986,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches,58bc7d18
578,Tommaso Cassandro,it ITA,DF,Lecce,it Serie A,23-059,2000,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches,6c4307ee
579,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,27-094,1995,24,2085,87,92.7,23.2,23,89,21,1,45,1,1.00,34,38,-4,-0.17,+1.46,28.0,38.0,-10.0,-0.43,+0.12,Matches,197640fd
580,Michele Castagnetti,it ITA,MF,Cremonese,it Serie A,33-072,1989,15,713,48,31.7,7.9,7,72,2,8,26,5,0.40,9,13,-4,-0.50,+0.72,9.3,12.3,-3.0,-0.38,+0.54,Matches,ad92526f
581,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,30-257,1992,23,2070,90,100.0,23.0,23,90,23,0,,0,1.48,42,31,+11,+0.48,,31.3,33.1,-1.7,-0.08,,Matches,db401046
582,Valentín Castellanos,ar ARG,FW,Girona,es La Liga,24-157,1998,23,1752,76,81.1,19.5,22,78,6,1,27,0,1.17,27,31,-4,-0.21,-1.09,23.0,23.2,-0.1,-0.01,-0.44,Matches,da76bab4
583,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28-042,1995,22,1668,76,71.3,18.5,20,82,17,2,13,0,1.18,19,25,-6,-0.32,-0.19,19.7,23.4,-3.6,-0.20,-0.04,Matches,e0f3a1f6
584,Samu Castillejo,es ESP,FW,Valencia,es La Liga,28-050,1995,18,1051,58,48.7,11.7,14,70,3,4,17,1,1.00,12,11,+1,+0.09,+0.25,12.3,12.1,+0.2,+0.01,+0.05,Matches,130a7a3f
585,Jonny Castro,es ESP,DF,Wolves,eng Premier League,29-006,1994,16,1110,69,47.4,12.3,12,85,9,4,22,8,1.13,6,16,-10,-0.81,-0.37,13.1,14.5,-1.3,-0.11,+0.69,Matches,e28868f3
586,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,26-020,1997,6,122,20,5.4,1.4,0,,0,6,20,1,1.67,4,2,+2,+1.48,+1.64,3.0,1.9,+1.1,+0.80,+0.56,Matches,0728bebe
587,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28-215,1994,23,1545,67,68.7,17.2,21,72,3,2,17,1,1.83,28,14,+14,+0.82,-0.21,25.2,18.6,+6.5,+0.38,+0.52,Matches,ba3d3bea
588,Catena,es ESP,DF,Rayo Vallecano,es La Liga,28-132,1994,22,1979,90,91.6,22.0,22,90,21,0,,0,1.50,27,23,+4,+0.18,+0.18,26.5,25.6,+0.9,+0.04,+0.78,Matches,274ab13c
589,Yoann Cathline,fr FRA,FWMF,Lorient,fr Ligue 1,20-230,2002,13,707,54,30.2,7.9,7,79,3,6,26,4,1.08,9,10,-1,-0.13,-0.29,8.3,11.2,-3.0,-0.38,0.00,Matches,4db5915d
590,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26-021,1997,16,1385,87,59.2,15.4,16,87,13,0,,0,1.25,16,17,-1,-0.06,+0.59,15.8,21.0,-5.2,-0.34,+0.46,Matches,c92c24f0
591,Edinson Cavani,uy URU,FW,Valencia,es La Liga,36-023,1987,14,945,68,43.8,10.5,14,68,3,0,,0,0.71,11,11,0,0.00,+0.07,12.4,13.7,-1.2,-0.12,-0.19,Matches,527f063d
592,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,26-214,1996,17,787,46,36.4,8.7,10,70,1,7,12,3,2.35,10,3,+7,+0.80,-0.64,16.0,4.6,+11.3,+1.29,+0.13,Matches,c0617e2b
593,Pietro Ceccaroni,it ITA,DF,Lecce,it Serie A,27-078,1995,1,23,23,1.0,0.3,0,,0,1,23,4,3.00,1,1,0,0.00,+0.20,0.4,0.7,-0.3,-1.22,-0.93,Matches,4d1efb48
594,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,30-302,1992,15,1033,69,45.9,11.5,14,73,6,1,11,4,0.67,11,13,-2,-0.17,+0.94,9.1,11.6,-2.6,-0.22,+0.06,Matches,d9624b51
595,Assan Ceesay,gm GAM,FW,Lecce,it Serie A,28-357,1994,21,1125,54,50.0,12.5,13,75,3,8,19,3,1.05,8,14,-6,-0.48,-0.56,7.8,14.2,-6.4,-0.51,-0.41,Matches,07f8bcc8
596,Emil Ceide,no NOR,FW,Sassuolo,it Serie A,21-187,2001,14,332,24,14.8,3.7,3,58,0,11,14,9,1.00,6,6,0,0.00,+0.33,6.8,6.5,+0.3,+0.09,+0.22,Matches,98a84572
597,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26-020,1997,16,1013,63,45.0,11.3,10,86,8,6,25,5,1.94,14,9,+5,+0.44,+0.01,16.9,7.3,+9.6,+0.85,+0.04,Matches,31a62dc7
598,Álex Centelles,es ESP,DF,Almería,es La Liga,25-121,1997,2,56,28,2.6,0.6,0,,0,2,28,11,0.33,2,3,-1,-1.61,-1.05,1.1,1.3,-0.2,-0.33,+0.15,Matches,ae852b7d
599,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,27-052,1996,13,1007,77,43.0,11.2,11,85,9,2,35,1,1.31,10,9,+1,+0.09,+0.63,11.8,11.3,+0.4,+0.04,+0.39,Matches,3c6bbbab
600,Michele Cerofolini,it ITA,GK,Fiorentina,it Serie A,24-064,1999,0,,,,,0,,0,0,,25,,,,,,,,,,,,Matches,efdeaff3
601,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,28-287,1994,23,1380,60,63.9,15.3,16,78,4,7,19,0,1.09,14,26,-12,-0.78,-1.24,16.9,16.2,+0.7,+0.05,-0.02,Matches,5e1028e5
602,Julio César Enciso,py PAR,FWMF,Brighton,eng Premier League,19-045,2004,6,139,23,6.7,1.5,0,,0,6,23,10,2.00,4,3,+1,+0.65,+0.04,1.8,3.1,-1.2,-0.79,-1.43,Matches,9cfbad36
603,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,27-354,1995,6,540,90,23.1,6.0,6,90,6,0,,12,1.67,13,13,0,0.00,-0.65,,,,,,Matches,f5dfc256
604,Julian Chabot,de GER,DF,Köln,de Bundesliga,25-025,1998,10,846,85,40.9,9.4,10,85,8,0,,5,1.40,13,8,+5,+0.53,+1.19,12.5,9.3,+3.2,+0.34,+0.38,Matches,ae7058f9
605,Florian Chabrolle,fr FRA,MF,Ajaccio,fr Ligue 1,24-336,1998,6,321,54,13.7,3.6,3,90,3,3,17,6,0.50,3,12,-9,-2.52,-1.72,1.7,5.6,-3.9,-1.08,-1.06,Matches,5d9577aa
606,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17-297,2005,6,227,38,9.7,2.5,2,62,0,4,26,14,2.50,5,5,0,0.00,-1.75,4.8,4.5,+0.3,+0.12,-0.94,Matches,2180c761
607,Sofyan Chader,fr FRA,MF,Clermont Foot,fr Ligue 1,22-301,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches,99d29d38
608,Fares Chaïbi,fr FRA,FWMF,Toulouse,fr Ligue 1,20-101,2002,24,1597,67,68.2,17.7,17,79,6,7,35,0,1.17,33,26,+7,+0.39,+1.85,25.4,24.0,+1.4,+0.08,+0.73,Matches,357103bd
609,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,28-087,1994,4,12,3,0.5,0.1,1,7,0,3,2,10,1.50,0,0,0,0.00,-0.15,0.1,0.4,-0.3,-1.94,-1.57,Matches,422862ea
