Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
423,Ousmane Camara,fr FRA,DF,Angers,fr Ligue 1,20-003,2003,4.0,0,1,1,100.0,0.25,0.25,0.00,0.00,6.1,0,0,0,0.2,0.2,0.16,-0.2,-0.2,Matches,7d3dfdfd
424,Eduardo Camavinga,fr FRA,MFDF,Real Madrid,es La Liga,20-119,2002,13.2,0,15,2,13.3,1.14,0.15,0.00,0.00,22.8,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,7b9c2d84
425,Nicolò Cambiaghi,it ITA,FWMF,Empoli,it Serie A,22-071,2000,6.4,3,18,7,38.9,2.80,1.09,0.17,0.43,16.8,0,0,0,2.1,2.1,0.12,+0.9,+0.9,Matches,91ff775f
426,Andrea Cambiaso,it ITA,DF,Bologna,it Serie A,23-017,2000,16.8,0,10,3,30.0,0.60,0.18,0.00,0.00,18.8,0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,247ed022
427,Axel Camblan,fr FRA,FWMF,Brest,fr Ligue 1,19-191,2003,0.8,0,1,1,100.0,1.32,1.32,0.00,0.00,6.8,0,0,0,0.2,0.2,0.17,-0.2,-0.2,Matches,9f4a940f
428,Sergio Camello,es ESP,FW,Rayo Vallecano,es La Liga,22-027,2001,19.3,5,50,14,28.0,2.60,0.73,0.10,0.36,15.2,0,0,0,5.4,5.4,0.11,-0.4,-0.4,Matches,873619c6
429,Chem Campbell,wls WAL,FWMF,Wolves,eng Premier League,20-069,2002,0.8,0,2,0,0.0,2.43,0.00,0.00,,11.3,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,6f711f67
430,Emre Can,de GER,MF,Dortmund,de Bundesliga,29-056,1994,11.1,1,7,2,28.6,0.63,0.18,0.14,0.50,20.7,0,0,0,0.4,0.4,0.06,+0.6,+0.6,Matches,a65ce836
431,Sergio Canales,es ESP,FWMF,Betis,es La Liga,32-021,1991,16.7,4,25,8,32.0,1.50,0.48,0.12,0.38,21.3,6,1,1,3.8,3.0,0.12,+0.2,0.0,Matches,a6de370d
432,Matteo Cancellieri,it ITA,FW,Lazio,it Serie A,21-025,2002,2.5,0,5,1,20.0,2.03,0.41,0.00,0.00,17.6,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches,b6a1cdf9
433,João Cancelo,pt POR,DF,Manchester City,eng Premier League,28-286,1994,14.2,2,17,3,17.6,1.20,0.21,0.12,0.67,22.7,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches,bd6351cd
434,João Cancelo,pt POR,FWDF,Bayern Munich,de Bundesliga,28-286,1994,2.5,0,2,0,0.0,0.80,0.00,0.00,,15.2,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches,bd6351cd
435,Antonio Candreva,it ITA,DFMF,Salernitana,it Serie A,36-009,1987,21.3,3,31,13,41.9,1.45,0.61,0.10,0.23,21.3,2,0,0,2.5,2.5,0.08,+0.5,+0.5,Matches,356c9002
436,Thomas Cannon,ie IRL,FW,Everton,eng Premier League,20-071,2002,0.3,0,1,1,100.0,3.60,3.60,0.00,0.00,10.8,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,4506aec5
437,Sergi Canós,es ESP,FWDF,Brentford,eng Premier League,26-035,1997,0.9,0,1,0,0.0,1.17,0.00,0.00,,16.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,1137759d
438,Ander Capa,es ESP,DFMF,Athletic Club,es La Liga,31-029,1992,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,37f1cf47
439,Pierrick Capelle,fr FRA,MFDF,Angers,fr Ligue 1,35-328,1987,10.6,0,12,5,41.7,1.13,0.47,0.00,0.00,18.7,0,0,0,1.1,1.1,0.09,-1.1,-1.1,Matches,79b2399c
440,Étienne Capoue,fr FRA,MF,Villarreal,es La Liga,34-241,1988,16.3,0,16,6,37.5,0.98,0.37,0.00,0.00,19.8,0,0,0,1.7,1.7,0.11,-1.7,-1.7,Matches,5acc4a10
441,Gianluca Caprari,it ITA,MFFW,Monza,it Serie A,29-222,1993,18.5,4,39,9,23.1,2.11,0.49,0.08,0.33,18.9,0,1,1,4.4,3.7,0.09,-0.4,-0.7,Matches,54e53b7e
442,Francesco Caputo,it ITA,FW,Sampdoria,it Serie A,35-215,1987,12.2,1,19,5,26.3,1.56,0.41,0.05,0.20,14.8,0,0,0,1.9,1.9,0.10,-0.9,-0.9,Matches,5bd72174
443,Francesco Caputo,it ITA,FWMF,Empoli,it Serie A,35-215,1987,8.7,1,18,7,38.9,2.07,0.80,0.06,0.14,12.3,0,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches,5bd72174
444,Maxence Caqueret,fr FRA,MF,Lyon,fr Ligue 1,23-022,2000,20.3,1,18,8,44.4,0.89,0.39,0.06,0.13,19.6,2,0,0,1.7,1.7,0.09,-0.7,-0.7,Matches,f81ef10d
445,Andrea Carboni,it ITA,DF,Monza,it Serie A,22-033,2001,1.9,0,1,1,100.0,0.54,0.54,0.00,0.00,10.8,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,f7e2af2c
446,Franco Carboni,it ITA,DF,Monza,it Serie A,19-339,2003,0.6,0,1,0,0.0,1.55,0.00,0.00,,16.9,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches,b033f803
447,Valentin Carboni,it ITA,MFFW,Inter,it Serie A,18-004,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,707b98f1
448,Isaac Carcelen,es ESP,DF,Cádiz,es La Liga,29-320,1993,14.7,0,4,1,25.0,0.27,0.07,0.00,0.00,24.9,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,c4b888df
449,Irvin Cardona,fr FRA,FWMF,Brest,fr Ligue 1,25-213,1997,2.6,0,4,2,50.0,1.55,0.77,0.00,0.00,13.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,5e080f73
450,Irvin Cardona,fr FRA,MF,Augsburg,de Bundesliga,25-213,1997,0.6,0,1,0,0.0,1.70,0.00,0.00,,30.1,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,5e080f73
451,Igor Carioca,br BRA,DFMF,Lorient,fr Ligue 1,26-200,1996,1.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,e3e32fbb
452,Carlos,br BRA,DF,Monza,it Serie A,24-061,1999,21.3,4,26,9,34.6,1.22,0.42,0.15,0.44,16.6,0,0,0,2.2,2.2,0.08,+1.8,+1.8,Matches,8d3cd59d
453,Diego Carlos,br BRA,DF,Aston Villa,eng Premier League,29-359,1993,2.0,0,4,0,0.0,2.01,0.00,0.00,,15.7,0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches,b4a014b1
454,Juan Carlos,es ESP,GK,Girona,es La Liga,35-048,1988,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,688b96e3
455,José Carlos Lazo,es ESP,MFFW,Almería,es La Liga,27-021,1996,0.2,0,2,1,50.0,9.00,4.50,0.00,0.00,24.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,5b93209a
456,José Carlos Lazo,es ESP,MFFW,Espanyol,es La Liga,27-021,1996,1.8,1,4,1,25.0,2.26,0.57,0.25,1.00,21.1,1,0,0,0.2,0.2,0.06,+0.8,+0.8,Matches,5b93209a
457,Carmona,es ESP,MFDF,Elche,es La Liga,21-039,2002,5.3,1,5,3,60.0,0.95,0.57,0.20,0.33,18.0,0,0,0,0.4,0.4,0.09,+0.6,+0.6,Matches,2dce876a
458,Carmona,es ESP,DF,Sevilla,es La Liga,21-039,2002,5.9,2,5,2,40.0,0.85,0.34,0.40,1.00,14.3,0,0,0,0.8,0.8,0.17,+1.2,+1.2,Matches,2dce876a
459,Marco Carnesecchi,it ITA,GK,Cremonese,it Serie A,22-251,2000,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8ec56e62
460,Yannick Carrasco,be BEL,MFDF,Atlético Madrid,es La Liga,29-186,1993,14.0,2,39,13,33.3,2.79,0.93,0.05,0.15,17.5,2,0,0,3.6,3.6,0.09,-1.6,-1.6,Matches,de39485a
461,Dani Carvajal,es ESP,DF,Real Madrid,es La Liga,31-057,1992,14.1,0,6,0,0.0,0.42,0.00,0.00,,23.7,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,4958bfb2
462,Fabio Carvalho,pt POR,MFFW,Liverpool,eng Premier League,20-191,2002,3.7,2,11,4,36.4,2.94,1.07,0.18,0.50,11.5,0,0,0,1.1,1.1,0.10,+0.9,+0.9,Matches,966e28d0
463,Matis Carvalho,pt POR,GK,Montpellier,fr Ligue 1,23-315,1999,1.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,8608f269
464,William Carvalho,pt POR,MF,Betis,es La Liga,30-336,1992,17.8,2,15,6,40.0,0.84,0.34,0.13,0.33,13.9,0,0,0,2.1,2.1,0.14,-0.1,-0.1,Matches,dee86451
465,Nicolò Casale,it ITA,DF,Lazio,it Serie A,25-023,1998,16.6,1,8,2,25.0,0.48,0.12,0.13,0.50,10.9,0,0,0,0.6,0.6,0.08,+0.4,+0.4,Matches,3f5f38fb
466,Casemiro,br BRA,MF,Manchester Utd,eng Premier League,31-014,1992,14.5,2,17,5,29.4,1.17,0.34,0.12,0.40,22.5,0,0,0,2.1,2.1,0.12,-0.1,-0.1,Matches,4d224fe8
467,Casemiro,br BRA,MF,Real Madrid,es La Liga,31-014,1992,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4d224fe8
468,Matty Cash,pl POL,DF,Aston Villa,eng Premier League,25-214,1997,16.3,0,7,1,14.3,0.43,0.06,0.00,0.00,26.9,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,2389cdc2
469,Timothy Castagne,be BEL,DF,Leicester City,eng Premier League,27-094,1995,23.2,1,11,3,27.3,0.47,0.13,0.09,0.33,8.8,0,0,0,1.7,1.7,0.15,-0.7,-0.7,Matches,197640fd
470,Michele Castagnetti,it ITA,MF,Cremonese,it Serie A,33-072,1989,7.9,0,6,1,16.7,0.76,0.13,0.00,0.00,25.9,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,ad92526f
471,Koen Casteels,be BEL,GK,Wolfsburg,de Bundesliga,30-257,1992,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,db401046
472,Valentín Castellanos,ar ARG,FW,Girona,es La Liga,24-157,1998,19.5,6,51,16,31.4,2.62,0.82,0.10,0.31,16.1,0,1,1,6.4,5.6,0.11,-0.4,-0.6,Matches,da76bab4
473,Jean-Charles Castelletto,cm CMR,DF,Nantes,fr Ligue 1,28-042,1995,18.5,0,7,2,28.6,0.38,0.11,0.00,0.00,13.7,0,0,0,0.6,0.6,0.08,-0.6,-0.6,Matches,e0f3a1f6
474,Samu Castillejo,es ESP,FW,Valencia,es La Liga,28-050,1995,11.7,3,32,9,28.1,2.74,0.77,0.09,0.33,18.9,2,0,0,2.3,2.3,0.07,+0.7,+0.7,Matches,130a7a3f
475,Jonny Castro,es ESP,DF,Wolves,eng Premier League,29-006,1994,12.3,0,8,1,12.5,0.65,0.08,0.00,0.00,22.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches,e28868f3
476,Gaetano Castrovilli,it ITA,MF,Fiorentina,it Serie A,26-020,1997,1.4,0,3,1,33.3,2.21,0.74,0.00,0.00,22.2,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,0728bebe
477,Danilo Cataldi,it ITA,MF,Lazio,it Serie A,28-215,1994,17.2,0,7,1,14.3,0.41,0.06,0.00,0.00,28.8,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,ba3d3bea
478,Catena,es ESP,DF,Rayo Vallecano,es La Liga,28-132,1994,22.0,1,7,4,57.1,0.32,0.18,0.14,0.25,9.5,0,0,0,0.7,0.7,0.09,+0.3,+0.3,Matches,274ab13c
479,Yoann Cathline,fr FRA,FWMF,Lorient,fr Ligue 1,20-230,2002,7.9,1,22,8,36.4,2.80,1.02,0.05,0.13,20.7,0,0,0,1.3,1.3,0.06,-0.3,-0.3,Matches,4db5915d
480,Maximiliano Caufriez,be BEL,DF,Clermont Foot,fr Ligue 1,26-021,1997,15.4,0,6,2,33.3,0.39,0.13,0.00,0.00,18.5,0,0,0,0.3,0.3,0.06,-0.3,-0.3,Matches,c92c24f0
481,Edinson Cavani,uy URU,FW,Valencia,es La Liga,36-023,1987,10.5,5,23,7,30.4,2.19,0.67,0.13,0.43,15.3,2,2,3,5.3,2.9,0.13,-0.3,+0.1,Matches,527f063d
482,Dani Ceballos,es ESP,MF,Real Madrid,es La Liga,26-214,1996,8.7,0,8,2,25.0,0.91,0.23,0.00,0.00,22.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,c0617e2b
483,Pietro Ceccaroni,it ITA,DF,Lecce,it Serie A,27-078,1995,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,4d1efb48
484,Federico Ceccherini,it ITA,DF,Hellas Verona,it Serie A,30-302,1992,11.5,1,5,1,20.0,0.44,0.09,0.20,1.00,17.7,0,0,0,0.7,0.7,0.14,+0.3,+0.3,Matches,d9624b51
485,Assan Ceesay,gm GAM,FW,Lecce,it Serie A,28-357,1994,12.5,4,28,6,21.4,2.24,0.48,0.14,0.67,15.6,0,0,0,3.0,3.0,0.11,+1.0,+1.0,Matches,07f8bcc8
486,Emil Ceide,no NOR,FW,Sassuolo,it Serie A,21-187,2001,3.7,0,4,0,0.0,1.08,0.00,0.00,,15.8,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches,98a84572
487,Zeki Çelik,tr TUR,DF,Roma,it Serie A,26-020,1997,11.3,0,4,1,25.0,0.36,0.09,0.00,0.00,14.7,0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches,31a62dc7
488,Álex Centelles,es ESP,DF,Almería,es La Liga,25-121,1997,0.6,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,ae852b7d
489,Fabien Centonze,fr FRA,DF,Nantes,fr Ligue 1,27-052,1996,11.2,0,7,0,0.0,0.63,0.00,0.00,,21.3,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches,3c6bbbab
490,Franco Cervi,ar ARG,MF,Celta Vigo,es La Liga,28-287,1994,15.3,0,17,4,23.5,1.11,0.26,0.00,0.00,20.9,0,0,0,1.0,1.0,0.06,-1.0,-1.0,Matches,5e1028e5
491,Julio César Enciso,py PAR,FWMF,Brighton,eng Premier League,19-045,2004,1.5,0,10,8,80.0,6.47,5.18,0.00,0.00,23.7,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches,9cfbad36
492,Leonardo César Jardim,br BRA,GK,Lille,fr Ligue 1,27-354,1995,6.0,0,0,0,,0.00,0.00,,,,,0,0,,,,,,Matches,f5dfc256
493,Julian Chabot,de GER,DF,Köln,de Bundesliga,25-025,1998,9.4,0,7,0,0.0,0.74,0.00,0.00,,7.1,0,0,0,0.9,0.9,0.13,-0.9,-0.9,Matches,ae7058f9
494,Florian Chabrolle,fr FRA,MF,Ajaccio,fr Ligue 1,24-336,1998,3.6,0,2,1,50.0,0.56,0.28,0.00,0.00,26.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches,5d9577aa
495,El Chadaille Bitshiabu,fr FRA,DF,Paris S-G,fr Ligue 1,17-297,2005,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,2180c761
496,Fares Chaïbi,fr FRA,FWMF,Toulouse,fr Ligue 1,20-101,2002,17.7,4,38,14,36.8,2.14,0.79,0.11,0.29,16.8,0,0,0,2.8,2.8,0.07,+1.2,+1.2,Matches,357103bd
497,Nathaniel Chalobah,eng ENG,MF,Fulham,eng Premier League,28-087,1994,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,10.1,0,0,0,0.1,0.1,0.09,-0.1,-0.1,Matches,422862ea
498,Trevoh Chalobah,eng ENG,DF,Chelsea,eng Premier League,23-247,1999,10.9,0,5,1,20.0,0.46,0.09,0.00,0.00,11.1,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches,5515376c
499,Calum Chambers,eng ENG,DFMF,Aston Villa,eng Premier League,28-048,1995,2.6,0,1,0,0.0,0.39,0.00,0.00,,29.2,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,dc6f5bdd
500,Timothy Chandler,us USA,DF,Eint Frankfurt,de Bundesliga,32-345,1990,0.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3b7f5a6
501,Gaëtan Charbonnier,fr FRA,FWMF,Auxerre,fr Ligue 1,34-072,1988,2.8,1,7,1,14.3,2.48,0.35,0.14,1.00,23.2,0,0,0,0.6,0.6,0.09,+0.4,+0.4,Matches,18ebca4b
502,Brendan Chardonnet,fr FRA,DF,Brest,fr Ligue 1,28-077,1994,17.5,0,8,1,12.5,0.46,0.06,0.00,0.00,12.7,0,0,0,0.5,0.5,0.06,-0.5,-0.5,Matches,16aa7d4c
503,Xavier Chavalerin,fr FRA,MF,Troyes,fr Ligue 1,32-002,1991,19.0,2,20,8,40.0,1.05,0.42,0.10,0.25,22.6,0,0,0,0.8,0.8,0.04,+1.2,+1.2,Matches,279ddf6a
504,Pep Chavarría,es ESP,FWDF,Rayo Vallecano,es La Liga,24-333,1998,1.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,63c5e56b
505,Pape Cheikh Diop,sn SEN,MF,Elche,es La Liga,25-213,1997,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,873ce3a2
506,Rayan Cherki,fr FRA,MFFW,Lyon,fr Ligue 1,19-204,2003,11.3,3,37,12,32.4,3.26,1.06,0.08,0.25,19.0,3,0,0,3.2,3.2,0.09,-0.2,-0.2,Matches,b34c63a5
507,Ilyes Cheti,dz ALG,DF,Angers,fr Ligue 1,28-046,1995,2.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9d498560
508,Lucas Chevalier,fr FRA,GK,Lille,fr Ligue 1,21-123,2001,20.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3d76d84
509,Fabio Chiarodia,it ITA,DF,Werder Bremen,de Bundesliga,17-277,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,48780156
510,Federico Chiesa,it ITA,DFMF,Juventus,it Serie A,25-135,1997,4.2,0,10,1,10.0,2.39,0.24,0.00,0.00,20.2,1,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches,b0f7e36c
511,Ben Chilwell,eng ENG,DFMF,Chelsea,eng Premier League,26-078,1996,7.9,1,7,1,14.3,0.88,0.13,0.14,1.00,17.1,0,0,0,0.9,0.9,0.12,+0.1,+0.1,Matches,d2424d1b
512,Vlad Chiricheș,ro ROU,DF,Cremonese,it Serie A,33-115,1989,8.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c316607a
513,Pedro Chirivella,es ESP,MF,Nantes,fr Ligue 1,25-290,1997,19.8,0,14,5,35.7,0.71,0.25,0.00,0.00,21.9,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,68a26d51
514,Joris Chotard,fr FRA,MF,Montpellier,fr Ligue 1,21-166,2001,17.0,0,6,1,16.7,0.35,0.06,0.00,0.00,26.2,0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches,7909ffa4
515,Andreas Christensen,dk DEN,DF,Barcelona,es La Liga,26-333,1996,12.0,0,3,2,66.7,0.25,0.17,0.00,0.00,15.9,0,0,0,0.2,0.2,0.07,-0.2,-0.2,Matches,1cb49278
516,Oliver Christensen,dk DEN,GK,Hertha BSC,de Bundesliga,23-352,1999,23.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,af104654
517,Ryan Christie,sct SCO,MFFW,Bournemouth,eng Premier League,28-015,1995,11.6,1,17,5,29.4,1.46,0.43,0.06,0.20,14.1,0,0,0,1.6,1.6,0.09,-0.6,-0.6,Matches,26ce2263
518,Carney Chukwuemeka,eng ENG,MFFW,Chelsea,eng Premier League,19-140,2003,2.4,0,4,1,25.0,1.65,0.41,0.00,0.00,16.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches,b2f9c73e
519,Samuel Chukwueze,ng NGA,FWMF,Villarreal,es La Liga,23-291,1999,14.5,3,30,8,26.7,2.07,0.55,0.10,0.38,18.6,0,0,0,3.1,3.1,0.10,-0.1,-0.1,Matches,b8a642fc
520,Darko Churlinov,mk MKD,FW,Stuttgart,de Bundesliga,22-241,2000,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,c6608135
521,Víctor Chust,es ESP,DF,Cádiz,es La Liga,23-004,2000,9.5,1,1,1,100.0,0.11,0.11,1.00,1.00,3.7,0,0,0,0.8,0.8,0.80,+0.2,+0.2,Matches,ec1a731e
522,Tolga Ciğerci,tr TUR,MF,Hertha BSC,de Bundesliga,30-351,1992,4.1,0,5,3,60.0,1.23,0.74,0.00,0.00,31.7,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches,6e17c802
523,Yanis Cimignani,fr FRA,MFDF,Ajaccio,fr Ligue 1,21-046,2002,3.1,0,6,2,33.3,1.94,0.65,0.00,0.00,24.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,7495aba7
524,Daniel Ciofani,it ITA,FW,Cremonese,it Serie A,37-221,1985,6.2,4,17,7,41.2,2.75,1.13,0.12,0.29,13.9,0,2,3,3.6,1.1,0.06,+0.4,+0.9,Matches,b09a3ecc
525,Tio Cipot,si SVN,DFFW,Spezia,it Serie A,19-323,2003,0.6,0,1,1,100.0,1.76,1.76,0.00,0.00,30.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,039a4fb6
526,Pathé Ciss,sn SEN,MFDF,Rayo Vallecano,es La Liga,28-358,1994,10.9,1,18,4,22.2,1.66,0.37,0.06,0.25,20.3,0,0,0,2.0,2.0,0.11,-1.0,-1.0,Matches,9a0408b6
527,Souleymane Cissé,fr FRA,DF,Clermont Foot,fr Ligue 1,20-213,2002,0.4,0,1,0,0.0,2.50,0.00,0.00,,13.9,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,ff4d0258
528,Patrick Ciurria,it ITA,DFMF,Monza,it Serie A,28-028,1995,17.8,4,31,12,38.7,1.74,0.67,0.13,0.33,20.0,0,0,0,3.3,3.3,0.11,+0.7,+0.7,Matches,5de3866c
529,Bobby Clark,eng ENG,MF,Liverpool,eng Premier League,18-030,2005,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,73341ace
530,Alexis Claude-Maurice,fr FRA,FW,Nice,fr Ligue 1,24-276,1998,0.7,0,2,0,0.0,2.81,0.00,0.00,,24.0,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,741418c3
531,Alexis Claude-Maurice,fr FRA,MFFW,Lens,fr Ligue 1,24-276,1998,5.0,2,9,4,44.4,1.81,0.80,0.22,0.50,18.0,0,0,0,1.0,1.0,0.11,+1.0,+1.0,Matches,741418c3
532,Jonathan Clauss,fr FRA,DF,Marseille,fr Ligue 1,30-165,1992,18.0,1,34,9,26.5,1.89,0.50,0.03,0.11,17.6,0,0,0,3.0,3.0,0.09,-2.0,-2.0,Matches,5219ab4a
533,Carlos Clerc,es ESP,DFMF,Elche,es La Liga,31-016,1992,16.8,0,6,3,50.0,0.36,0.18,0.00,0.00,14.6,0,0,0,0.5,0.5,0.08,-0.5,-0.5,Matches,33a61a52
534,Nathaniel Clyne,eng ENG,DF,Crystal Palace,eng Premier League,31-338,1991,16.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,0442183b
535,Conor Coady,eng ENG,DF,Everton,eng Premier League,30-012,1993,21.9,1,4,2,50.0,0.18,0.09,0.25,0.50,8.5,0,0,0,0.8,0.8,0.21,+0.2,+0.2,Matches,2928dca2
536,Marcus Coco,fr FRA,DFFW,Nantes,fr Ligue 1,26-258,1996,3.6,1,5,1,20.0,1.40,0.28,0.20,1.00,15.4,0,0,0,0.8,0.8,0.16,+0.2,+0.2,Matches,3010aefb
537,Alexandre Coeff,fr FRA,DF,Auxerre,fr Ligue 1,31-017,1992,6.5,0,1,0,0.0,0.15,0.00,0.00,,9.2,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches,c4065f40
538,Jack Colback,eng ENG,MF,Nott'ham Forest,eng Premier League,33-136,1989,5.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,963a9201
539,Séamus Coleman,ie IRL,DF,Everton,eng Premier League,34-149,1988,14.2,1,4,1,25.0,0.28,0.07,0.25,1.00,17.3,0,0,0,0.3,0.3,0.07,+0.7,+0.7,Matches,0420d84f
540,David Čolina,hr CRO,DFMF,Augsburg,de Bundesliga,22-233,2000,0.7,1,1,1,100.0,1.36,1.36,1.00,1.00,8.4,0,0,0,0.4,0.4,0.44,+0.6,+0.6,Matches,dd5bbe0d
541,Álex Collado,es ESP,MF,Elche,es La Liga,23-321,1999,6.0,1,11,5,45.5,1.85,0.84,0.09,0.20,21.0,0,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches,85dace26
542,Diego Collado,es ESP,FW,Villarreal,es La Liga,22-059,2001,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b3f62bfc
543,Omar Colley,gm GAM,DF,Sampdoria,it Serie A,30-136,1992,15.4,1,6,4,66.7,0.39,0.26,0.17,0.25,9.0,0,0,0,1.2,1.2,0.20,-0.2,-0.2,Matches,8b95acda
544,Nathan Collins,ie IRL,DF,Wolves,eng Premier League,21-313,2001,16.9,0,1,0,0.0,0.06,0.00,0.00,,13.1,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches,a8c19eb8
545,Lorenzo Colombo,it ITA,FW,Lecce,it Serie A,21-001,2002,11.8,4,31,9,29.0,2.63,0.76,0.13,0.44,18.2,0,0,1,4.4,3.6,0.12,-0.4,+0.4,Matches,04df29a5
546,Andrea Colpani,it ITA,MF,Monza,it Serie A,23-302,1999,5.6,2,14,3,21.4,2.49,0.53,0.14,0.67,18.7,0,0,0,1.1,1.1,0.08,+0.9,+0.9,Matches,6499048c
547,Levi Colwill,eng ENG,DF,Brighton,eng Premier League,20-011,2003,5.1,0,1,0,0.0,0.19,0.00,0.00,,8.1,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,700783e7
548,Kingsley Coman,fr FRA,FWMF,Bayern Munich,de Bundesliga,26-269,1996,9.7,5,29,9,31.0,2.98,0.93,0.17,0.56,18.5,0,0,0,2.6,2.6,0.09,+2.4,+2.4,Matches,042e8a49
549,Eray Cömert,ch SUI,DF,Valencia,es La Liga,25-033,1998,16.0,1,8,5,62.5,0.50,0.31,0.13,0.20,16.4,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches,15937e17
