Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
25,Michel Aebischer,ch SUI,FWMF,Bologna,it Serie A,26-062,1997,9.6,1,11,2,18.2,1.14,0.21,0.09,0.50,16.6,1,0,0,1.1,1.1,0.10,-0.1,-0.1,Matches,f9c927de
26,Felix Afena-Gyan,gh GHA,FWMF,Cremonese,it Serie A,20-049,2003,6.7,0,15,1,6.7,2.24,0.15,0.00,0.00,18.6,0,0,0,1.3,1.3,0.09,-1.3,-1.3,Matches,0154d290
27,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,25-265,1997,18.8,0,16,3,18.8,0.85,0.16,0.00,0.00,16.2,0,0,0,1.4,1.4,0.08,-1.4,-1.4,Matches,75f1ed80
28,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,22-073,2000,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,a2c1a8d3
29,Lucien Agoume,fr FRA,MF,Troyes,fr Ligue 1,21-028,2002,6.2,0,5,1,20.0,0.81,0.16,0.00,0.00,18.3,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches,8bc8829a
30,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-163,1999,0.5,0,1,0,0.0,1.84,0.00,0.00,,15.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,cb6d81b3
31,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-312,1996,13.4,1,12,4,33.3,0.89,0.30,0.08,0.25,24.5,0,0,0,0.6,0.6,0.05,+0.4,+0.4,Matches,014aa7bd
32,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-115,1998,18.3,0,19,5,26.3,1.04,0.27,0.00,0.00,20.7,0,0,0,1.1,1.1,0.06,-1.1,-1.1,Matches,46fa7204
33,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26-344,1996,8.7,0,5,0,0.0,0.57,0.00,0.00,,8.9,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches,288e1e13
34,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-317,1993,7.7,0,2,2,100.0,0.26,0.26,0.00,0.00,12.1,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches,3dd738a1
35,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,20-345,2002,0.5,0,2,0,0.0,4.19,0.00,0.00,,16.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,a6c58494
36,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-345,2002,15.5,2,16,5,31.3,1.03,0.32,0.13,0.40,22.1,0,0,0,0.8,0.8,0.05,+1.2,+1.2,Matches,a6c58494
37,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-018,2004,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,22396615
38,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28-354,1994,10.0,1,10,3,30.0,1.00,0.30,0.10,0.33,23.9,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,48b28bfd
39,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-161,1995,23.8,2,11,2,18.2,0.46,0.08,0.18,1.00,14.2,0,0,0,0.8,0.8,0.08,+1.2,+1.2,Matches,18abe173
40,Ola Aina,ng NGA,DF,Torino,it Serie A,26-152,1996,8.4,1,7,3,42.9,0.83,0.36,0.14,0.33,16.1,0,0,0,0.7,0.7,0.11,+0.3,+0.3,Matches,246d153b
41,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,21-276,2001,11.2,1,10,5,50.0,0.89,0.45,0.10,0.20,14.1,0,0,0,0.7,0.7,0.07,+0.3,+0.3,Matches,9b398aea
42,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-074,2000,13.4,0,3,1,33.3,0.22,0.07,0.00,0.00,17.7,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches,d810c13b
43,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-326,1998,8.5,0,1,0,0.0,0.12,0.00,0.00,,6.0,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches,a8c0acb7
44,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-012,1994,8.6,1,22,7,31.8,2.57,0.82,0.00,0.00,15.1,1,1,1,3.4,2.6,0.12,-2.4,-2.6,Matches,462475ed
45,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-012,1994,5.2,1,14,5,35.7,2.70,0.96,0.07,0.20,15.2,0,0,0,1.5,1.5,0.11,-0.5,-0.5,Matches,462475ed
46,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-233,1995,17.1,0,12,2,16.7,0.70,0.12,0.00,0.00,15.9,0,0,0,1.0,1.0,0.08,-1.0,-1.0,Matches,89ac64a6
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-019,1995,15.8,0,7,1,14.3,0.44,0.06,0.00,0.00,11.4,0,0,0,1.0,1.0,0.14,-1.0,-1.0,Matches,eaeca114
48,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-083,1997,23.4,0,22,6,27.3,0.94,0.26,0.00,0.00,20.4,0,0,0,1.4,1.4,0.06,-1.4,-1.4,Matches,06efa9dc
49,Maghnes Akliouche,fr FRA,MFDF,Monaco,fr Ligue 1,21-012,2002,2.8,0,1,1,100.0,0.36,0.36,0.00,0.00,8.4,0,0,0,0.2,0.2,0.18,-0.2,-0.2,Matches,b625b241
50,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-079,1997,2.6,0,2,1,50.0,0.76,0.38,0.00,0.00,25.6,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,31f5b89b
51,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-149,1992,8.5,0,8,3,37.5,0.94,0.35,0.00,0.00,23.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches,fdf4b948
52,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-324,1995,13.3,0,6,1,16.7,0.45,0.07,0.00,0.00,17.0,0,0,0,0.6,0.6,0.10,-0.6,-0.6,Matches,6ec6fde0
53,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-258,1992,17.2,1,12,3,25.0,0.70,0.17,0.08,0.33,20.5,5,0,0,0.7,0.7,0.06,+0.3,+0.3,Matches,05439de2
54,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-298,2004,0.3,0,1,1,100.0,3.75,3.75,0.00,0.00,16.4,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches,455c26a4
55,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-049,1999,2.5,0,2,1,50.0,0.81,0.40,0.00,0.00,36.4,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches,99ea2ddd
56,Lucas Alario,ar ARG,FW,Eint Frankfurt,de Bundesliga,30-152,1992,3.0,1,9,2,22.2,3.05,0.68,0.11,0.50,14.9,0,0,0,1.3,1.3,0.14,-0.3,-0.3,Matches,834d0be5
57,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-353,1989,11.1,1,9,2,22.2,0.81,0.18,0.11,0.50,23.7,0,0,0,0.6,0.6,0.06,+0.4,+0.4,Matches,4601e194
58,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-162,1992,14.7,5,22,8,36.4,1.50,0.55,0.18,0.50,22.3,3,1,2,3.1,1.4,0.06,+1.9,+2.6,Matches,5294a83f
59,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-186,1985,20.9,0,1,0,0.0,0.05,0.00,0.00,,33.6,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches,4bd414c1
60,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-111,1989,2.6,1,2,1,50.0,0.76,0.38,0.50,1.00,8.0,0,0,0,0.3,0.3,0.17,+0.7,+0.7,Matches,b827d5b3
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-332,1991,12.8,0,9,1,11.1,0.70,0.08,0.00,0.00,25.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches,77e84962
62,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-099,2002,2.1,2,8,3,37.5,3.85,1.44,0.25,0.67,20.4,0,0,0,0.5,0.5,0.07,+1.5,+1.5,Matches,4abac767
63,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-312,1991,13.0,1,18,3,16.7,1.38,0.23,0.06,0.33,22.7,2,0,0,0.9,0.9,0.05,+0.1,+0.1,Matches,036bba5f
64,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-073,1996,11.0,0,7,3,42.9,0.64,0.27,0.00,0.00,17.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches,bb08bce9
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-027,1995,8.9,0,14,3,21.4,1.57,0.34,0.00,0.00,21.3,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches,3d7e48ce
66,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-131,2002,2.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,9e17ccff
67,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-063,1998,17.3,2,22,8,36.4,1.27,0.46,0.09,0.25,23.4,0,0,0,1.4,1.4,0.07,+0.6,+0.6,Matches,6c811eb7
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-153,1998,20.8,1,24,4,16.7,1.16,0.19,0.04,0.25,22.6,4,0,0,1.6,1.6,0.07,-0.6,-0.6,Matches,cd1acf9d
69,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-267,2002,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,b907d169
70,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-259,1999,10.2,0,4,0,0.0,0.39,0.00,0.00,,26.4,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches,acc1aefa
71,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-049,2004,3.6,0,11,5,45.5,3.03,1.38,0.00,0.00,19.3,0,0,0,1.0,1.0,0.09,-1.0,-1.0,Matches,f8405304
72,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-234,2001,1.4,0,2,0,0.0,1.42,0.00,0.00,,17.0,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches,00f518d8
73,Alisson,br BRA,GK,Liverpool,eng Premier League,30-158,1992,25.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches,7a2e46a8
74,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-010,1995,16.4,1,23,6,26.1,1.40,0.37,0.04,0.17,16.8,0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches,1956b948
