Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
716,Issa Diop,fr FRA,DF,Fulham,eng Premier League,26-059,1997,15.7,7,0.44,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a712ca2b
717,Sofiane Diop,fr FRA,MFFW,Nice,fr Ligue 1,22-273,2000,11.2,40,3.58,28,7,2,1,2,0,7,0.63,5,1,0,1,0,0,Matches,19053e31
718,Sofiane Diop,fr FRA,MF,Monaco,fr Ligue 1,22-273,2000,0.7,7,9.69,4,2,1,0,0,0,2,2.77,1,1,0,0,0,0,Matches,19053e31
719,Yehvann Diouf,fr FRA,GK,Reims,fr Ligue 1,23-113,1999,19.0,3,0.16,2,1,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,eedea60b
720,Axel Disasi,fr FRA,DF,Monaco,fr Ligue 1,24-363,1998,25.0,21,0.84,19,0,0,1,0,1,5,0.20,5,0,0,0,0,0,Matches,ad82197c
721,Malcom Abdulai Ares Djalo,es ESP,FW,Athletic Club,es La Liga,21-148,2001,0.1,3,54.00,2,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a461f098
722,Tiago Djaló,pt POR,DF,Lille,fr Ligue 1,22-334,2000,22.4,10,0.45,8,0,0,1,1,0,3,0.13,2,0,0,0,1,0,Matches,b2336681
723,Djené,tg TOG,DF,Getafe,es La Liga,31-068,1991,20.1,13,0.65,11,0,0,0,2,0,4,0.20,4,0,0,0,0,0,Matches,a4971d84
724,Moussa Djenepo,ml MLI,DFFW,Southampton,eng Premier League,24-267,1998,6.4,13,2.02,9,0,1,1,2,0,2,0.31,1,0,1,0,0,0,Matches,254147d4
725,Koffi Djidji,ci CIV,DF,Torino,it Serie A,30-099,1992,19.8,11,0.56,9,0,0,0,0,2,1,0.05,1,0,0,0,0,0,Matches,933d3b51
726,Alexander Djiku,gh GHA,DF,Strasbourg,fr Ligue 1,28-212,1994,22.0,15,0.68,14,1,0,0,0,0,3,0.14,3,0,0,0,0,0,Matches,43e7a164
727,Berat Djimsiti,al ALB,DF,Atalanta,it Serie A,30-018,1993,9.9,2,0.20,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,6eee05f1
728,Moussa Djitte,sn SEN,FW,Ajaccio,fr Ligue 1,23-156,1999,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,627b570a
729,Marko Dmitrović,rs SRB,GK,Sevilla,es La Liga,31-044,1992,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ac295d9e
730,Alan Do Marcolino,ga GAB,FW,Rennes,fr Ligue 1,20-355,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1bd5bdc4
731,Ben Doak,sct SCO,FW,Liverpool,eng Premier League,17-118,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,733f1a7d
732,Ritsu Doan,jp JPN,FWMF,Freiburg,de Bundesliga,24-266,1998,17.7,44,2.48,25,0,6,4,7,2,6,0.34,3,0,0,0,3,0,Matches,d01bbb6f
733,Dodô,br BRA,DF,Fiorentina,it Serie A,24-112,1998,16.6,41,2.47,36,1,1,2,1,0,3,0.18,3,0,0,0,0,0,Matches,b5f7d10b
734,Danilho Doekhi,nl NED,DF,Union Berlin,de Bundesliga,24-252,1998,13.9,6,0.43,5,0,0,0,1,0,2,0.14,1,0,0,0,1,0,Matches,f67c9d29
735,Matt Doherty,ie IRL,DFMF,Tottenham,eng Premier League,31-052,1992,7.4,18,2.43,13,0,2,2,1,0,3,0.41,2,0,0,1,0,0,Matches,d557d734
736,Matt Doherty,ie IRL,DF,Atlético Madrid,es La Liga,31-052,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d557d734
737,Josh Doig,sct SCO,DF,Hellas Verona,it Serie A,20-295,2002,12.8,31,2.42,21,4,3,1,2,0,7,0.55,5,0,1,0,1,0,Matches,2f69d881
738,Jeremy Doku,be BEL,MFFW,Rennes,fr Ligue 1,20-286,2002,6.7,33,4.95,21,0,10,1,0,1,2,0.30,0,0,2,0,0,0,Matches,fffea3e5
739,Kasper Dolberg,dk DEN,FW,Sevilla,es La Liga,25-154,1997,2.2,1,0.45,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,cc83b74d
740,Kasper Dolberg,dk DEN,FWMF,Hoffenheim,de Bundesliga,25-154,1997,3.8,7,1.84,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,cc83b74d
741,Carlos Dominguez,es ESP,DF,Celta Vigo,es La Liga,22-026,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3521abfe
742,Nicolás Domínguez,ar ARG,MF,Bologna,it Serie A,24-254,1998,17.6,48,2.73,41,2,2,0,2,1,4,0.23,4,0,0,0,0,0,Matches,20b3a502
743,John Donald,es ESP,DF,Elche,es La Liga,22-191,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,5e95c000
744,Giulio Donati,it ITA,DF,Monza,it Serie A,33-032,1990,3.4,2,0.58,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,22051fbe
745,Kyliane Dong,fr FRA,DFMF,Troyes,fr Ligue 1,18-163,2004,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,836dc4a8
746,Jordan Dongmo,cm CMR,MF,Troyes,fr Ligue 1,22-038,2001,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1b5b32d2
747,Gianluigi Donnarumma,it ITA,GK,Paris S-G,fr Ligue 1,24-012,1999,26.0,1,0.04,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,08f5afaa
748,Niklas Dorsch,de GER,MF,Augsburg,de Bundesliga,25-053,1998,2.1,2,0.96,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,7f73bdf4
749,Gabriel Dos Santos,br BRA,DF,Arsenal,eng Premier League,25-080,1997,26.0,18,0.69,15,0,0,2,0,1,2,0.08,2,0,0,0,0,0,Matches,67ac5bb8
750,Jodel Dossou,bj BEN,MFDF,Clermont Foot,fr Ligue 1,30-357,1992,2.9,5,1.74,4,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,a1dbfcb1
751,Lohann Doucet,fr FRA,MFFW,Nantes,fr Ligue 1,20-176,2002,1.0,6,5.93,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dff0c299
752,Abdoulaye Doucouré,ml MLI,MF,Everton,eng Premier League,30-067,1993,8.4,21,2.51,17,0,3,1,0,0,0,0.00,0,0,0,0,0,0,Matches,02b29014
753,Cheick Doucouré,ml MLI,MF,Crystal Palace,eng Premier League,23-060,2000,21.0,41,1.95,32,0,2,4,1,2,4,0.19,2,0,0,1,0,1,Matches,ce4f40c7
754,Ckene Doucouré,km COM,FWMF,Lorient,fr Ligue 1,20-335,2002,1.0,10,10.11,9,0,0,1,0,0,1,1.01,1,0,0,0,0,0,Matches,92d90c8f
755,Désiré Doué,fr FRA,MFFW,Rennes,fr Ligue 1,17-279,2005,10.4,27,2.60,16,2,3,1,3,2,1,0.10,1,0,0,0,0,0,Matches,9e7483ff
756,Guela Doué,fr FRA,FW,Rennes,fr Ligue 1,20-143,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b4ef3fb5
757,Ismaël Doukouré,fr FRA,DF,Strasbourg,fr Ligue 1,19-228,2003,15.3,11,0.72,9,0,1,1,0,0,1,0.07,1,0,0,0,0,0,Matches,0512a60a
758,Kamory Doumbia,ml MLI,MF,Reims,fr Ligue 1,20-019,2003,10.1,36,3.56,30,0,2,2,1,1,3,0.30,3,0,0,0,0,0,Matches,9226aa22
759,Souleyman Doumbia,ci CIV,DFFW,Angers,fr Ligue 1,26-166,1996,17.0,24,1.41,19,0,2,0,2,1,0,0.00,0,0,0,0,0,0,Matches,9daeac61
760,Flynn Downes,eng ENG,MF,West Ham,eng Premier League,24-048,1999,4.4,6,1.36,3,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,69fdb896
761,Bartłomiej Drągowski,pl POL,GK,Spezia,it Serie A,25-202,1997,21.7,4,0.18,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,085e71a7
762,Cody Drameh,eng ENG,DF,Leeds United,eng Premier League,21-091,2001,0.8,1,1.30,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e0d1510a
763,Dion Drena Beljo,hr CRO,FW,Augsburg,de Bundesliga,21-008,2002,4.6,9,1.95,7,0,0,1,0,1,2,0.43,1,0,0,1,0,0,Matches,9a2e3a23
764,Dominick Drexler,de GER,MFFW,Schalke 04,de Bundesliga,32-287,1990,11.3,32,2.83,26,3,1,1,1,0,3,0.27,3,0,0,0,0,0,Matches,809940aa
765,Domingos Duarte,pt POR,DF,Getafe,es La Liga,27-364,1995,22.5,9,0.40,7,0,0,2,0,0,3,0.13,2,0,0,1,0,0,Matches,93090f69
766,Martin Dúbravka,sk SVK,GK,Newcastle Utd,eng Premier League,34-053,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a949a25
767,Marvin Ducksch,de GER,FW,Werder Bremen,de Bundesliga,29-002,1994,21.2,80,3.77,51,24,2,1,2,0,17,0.80,11,4,1,0,1,0,Matches,638a4d71
768,Ondrej Duda,sk SVK,MF,Hellas Verona,it Serie A,28-094,1994,4.9,11,2.23,8,1,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,79ca3e23
769,Ondrej Duda,sk SVK,MF,Köln,de Bundesliga,28-094,1994,7.7,22,2.88,17,2,2,0,1,0,3,0.39,2,0,1,0,0,0,Matches,79ca3e23
770,Shane Duffy,ie IRL,FWDF,Fulham,eng Premier League,31-067,1992,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,7314bba4
771,Rémy Dugimont,fr FRA,FWMF,Auxerre,fr Ligue 1,36-251,1986,1.2,5,4.13,4,0,0,0,1,0,1,0.83,1,0,0,0,0,0,Matches,6d7ede84
772,Denzel Dumfries,nl NED,DF,Inter,it Serie A,26-325,1996,16.2,52,3.22,33,3,1,8,6,1,9,0.56,5,0,0,2,2,0,Matches,481c9ece
773,Alfred Duncan,gh GHA,MF,Fiorentina,it Serie A,29-364,1993,6.6,18,2.70,17,0,0,1,0,0,2,0.30,2,0,0,0,0,0,Matches,528492ea
774,Lewis Dunk,eng ENG,DF,Brighton,eng Premier League,31-108,1991,23.0,15,0.65,15,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,282f75f3
775,Maxime Dupé,fr FRA,GK,Toulouse,fr Ligue 1,30-005,1993,26.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,0e12089d
776,Jhon Durán,co COL,FW,Aston Villa,eng Premier League,19-086,2003,0.7,2,3.05,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,414184f7
777,Pablo Durán,es ESP,MFDF,Celta Vigo,es La Liga,22-043,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6db116ec
778,Hugo Duro,es ESP,FW,Valencia,es La Liga,23-119,1999,9.0,15,1.67,12,0,1,0,2,0,1,0.11,1,0,0,0,0,0,Matches,37e103f8
779,Jean-Kevin Duverne,fr FRA,DF,Brest,fr Ligue 1,25-240,1997,17.4,28,1.61,22,3,0,0,3,0,1,0.06,0,0,0,0,1,0,Matches,0cbc8baa
780,Paulo Dybala,ar ARG,MFFW,Roma,it Serie A,29-114,1993,14.9,71,4.77,38,19,1,6,7,0,7,0.47,3,2,0,1,1,0,Matches,e0921a4f
781,Edin Džeko,ba BIH,FW,Inter,it Serie A,36-357,1986,17.0,53,3.11,42,0,0,10,1,0,10,0.59,7,0,0,3,0,0,Matches,3bb7f478
782,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,eng Premier League,19-186,2003,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,fa9fa773
783,Festy Ebosele,ie IRL,DFFW,Udinese,it Serie A,20-219,2002,1.5,4,2.65,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dbfa4f16
784,Enzo Ebosse,cm CMR,DF,Udinese,it Serie A,23-363,1999,10.3,8,0.78,7,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,9ba7b4fa
785,Tyronne Ebuehi,ng NGA,DF,Empoli,it Serie A,27-083,1995,10.9,13,1.20,11,2,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,6af30900
786,Ederson,br BRA,GK,Manchester City,eng Premier League,29-204,1993,26.0,3,0.12,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,3bb7b8b4
787,Éderson,br BRA,MF,Atalanta,it Serie A,23-245,1999,14.1,31,2.20,22,1,1,6,1,0,2,0.14,1,0,0,0,1,0,Matches,a9202def
788,Odsonne Édouard,fr FRA,FW,Crystal Palace,eng Premier League,25-052,1998,12.5,31,2.48,22,0,1,7,1,0,3,0.24,3,0,0,0,0,0,Matches,0562b7f1
789,Samuel Edozie,eng ENG,FWMF,Southampton,eng Premier League,20-040,2003,6.0,18,3.00,11,0,3,0,4,0,0,0.00,0,0,0,0,0,0,Matches,007414dd
790,Maximilian Eggestein,de GER,MF,Freiburg,de Bundesliga,26-091,1996,18.3,32,1.75,28,0,1,0,3,0,5,0.27,4,0,0,0,1,0,Matches,beb882a8
791,Lilian Egloff,de GER,MFFW,Stuttgart,de Bundesliga,20-201,2002,2.7,10,3.75,8,0,0,1,1,0,2,0.75,2,0,0,0,0,0,Matches,2f7fec15
792,Íñigo Eguaras,es ESP,MF,Almería,es La Liga,31-002,1992,7.9,16,2.03,15,0,0,0,1,0,2,0.25,2,0,0,0,0,0,Matches,3e93f8cf
793,Kingsley Ehizibue,nl NED,DF,Udinese,it Serie A,27-288,1995,9.9,21,2.12,14,2,0,3,1,1,3,0.30,2,0,0,0,1,0,Matches,76b2817e
794,Kingsley Ehizibue,nl NED,DF,Köln,de Bundesliga,27-288,1995,0.7,1,1.48,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,76b2817e
795,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,de Bundesliga,25-066,1998,8.8,34,3.88,26,0,5,1,2,0,5,0.57,5,0,0,0,0,0,Matches,e7f3e8a7
796,Albin Ekdal,se SWE,MF,Spezia,it Serie A,33-224,1989,9.4,19,2.03,15,0,0,2,0,2,0,0.00,0,0,0,0,0,0,Matches,f503ea63
797,Hugo Ekitike,fr FRA,FW,Paris S-G,fr Ligue 1,20-262,2002,8.7,16,1.84,13,0,0,0,3,0,5,0.58,5,0,0,0,0,0,Matches,5b92d896
798,Emmanuel Ekong,se SWE,FWMF,Empoli,it Serie A,20-257,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c20892ee
799,Anthony Elanga,se SWE,FW,Manchester Utd,eng Premier League,20-316,2002,4.7,18,3.80,13,0,0,3,1,1,1,0.21,1,0,0,0,0,0,Matches,2fba6108
800,Alberth Elis,hn HON,MFFW,Brest,fr Ligue 1,27-025,1996,2.5,10,3.98,6,0,0,0,3,1,0,0.00,0,0,0,0,0,0,Matches,104b4ad3
801,Mikael Ellertsson,is ISL,MFDF,Spezia,it Serie A,20-363,2002,1.9,5,2.65,2,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches,c55967eb
802,Harvey Elliott,eng ENG,MFFW,Liverpool,eng Premier League,19-339,2003,15.4,61,3.97,48,1,5,5,1,1,8,0.52,8,0,0,0,0,0,Matches,c8387671
803,Elif Elmas,mk MKD,MFFW,Napoli,it Serie A,23-166,1999,10.8,35,3.25,26,2,4,2,1,0,6,0.56,4,0,1,1,0,0,Matches,cf007308
804,Mohamed Elneny,eg EGY,MF,Arsenal,eng Premier League,30-241,1992,1.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,47a34c4f
805,Aritz Elustondo,es ESP,DF,Real Sociedad,es La Liga,28-346,1994,11.4,9,0.79,5,2,0,2,0,0,2,0.18,0,1,0,1,0,0,Matches,f7dc2ae5
806,Nico Elvedi,ch SUI,DF,M'Gladbach,de Bundesliga,26-160,1996,20.5,13,0.63,13,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches,48035304
807,Rodrigo Ely,br BRA,DF,Almería,es La Liga,29-126,1993,22.1,12,0.54,6,1,1,4,0,0,0,0.00,0,0,0,0,0,0,Matches,fd47b4f2
808,Sepe Elye Wahi,fr FRA,FW,Montpellier,fr Ligue 1,20-066,2003,19.1,31,1.62,18,0,1,5,6,1,5,0.26,1,0,0,3,1,0,Matches,0d7b6576
809,Mohamed Elyounoussi,no NOR,MFFW,Southampton,eng Premier League,28-217,1994,17.9,33,1.85,30,0,0,1,2,0,3,0.17,3,0,0,0,0,0,Matches,68dc0dac
810,Adri Embarba,es ESP,FWMF,Almería,es La Liga,30-306,1992,9.9,35,3.54,14,13,4,1,2,1,4,0.40,0,2,0,1,1,0,Matches,db8f0eba
811,Adri Embarba,es ESP,FW,Espanyol,es La Liga,30-306,1992,0.4,2,5.14,0,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,db8f0eba
812,Breel Embolo,ch SUI,FW,Monaco,fr Ligue 1,26-023,1997,18.2,59,3.25,40,0,6,6,6,1,8,0.44,4,0,1,2,1,0,Matches,0b4f388a
813,Emerson,br BRA,DF,Tottenham,eng Premier League,24-054,1999,15.4,33,2.15,31,0,0,0,1,1,2,0.13,2,0,0,0,0,0,Matches,df8b52a5
814,Youssef En-Nesyri,ma MAR,FW,Sevilla,es La Liga,25-281,1997,10.3,16,1.56,9,1,0,5,1,0,3,0.29,2,0,0,1,0,0,Matches,04e17fd5
815,Wataru Endo,jp JPN,MF,Stuttgart,de Bundesliga,30-028,1993,21.5,47,2.19,38,0,2,3,2,2,4,0.19,2,0,0,0,1,1,Matches,c149016b
816,Arne Engels,be BEL,MF,Augsburg,de Bundesliga,19-182,2003,7.7,29,3.78,12,13,1,0,3,0,4,0.52,2,1,1,0,0,0,Matches,554bcc91
817,Christian Eriksen,dk DEN,MF,Manchester Utd,eng Premier League,31-023,1992,16.5,49,2.96,34,13,1,1,0,0,8,0.48,6,2,0,0,0,0,Matches,980522ec
818,Martin Erlic,hr CRO,DF,Sassuolo,it Serie A,25-044,1998,17.6,7,0.40,5,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches,0fee6bda
819,Gonzalo Escalante,ar ARG,MF,Cremonese,it Serie A,29-347,1993,6.2,10,1.62,8,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,3f79a1c8
820,Gonzalo Escalante,ar ARG,MF,Cádiz,es La Liga,29-347,1993,5.0,11,2.20,11,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3f79a1c8
821,Sergio Escudero,es ESP,DF,Valladolid,es La Liga,33-188,1989,9.6,20,2.08,13,4,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,b0616e3d
822,Alfonso Espino,uy URU,DF,Cádiz,es La Liga,31-063,1992,21.7,32,1.48,26,3,0,0,1,2,4,0.18,3,1,0,0,0,0,Matches,db001fa9
823,Bernardo Espinosa,co COL,DF,Girona,es La Liga,33-241,1989,9.4,6,0.64,4,0,0,2,0,0,2,0.21,1,0,0,1,0,0,Matches,4242011c
824,Salvatore Esposito,it ITA,MF,Spezia,it Serie A,22-153,2000,2.1,4,1.89,2,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,5cf5c9ad
825,Maxime Estève,fr FRA,DF,Montpellier,fr Ligue 1,20-287,2002,15.1,7,0.46,5,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,1a066e69
826,Pervis Estupiñán,ec ECU,DF,Brighton,eng Premier League,25-047,1998,15.5,48,3.09,45,0,1,0,2,0,6,0.39,5,0,0,0,1,0,Matches,d38fdf53
827,Jonny Evans,nir NIR,DF,Leicester City,eng Premier League,35-065,1988,9.0,4,0.44,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f8fcd2a5
828,Edu Expósito,es ESP,MF,Espanyol,es La Liga,26-220,1996,10.6,28,2.65,19,4,1,2,1,1,8,0.76,7,0,1,0,0,0,Matches,283c7121
829,Eberechi Eze,eng ENG,MFFW,Crystal Palace,eng Premier League,24-253,1998,18.6,61,3.29,36,16,4,1,2,2,8,0.43,4,1,3,0,0,0,Matches,ae4fc6a4
830,Nicolás Ezequiel Fernández,ar ARG,MFDF,Elche,es La Liga,23-057,2000,3.6,8,2.24,8,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches,3409de86
831,Abdessamad Ezzalzouli,ma MAR,FWMF,Osasuna,es La Liga,21-082,2001,8.4,25,2.97,15,2,4,3,1,0,3,0.36,3,0,0,0,0,0,Matches,bed68338
832,Łukasz Fabiański,pl POL,GK,West Ham,eng Premier League,37-325,1985,22.6,2,0.09,0,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9328b835
833,Fabinho,br BRA,MF,Liverpool,eng Premier League,29-137,1993,18.0,39,2.16,35,0,0,1,1,2,4,0.22,4,0,0,0,0,0,Matches,7f3b388c
834,Fábio,br BRA,DFMF,Nantes,fr Ligue 1,32-243,1990,2.5,10,4.00,10,0,0,0,0,0,1,0.40,1,0,0,0,0,0,Matches,bc7b4580
835,Noah Fadiga,sn SEN,DF,Brest,fr Ligue 1,23-096,1999,11.4,14,1.23,7,0,3,0,3,1,2,0.18,1,0,1,0,0,0,Matches,83f03b07
836,Wout Faes,be BEL,DF,Leicester City,eng Premier League,24-340,1998,19.0,11,0.58,8,0,0,1,0,2,2,0.11,1,0,0,0,0,1,Matches,9c221d14
837,Wout Faes,be BEL,DF,Reims,fr Ligue 1,24-340,1998,3.0,3,1.00,3,0,0,0,0,0,2,0.67,2,0,0,0,0,0,Matches,9c221d14
838,Nicolò Fagioli,it ITA,MF,Juventus,it Serie A,22-025,2001,8.6,20,2.32,12,3,0,2,3,0,4,0.46,2,1,0,0,1,0,Matches,366be751
839,Ralf Fährmann,de GER,GK,Schalke 04,de Bundesliga,34-163,1988,6.0,3,0.50,0,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1e43fad8
840,Romain Faivre,fr FRA,FW,Lorient,fr Ligue 1,24-238,1998,3.5,12,3.47,7,0,2,2,1,0,1,0.29,1,0,0,0,0,0,Matches,745ca0a3
841,Romain Faivre,fr FRA,MF,Lyon,fr Ligue 1,24-238,1998,3.3,13,3.87,10,3,0,0,0,0,1,0.30,0,1,0,0,0,0,Matches,745ca0a3
842,Radamel Falcao,co COL,FWMF,Rayo Vallecano,es La Liga,37-027,1986,5.4,8,1.48,5,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches,66116290
843,Wladimiro Falcone,it ITA,GK,Lecce,it Serie A,27-331,1995,25.0,2,0.08,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9f5a610b
844,Fali,es ESP,DFMF,Cádiz,es La Liga,29-209,1993,13.1,8,0.61,6,1,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches,72a84002
845,Mamadou Fall,sn SEN,DF,Villarreal,es La Liga,20-108,2002,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,805a2a11
846,Davide Faraoni,it ITA,DF,Hellas Verona,it Serie A,31-135,1991,7.1,12,1.69,7,0,2,3,0,0,3,0.42,1,0,1,1,0,0,Matches,aae9d04a
847,Ansu Fati,es ESP,FW,Barcelona,es La Liga,20-129,2002,10.3,33,3.22,20,0,7,5,0,1,8,0.78,5,0,1,2,0,0,Matches,0ba976e4
848,Khalil Fayad,fr FRA,MF,Montpellier,fr Ligue 1,18-273,2004,5.7,10,1.75,8,0,1,1,0,0,4,0.70,3,0,0,1,0,0,Matches,faf00ab8
849,Cheikh Faye,sn SEN,FW,Montpellier,fr Ligue 1,24-041,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4b792f35
850,Federico Fazio,ar ARG,DF,Salernitana,it Serie A,35-357,1987,11.8,12,1.02,7,1,0,4,0,0,0,0.00,0,0,0,0,0,0,Matches,4e358a2d
851,Jacopo Fazzini,it ITA,MF,Empoli,it Serie A,19-358,2003,2.9,7,2.39,6,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,06b08c45
852,Zouhair Feddal,ma MAR,DF,Valladolid,es La Liga,34-067,1989,4.2,4,0.96,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,89151b16
853,Nabil Fekir,fr FRA,MF,Betis,es La Liga,29-234,1993,10.7,56,5.24,31,10,4,2,9,0,5,0.47,2,0,1,0,2,0,Matches,bece776f
854,Felipe,br BRA,DF,Nott'ham Forest,eng Premier League,33-297,1989,3.9,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,51a3c4c8
855,Felipe,br BRA,DF,Atlético Madrid,es La Liga,33-297,1989,2.2,1,0.46,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,51a3c4c8
856,Luiz Felipe,it ITA,DF,Betis,es La Liga,25-352,1997,11.5,4,0.35,4,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,15d0c248
857,João Félix,pt POR,MFFW,Chelsea,eng Premier League,23-119,1999,4.3,13,3.03,6,2,1,2,2,0,0,0.00,0,0,0,0,0,0,Matches,8aafd64f
858,João Félix,pt POR,FWMF,Atlético Madrid,es La Liga,23-119,1999,7.2,29,4.02,22,0,3,3,0,1,5,0.69,4,0,0,1,0,0,Matches,8aafd64f
859,Ohis Felix Uduokhai,de GER,DF,Augsburg,de Bundesliga,25-181,1997,10.8,8,0.74,8,0,0,0,0,0,1,0.09,1,0,0,0,0,0,Matches,677da306
860,Kiko Femenía,es ESP,DF,Villarreal,es La Liga,32-035,1991,9.9,17,1.71,16,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,e5d01ecf
861,Evan Ferguson,ie IRL,FW,Brighton,eng Premier League,18-141,2004,4.3,7,1.63,7,0,0,0,0,0,2,0.47,2,0,0,0,0,0,Matches,4596da74
862,Lewis Ferguson,sct SCO,MF,Bologna,it Serie A,23-197,1999,15.1,39,2.58,24,1,1,7,5,1,4,0.26,3,0,0,1,0,0,Matches,ee64a822
863,Bruno Fernandes,pt POR,MFFW,Manchester Utd,eng Premier League,28-182,1994,24.0,120,5.00,96,10,3,7,4,0,14,0.58,13,0,0,1,0,0,Matches,507c7bdf
864,Edimilson Fernandes,ch SUI,DF,Mainz 05,de Bundesliga,26-328,1996,16.9,24,1.42,15,6,1,1,1,0,2,0.12,1,1,0,0,0,0,Matches,3bb625ac
865,Aitor Fernández,es ESP,GK,Osasuna,es La Liga,31-310,1991,13.0,3,0.23,2,1,0,0,0,0,1,0.08,1,0,0,0,0,0,Matches,a01c3d54
866,Álex Fernández,es ESP,MFFW,Cádiz,es La Liga,30-145,1992,15.5,29,1.87,21,6,1,0,1,0,1,0.06,1,0,0,0,0,0,Matches,aa677a35
867,Álvaro Fernández,es ESP,GK,Espanyol,es La Liga,24-330,1998,11.0,1,0.09,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,f127d782
868,Carlos Fernández,es ESP,FW,Real Sociedad,es La Liga,26-291,1996,3.8,8,2.08,6,0,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches,e08647d6
