Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches,-9999
30,Felix Agu,de GER,DFFW,Werder Bremen,de Bundesliga,23-163,1999,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cb6d81b3
31,Álvaro Aguado,es ESP,MF,Valladolid,es La Liga,26-312,1996,13.4,47,3.50,36,9,0,0,2,0,4,0.30,2,2,0,0,0,0,Matches,014aa7bd
32,Kevin Agudelo,co COL,MFFW,Spezia,it Serie A,24-115,1998,18.3,38,2.08,29,1,3,3,2,0,3,0.16,2,0,0,0,1,0,Matches,46fa7204
33,Nayef Aguerd,ma MAR,DF,West Ham,eng Premier League,26-344,1996,8.7,4,0.46,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,288e1e13
34,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,29-317,1993,7.7,12,1.57,10,1,0,1,0,0,2,0.26,2,0,0,0,0,0,Matches,3dd738a1
35,Naouirou Ahamada,fr FRA,MFFW,Crystal Palace,eng Premier League,20-345,2002,0.5,1,2.09,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,a6c58494
36,Naouirou Ahamada,fr FRA,MF,Stuttgart,de Bundesliga,20-345,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0,Matches,a6c58494
37,Amar Ahmed,se SWE,FW,Troyes,fr Ligue 1,19-018,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,22396615
38,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,28-354,1994,10.0,16,1.60,11,0,0,0,2,3,1,0.10,1,0,0,0,0,0,Matches,48b28bfd
39,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,27-161,1995,23.8,8,0.34,7,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,18abe173
40,Ola Aina,ng NGA,DF,Torino,it Serie A,26-152,1996,8.4,25,2.96,19,2,3,0,1,0,3,0.35,2,0,1,0,0,0,Matches,246d153b
41,Rayan Aït Nouri,fr FRA,DF,Wolves,eng Premier League,21-276,2001,11.2,23,2.05,14,2,4,1,2,0,0,0.00,0,0,0,0,0,0,Matches,9b398aea
42,Emanuel Aiwum,at AUT,DF,Cremonese,it Serie A,22-074,2000,13.4,10,0.74,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,d810c13b
43,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,24-326,1998,8.5,4,0.47,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a8c0acb7
44,Ludovic Ajorque,fr FRA,FW,Strasbourg,fr Ligue 1,29-012,1994,8.6,22,2.57,20,0,0,2,0,0,2,0.23,1,0,0,1,0,0,Matches,462475ed
45,Ludovic Ajorque,fr FRA,FW,Mainz 05,de Bundesliga,29-012,1994,5.2,17,3.28,14,0,0,3,0,0,2,0.39,1,0,0,1,0,0,Matches,462475ed
46,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,27-233,1995,17.1,18,1.05,17,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,89ac64a6
47,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,28-019,1995,15.8,18,1.14,15,1,0,2,0,0,2,0.13,2,0,0,0,0,0,Matches,eaeca114
48,Sergio Akieme,es ESP,DF,Almería,es La Liga,25-083,1997,23.4,35,1.50,28,1,1,3,0,2,2,0.09,1,0,1,0,0,0,Matches,06efa9dc
49,Maghnes Akliouche,fr FRA,MFDF,Monaco,fr Ligue 1,21-012,2002,2.8,5,1.81,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b625b241
50,Paul Akouokou,ci CIV,MF,Betis,es La Liga,25-079,1997,2.6,1,0.38,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,31f5b89b
51,Jean-Daniel Akpa-Akpro,ci CIV,MF,Empoli,it Serie A,30-149,1992,8.5,14,1.65,8,0,2,1,1,2,0,0.00,0,0,0,0,0,0,Matches,fdf4b948
52,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,27-324,1995,13.3,10,0.75,9,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6ec6fde0
53,David Alaba,at AUT,DF,Real Madrid,es La Liga,30-258,1992,17.2,25,1.46,21,3,0,1,0,0,4,0.23,3,0,0,1,0,0,Matches,05439de2
54,Ángel Alarcón,es ESP,MFFW,Barcelona,es La Liga,18-298,2004,0.3,1,3.75,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,455c26a4
55,Tomás Alarcón,cl CHI,MF,Cádiz,es La Liga,24-049,1999,2.5,4,1.61,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,99ea2ddd
56,Lucas Alario,ar ARG,FW,Eint Frankfurt,de Bundesliga,30-152,1992,3.0,7,2.38,5,0,1,1,0,0,2,0.68,1,0,0,1,0,0,Matches,834d0be5
57,Jordi Alba,es ESP,DF,Barcelona,es La Liga,33-353,1989,11.1,42,3.79,38,2,1,1,0,0,4,0.36,4,0,0,0,0,0,Matches,4601e194
58,Luis Alberto,es ESP,MF,Lazio,it Serie A,30-162,1992,14.7,53,3.62,33,18,0,2,0,0,6,0.41,5,1,0,0,0,0,Matches,5294a83f
59,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,37-186,1985,20.9,10,0.48,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,4bd414c1
60,Marc Albrighton,eng ENG,FWMF,Leicester City,eng Premier League,33-111,1989,2.6,8,3.04,6,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b827d5b3
61,Thiago Alcántara,es ESP,MF,Liverpool,eng Premier League,31-332,1991,12.8,39,3.04,31,0,3,1,1,3,2,0.16,2,0,0,0,0,0,Matches,77e84962
62,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,20-099,2002,2.1,5,2.41,3,0,0,1,1,0,1,0.48,0,0,0,1,0,0,Matches,4abac767
63,Rubén Alcaraz,es ESP,MF,Cádiz,es La Liga,31-312,1991,13.0,24,1.85,17,5,0,1,1,0,2,0.15,2,0,0,0,0,0,Matches,036bba5f
64,Omar Alderete,py PAR,DF,Getafe,es La Liga,26-073,1996,11.0,14,1.27,14,0,0,0,0,0,2,0.18,2,0,0,0,0,0,Matches,bb08bce9
65,Iván Alejo,es ESP,MFFW,Cádiz,es La Liga,28-027,1995,8.9,23,2.57,17,1,1,2,2,0,1,0.11,1,0,0,0,0,0,Matches,3d7e48ce
66,Doğan Alemdar,tr TUR,GK,Rennes,fr Ligue 1,20-131,2002,2.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9e17ccff
67,Carles Aleñá,es ESP,MF,Getafe,es La Liga,25-063,1998,17.3,31,1.79,22,0,0,2,7,0,3,0.17,3,0,0,0,0,0,Matches,6c811eb7
68,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,24-153,1998,20.8,78,3.75,49,24,1,4,0,0,6,0.29,5,1,0,0,0,0,Matches,cd1acf9d
69,Alejandro Alfaro,es ESP,MF,Elche,es La Liga,20-267,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b907d169
70,Ángel Algobia,es ESP,MF,Getafe,es La Liga,23-259,1999,10.2,11,1.08,10,0,0,1,0,0,1,0.10,1,0,0,0,0,0,Matches,acc1aefa
71,Mohamed Ali Cho,fr FRA,FW,Real Sociedad,es La Liga,19-049,2004,3.6,13,3.57,8,0,2,1,1,1,2,0.55,2,0,0,0,0,0,Matches,f8405304
72,Faride Alidou,de GER,DFMF,Eint Frankfurt,de Bundesliga,21-234,2001,1.4,5,3.49,4,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,00f518d8
73,Alisson,br BRA,GK,Liverpool,eng Premier League,30-158,1992,25.0,3,0.12,3,0,0,0,0,0,2,0.08,2,0,0,0,0,0,Matches,7a2e46a8
74,Jim Allevinah,ga GAB,DFFW,Clermont Foot,fr Ligue 1,28-010,1995,16.4,33,2.01,26,1,3,1,2,0,1,0.06,0,0,0,1,0,0,Matches,1956b948
75,Dele Alli,eng ENG,MF,Everton,eng Premier League,26-332,1996,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cea4ee8f
76,Domingos André Ribeiro Almeida,pt POR,MF,Valencia,es La Liga,22-283,2000,16.7,51,3.05,38,8,1,1,1,2,4,0.24,3,1,0,0,0,0,Matches,e6697917
77,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,29-027,1994,21.7,64,2.95,46,2,7,6,3,0,9,0.41,3,1,4,1,0,0,Matches,862a1c15
78,Marcos Alonso,es ESP,DF,Barcelona,es La Liga,32-071,1990,7.5,9,1.20,9,0,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches,f4290206
79,Mickaël Alphonse,gp GLP,DF,Ajaccio,fr Ligue 1,33-240,1989,11.6,16,1.38,12,1,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches,0a63446f
80,Éder Álvarez Balanta,co COL,MF,Schalke 04,de Bundesliga,30-009,1993,1.6,4,2.54,3,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches,8ce30c57
81,Carlos Álvarez,es ESP,FW,Sevilla,es La Liga,19-215,2003,0.1,,,,,,,,,,,,,,,,,Matches,629081bd
82,Gastón Álvarez,uy URU,DF,Getafe,es La Liga,22-350,2000,9.0,10,1.11,6,4,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches,852ddfb8
83,Julián Álvarez,ar ARG,FWMF,Manchester City,eng Premier League,23-037,2000,8.0,25,3.14,20,0,1,3,1,0,0,0.00,0,0,0,0,0,0,Matches,15ab5a2b
84,Agustín Álvarez Martínez,uy URU,FWMF,Sassuolo,it Serie A,21-294,2001,3.5,6,1.73,2,0,1,2,1,0,2,0.58,1,0,0,1,0,0,Matches,ab472696
85,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,28-044,1995,19.1,23,1.21,19,1,0,1,1,1,2,0.10,2,0,0,0,0,0,Matches,3ecc11d8
86,Ibrahim Amadou,fr FRA,DFMF,Angers,fr Ligue 1,29-337,1993,4.7,3,0.64,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9260926b
87,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,26-114,1996,0.6,3,5.00,1,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches,00eba9c9
88,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,28-078,1994,15.2,14,0.92,14,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,1a4ef233
89,Amath,sn SEN,MFFW,Mallorca,es La Liga,26-236,1996,5.8,15,2.58,8,0,3,2,1,1,2,0.34,0,0,1,0,1,0,Matches,f3b1d9a2
90,Jordan Amavi,fr FRA,DF,Getafe,es La Liga,29-000,1994,2.1,2,0.93,2,0,0,0,0,0,1,0.47,1,0,0,0,0,0,Matches,22721b88
91,Lukáš Ambros,cz CZE,MF,Wolfsburg,de Bundesliga,18-277,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cd682b6b
92,Kelvin Amian,fr FRA,DF,Spezia,it Serie A,25-029,1998,14.7,19,1.30,16,0,0,2,0,1,1,0.07,0,0,0,1,0,0,Matches,bcc81786
93,Bruno Amione,ar ARG,DF,Hellas Verona,it Serie A,21-065,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2df7cc43
94,Bruno Amione,ar ARG,DF,Sampdoria,it Serie A,21-065,2002,12.8,6,0.47,5,0,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches,2df7cc43
95,Nadiem Amiri,de GER,MFFW,Leverkusen,de Bundesliga,26-133,1996,7.8,27,3.45,18,2,3,1,3,0,4,0.51,2,0,1,0,1,0,Matches,555d5edd
96,Ethan Ampadu,wls WAL,DFMF,Spezia,it Serie A,22-176,2000,18.1,28,1.55,24,0,0,2,1,1,4,0.22,4,0,0,0,0,0,Matches,10b9fa99
97,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,26-200,1996,16.4,29,1.77,26,0,0,0,2,1,1,0.06,1,0,0,0,0,0,Matches,5a2cb25d
98,Ayoub Amraoui,fr FRA,DF,Nice,fr Ligue 1,18-299,2004,2.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,ae11ba3d
99,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,26-282,1996,19.4,11,0.57,10,1,0,0,0,0,1,0.05,0,1,0,0,0,0,Matches,e34fc66d
100,Elliot Anderson,sct SCO,MFFW,Newcastle Utd,eng Premier League,20-123,2002,1.6,9,5.63,4,0,1,0,4,0,0,0.00,0,0,0,0,0,0,Matches,de31038e
101,Felipe Anderson,br BRA,FW,Lazio,it Serie A,29-328,1993,21.4,65,3.04,51,1,8,3,2,0,9,0.42,5,0,3,1,0,0,Matches,9f1893b9
102,Benjamin André,fr FRA,MF,Lille,fr Ligue 1,32-218,1990,23.5,58,2.47,53,0,0,3,1,1,6,0.26,5,0,0,0,1,0,Matches,ef9c1c95
103,Komnen Andrić,rs SRB,FW,Clermont Foot,fr Ligue 1,27-251,1995,14.5,30,2.07,25,0,1,2,2,0,4,0.28,2,0,0,2,0,0,Matches,af3ddb2e
104,Robert Andrich,de GER,MF,Leverkusen,de Bundesliga,28-168,1994,18.7,31,1.65,26,0,0,3,0,2,3,0.16,2,0,0,0,0,1,Matches,e0b113a7
105,Angeliño,es ESP,DF,Hoffenheim,de Bundesliga,26-064,1997,20.7,67,3.23,45,16,1,2,2,1,7,0.34,5,1,0,1,0,0,Matches,30941e96
106,Fabrizio Angileri,ar ARG,DF,Getafe,es La Liga,28-359,1994,5.8,5,0.86,3,0,1,0,0,1,2,0.34,1,0,0,0,0,1,Matches,fdd26d71
107,Jaidon Anthony,eng ENG,MFFW,Bournemouth,eng Premier League,23-098,1999,9.5,30,3.14,22,3,2,1,1,1,2,0.21,1,0,0,0,1,0,Matches,e4238fb1
108,Janis Antiste,fr FRA,FW,Sassuolo,it Serie A,20-203,2002,0.6,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,38d9ce53
109,Waldemar Anton,de GER,DF,Stuttgart,de Bundesliga,26-232,1996,22.4,28,1.25,19,3,2,4,0,0,2,0.09,1,0,0,1,0,0,Matches,5e66fa06
110,Marcos Antônio,br BRA,MF,Lazio,it Serie A,22-269,2000,3.5,2,0.58,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,108fe016
111,Michail Antonio,jm JAM,FW,West Ham,eng Premier League,32-346,1990,12.5,28,2.23,17,0,5,3,3,0,6,0.48,3,0,2,1,0,0,Matches,ac05f970
112,Antony,br BRA,FW,Manchester Utd,eng Premier League,23-013,2000,11.1,32,2.89,29,0,1,1,1,0,1,0.09,1,0,0,0,0,0,Matches,99127249
113,Valentin Antov,bg BUL,DF,Monza,it Serie A,22-120,2000,1.9,2,1.05,2,0,0,0,0,0,1,0.52,1,0,0,0,0,0,Matches,8f68aa41
114,Christopher Antwi-Adjei,gh GHA,FWMF,Bochum,de Bundesliga,29-030,1994,11.8,47,3.99,26,8,4,3,6,0,9,0.76,5,1,2,0,1,0,Matches,0a3f6cde
115,Anuar,ma MAR,MFFW,Valladolid,es La Liga,28-053,1995,2.3,4,1.71,2,0,1,0,0,1,1,0.43,0,0,1,0,0,0,Matches,c93231dc
116,Houssem Aouar,fr FRA,MF,Lyon,fr Ligue 1,24-252,1998,4.8,11,2.31,7,0,2,2,0,0,2,0.42,2,0,0,0,0,0,Matches,a5db0bec
117,Adil Aouchiche,fr FRA,MFFW,Lorient,fr Ligue 1,20-237,2002,1.1,4,3.53,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,b94b8be1
118,Dennis Appiah,fr FRA,DFMF,Nantes,fr Ligue 1,30-273,1992,8.8,11,1.25,8,1,2,0,0,0,1,0.11,1,0,0,0,0,0,Matches,feb5d3ab
119,Mauro Arambarri,uy URU,MF,Getafe,es La Liga,27-160,1995,9.2,23,2.51,8,12,1,1,0,1,3,0.33,2,1,0,0,0,0,Matches,58afe001
120,Charles Aránguiz,cl CHI,MF,Leverkusen,de Bundesliga,33-326,1989,5.5,10,1.83,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,56413b1f
121,Ronald Araújo,uy URU,DF,Barcelona,es La Liga,24-002,1999,11.5,10,0.87,8,0,0,2,0,0,3,0.26,2,0,0,1,0,0,Matches,2bef2bca
122,Cameron Archer,eng ENG,FWMF,Aston Villa,eng Premier League,21-231,2001,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,05e8ca6d
123,Taïryk Arconte,fr FRA,FW,Brest,fr Ligue 1,19-117,2003,1.4,3,2.11,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c5e6c017
124,Alphonse Areola,fr FRA,GK,West Ham,eng Premier League,30-010,1993,2.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2f965a72
125,Joe Aribo,ng NGA,MFFW,Southampton,eng Premier League,26-231,1996,12.2,26,2.14,22,0,1,1,1,1,1,0.08,0,0,1,0,0,0,Matches,328f7d51
126,Adam Armstrong,eng ENG,FW,Southampton,eng Premier League,26-027,1997,12.2,18,1.48,17,0,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches,68c720b5
127,Stuart Armstrong,sct SCO,MFFW,Southampton,eng Premier League,30-344,1992,10.0,37,3.71,30,0,0,3,4,0,1,0.10,0,0,0,0,1,0,Matches,97333cf5
128,Marko Arnautović,at AUT,FW,Bologna,it Serie A,33-324,1989,13.5,34,2.51,28,0,2,2,2,0,3,0.22,2,0,1,0,0,0,Matches,00459419
129,Maximilian Arnold,de GER,MF,Wolfsburg,de Bundesliga,28-286,1994,22.2,67,3.02,33,29,1,3,1,0,7,0.32,4,2,0,1,0,0,Matches,86e119e0
130,Mohamed El Arouch,fr FRA,MF,Lyon,fr Ligue 1,18-337,2004,0.0,1,90.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,508a9011
131,Sergio Arribas,es ESP,FW,Real Madrid,es La Liga,21-160,2001,0.1,2,18.00,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1e465e70
132,Kepa Arrizabalaga,es ESP,GK,Chelsea,eng Premier League,28-157,1994,16.5,1,0.06,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,28d596a0
133,Roberto Arroyo,es ESP,MF,Valladolid,es La Liga,19-196,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6091cf45
134,Tolgay Arslan,de GER,MF,Udinese,it Serie A,32-205,1990,10.1,31,3.07,20,5,1,1,4,0,0,0.00,0,0,0,0,0,0,Matches,963a328b
